page 2	"LUSITANIA'S GOLDEN GARGO.
page 2	A HIGHLAND ROMANGB.
page 2	Amiddle-aged woman visited the cemetery in Birmingham the other day and was seen to koeel down, take a white rose from her breast and tenderly lay it upon a grave, Inquirles revealed a romantic story.
page 4	N. Y. K. SHIPPING SERVICES.
page 4	HAIPHONG SHIPPING BOYCOTT.
page 4	PROBABLE COMPROMISE.
page 4	CONFERENCE OF OWNERS AND SHIPPERS.
page 4	SWATOW AOTRS.
page 4	ST. ANDRIW'S DAY.
page 4	"HONGKONG TELEOEAPH."
page 4	CHINESE OPIUM QUESTION.
page 4	BRITISH CONDITIONS ACCEPTED.
page 4	CHINESE DRCREASE TO BE COINCIDE, WITH INDIA'S LOSS.
page 4	THE SUBSCRIPTION GRIFFINS.
page 4	ARRIVAL OV THE FIRET BATCH.
page 4	GARRISON FOOTBALL LBAGUE.
page 4	FIXTURES FOR THE WEEK.
page 5	The Money Market.
page 5	Obltuary.
page 5	Colliston of War Ships.
page 5	British Cotton Spinning Proflts.
page 5	Visoount Aosi's Reeall.
page 5	THE AMBASADOR INTERVIEWED.
page 5	FURTHER EXPLANATIONS.
page 5	THE SIGNIFICANCE OF THE RECALL.
page 5	SPITTING IN PUBLIC PLACES.
page 5	QUESTIONS TO THE SANITARY DOARD.
page 5	"TIGERS" AT KOWLOON.
page 5	"SUCCESSFUL" HUNT BY ENTHUSIASTIC SPORTSMEN.
page 5	THE CHINESE PORCESSIU.
page 5	A SUCCESSFUL TERMINATION.
page 5	SHANGHAI WRDDING.
page 5	VON STOCKHAUSEN - KLOPFER.
page 5	GILBEKTIAN CHINESE VRRSE.
page 5	KUCANGSU (AMOY) MUNICIPAL COUNCIL.
page 5	S.S. "ARMAND BEHIC."
page 5	COLPAGNIE DES MESSAGERIES MARITIMES.
page 5	NOTICE TO CONSIGNEES.
page 5	CHINESE RAILWAYS.
