page 1	ACTIVITY OF THE REVOLUTIONISTS.
page 2	A WORLD CHANGE.
page 2	TRANSPORTATION IN SOUTH CHINA.
page 2	HOME PRODUCTION.
page 2	THE IDOLS OF DIPLOMACY.
page 2	HONGKONG AND THE CORONATION.
page 3	CHINESE PARTNERS.
page 3	JAPANESE COMMERCIAL ATTACHE.
page 3	MR. T AOKI INTERVIEWED ON HIS NEW POST.
page 3	BRIGHT PROSPECTS FOR CHINA TRADE.
page 4	ADVENTUROUS BOAT VOYAGES.
page 4	AT SEA IN A DREDGER.
page 4	SMUGGLED CHINESE HROWN OVERBOARD.
page 4	SHIPLOADS DROWNED OFF LOS ANGELES.
page 4	FNANCIAL NEWS.
page 4	HONGKONG SHARES.
page 4	SHANGHAI SHARES.
page 4	GOVERNMENT HOUSE.
page 4	CHINESE EXCLUSION IN AMERICA.
page 4	COMPANY REPORT.
page 4	THE HONGKONG ELECTRIC COMPANY LIMITED.
page 4	SHANGHAI TRADE.
page 4	"THE MESSIAH".
page 4	GOOD RENDERING BY AUGMENTED CHOIR.
page 4	SENSATION ON THE OPIUM MARKET.
page 4	REPORTD GIGANTIC ROBBERY.
page 4	THE "GAZETTE."
page 5	CHINA'S COMING REVOLUTION.
page 5	RECENT MOTOR CAR ACCIDENTS.
page 5	A NEW ORDINANCE.
page 5	CHEKWAN ISLAND.
page 5	THE GREAT FESTIVAL OF HEAVEN.
page 5	THOUSANDS PRESENT.
page 5	THE "FOREIGNERD'S" CHANCE.
page 5	CHINA BOUND HAND AND FOOT.
page 5	A GRIFFIN'S IMPRESSIONS OF HONGKONG.
page 5	ADMIRAL HUBBARD.
page 5	LAST CRUISE AS COMMANDER OF ASIATIC SQUADRON.
page 5	CANTON NEWS.
page 5	ALLEGED MALTREATMENT BY CUSTOMS OFFICIALS.
page 5	SHEEP AND TAXES.
page 5	MANSLAUGHTER CASE.
page 5	THE GROUND NUT TRADE.
page 6	ORIMIAL SESSIONS'CAUSE LIST.
page 6	CONTRABAND CHINESE.
page 6	AMERICAN REVENUE CUTTER ON THE WATCH.
page 6	CHINESE CONSERVATIVISM.
page 6	ADMIRAL HUBBARD.
page 6	OFFICIAL RECEPTION AT BLAKE PIER.
page 6	FOREIGN BANK'S ACTION RESENTED.
page 6	PROPOSED CANTONMACAO RAILWAY.
page 6	RECALCITRANT CUSTONMS EMPLOYEES.
page 6	THE CHINESE QUESTION IN SIAM.
page 6	LEAGUE CRICKET.
page 6	WORLD'S NEWS.
page 6	THE NEW YORK FIRE.
page 6	THE WEIGHT OF METAL.
page 6	FINANCIAL NEWS.
page 7	THE HEMP FIEND.
page 7	WILL HASHISH TAKE THE PLACE OF OPIUM?
page 7	INDIAN DRUG ENTERING INDO-CHINA.
page 7	THE PLAGUE ECONFERENCE.
page 7	THE PHILIPPINES.
page 7	EXPERIENCING NPRECEDENTD ERA OF PROSPERITY.
page 7	CHINESE COINS FLOOD HONGKONG.
page 7	PROTEST BY BRITISH MINISTER.
page 7	OPIUM CURSE IN THE PHILIPPINES.
page 7	AN EXPERIENCE WITH THE SECRET SERVICE.
page 7	THE PLAGUE.
page 7	THE WEST RIVER.
page 7	CMPANY MEETING.
page 7	A.S. WATSON AND CO.LTD.
page 7	CHINESE IN AUSTRALIA.
page 7	DEATH OF CAPTAIN H.C.D. FRAMEPTON.
page 7	THE JAPANESE BOGEY.
page 7	CHINA'S VOLUNTEERS.
page 7	THE  DANGTER OF THE PRESENT SITUATION.
page 8	BILIBID AND OPIUM.
page 8	PHILIPPINE GOVERNMENT'S CRUSADE AGAINST VICE.BILIBID AND OPIUM.
page 8	PHILIPPINE GOVERNMENT'S CRUSADE AGAINST VICE.
page 8	"ANGED, DRAWN AND QUARTERDE."
page 8	A CHINESE METHOD OF WARNING EVILDOERS.
page 8	THE CANTON OUTRAGE.
page 8	ANARCHISTS ARRESTED.
page 8	GOVERNMENT HOUSE.
page 8	NEWS FROM THE NORTH.
page 8	KING GEORGE'S CORONATION.
page 8	MEETING OF LOCAL COMMITTEE.
page 8	GERMANS ADVISED TO LEARN CHINESE.
page 8	THE SHORT-LIVED REBELLION.
page 8	DEPARTURE OF NATIVE TROOPS.
page 8	CANTON'S Y.M.C.A.
page 9	HONGKONG PHILHARMONIC SOCIETY.
page 9	PENANG IN 1910.
page 9	MONEY PLENTIFUL AND TRADE GOOD.
page 9	AMERICAN TRADE IN THE PACIFIC.
page 9	A BIG INCREASE.
page 9	THE CANTON OUTRAGE.
page 9	BILLIARDS.
page 9	AMATEUR CHAMPIONSHIP OF HONGKONG.
page 9	THE CRISIS.
page 9	VIEWS OF CHINESE ABROAD.
page 9	U.S. CONSULATES ABROAD.
page 9	THE GYMKHANA.
page 9	SMUGGLING ARMS.
page 9	THE NATIVE PRESS.
page 9	MR. IJUIN AND SUPPRESSION OF NEWS.
page 9	CHINA'S CURRENCY REFORM.
page 10	COST OF THE KOWLOON RAILWAY.
page 10	A READER'S VIEW.
page 10	SOCIAL KOWLOON.
page 10	BIG CINEMATOCRAPH COMPANY FORMED.
page 10	HONGKONG CRIME.
page 10	PUNISHMENT BY FLOGGING OR STOCKS.
page 10	BILLIARDS.
page 10	AMATHUR CHAMPION OF HONGKONG LOSES.
page 10	THRUSDAY NIGHT'S RESULT.
page 10	OPIUM IN MANILA.
page 10	ANOTHER HAUL BY CUSTOMS AUTHOURITIES.
page 10	CANTON NEWS.
page 10	CHINESE PRODUCE BROKERS.
page 10	NEW EXCHANGE ESTABLISHED IN SINGAPORE.
page 10	THE MINISTERING CHILDREN'S LEAGUE.
page 11	FRENCH DEANDS FROM CHINA.
page 11	TROOOPS TO BE STATINEED AT NANNING?
page 11	THE MACAO QUESTION.
page 11	POWER TO BE VESTED IN THE PEOPLE.
page 11	INTERESTING TO STAMP COLLECTORS.
page 12	HOME RACING.
page 12	CHINESE PORK.
page 12	ALLEGED SMUGGLING INTO IRELAND.
page 12	VICEROY CHANGES POST.
page 12	FOREIGNERS AND THE TEA TRADE.
page 12	CHINA'S NATIONAL ASSEMBLY.
page 12	THE PRINCE OF WALES.
page 12	MINERS SUPPLY INSIGNIA.
page 12	RUSSIAN TROOPS IN MONGOLIA.
page 12	CHINESE PANIC STRICKEN.
page 12	Inspecting the Frontier.
page 12	Russa Establishes a Consulate.
page 12	CHINESE MINISTER IN SIAM.
page 12	SERIOUS SITUATION IN MOROCCO.
page 12	FRENCH LEADER HELD UP WITHOUT AMMUNITION.
page 12	STRONG MEASURES TO BE TAKEN.
page 12	THE ETERNAL CITY.
page 12	FOUNDATION OF ROME ANNIVERSARY.
page 12	CHINA AND FREIGN AFFAIRS.
page 12	CHANGES IN POSITIONS.
page 12	THE OPIUM PROBLEM.
page 12	BRITISH CHINESE NEGOTIATIONS.
page 12	PROSPECTS OF SOLUTION OF DIFFICULTIES.
page 12	CHURCH AND STATE.
page 12	DISESTABLISHMENT IN PORTUGAL.
page 12	JAPANESE HONOURED.
page 12	EMPEROR MAKES NEW APOINTMENTS.
page 12	JAPANESE NAVY.
page 12	TWO MAMMOTH CRUISERS TO BE BUILT.
page 12	THE TOKIO FIRE.
page 12	THE PLAGUE.
page 12	INTERNATIONAL CONFERENCE.
page 12	WORLD'S NEWS.
page 12	SHANTUNG CHRISTIAN UNIVERSITY.
page 12	REBEL REVERSES IN ARABIA.
page 12	OUR LEETER BOX.
page 12	THE CHINESE PRESS.
page 13	OUR CONTEMPORARIES.
page 13	WHAT THEY THINK.
page 13	HONGKONG AND WIRELESS.
page 13	THE KOWLOON CANTON RAILWAY.
page 13	CHINESE PARTNERSHIPS.
page 13	VIOLENT ROBBERIES IN SHANGHAL.
page 14	CHINESE IMPEACHMENTS.
page 14	HONGKONG'S CROWING INDUSTRY.
page 14	SEA CRASS FURNITURE.
page 14	A SHORT SERMON.
page 14	MIND ALSO NEEDS RECREATION.
page 14	THE BRIGHT SID.
page 14	WAMPOLE'S PREPARATION.
page 15	RUSSIA IN MONGOLIA.
page 15	MEN OF STRAW.
page 15	SIDELIGHT ON PARTNERSHIP ORDINANCE.
page 15	GULF GUN-RUNNING.
page 15	DESPATCH OF BRITISH EXPEDITION.
page 15	CAWNTON NEWS.
page 15	THE SITUATION IN MANCHURIA AND MONGOLIA.
page 15	MR. R. SHEWAN AND THE PHILIPPINES.
page 15	A BUSINESS TOUR.
page 15	COMMJERCIAL DELEGATIONS IN MANILA.
page 15	RUSSIA'S HARSH MEASURES.
page 16	LATEST MAIL NEWS.
page 16	MAGISTRATE AND INDIAN PRESS.
page 16	ALLEGED THREATENING LETTER.
page 16	YUNNAN FRONTIER.
page 16	APPLICATIN FOR AMMUNITION.
page 16	AMERICAN NEWS.
page 16	DREDGING THE SHA-HO.
page 16	WORK TO BE CARRIED OUT AT FATSHAN.
page 16	ALLEGED BREACH OF TRUST.
page 16	CHARGE AGAINST A MANAGER.
page 16	DRINKIN IN JTEH ARMY.
page 16	INDIA'S VIEWPOINT.
page 19	A REVOLUTION IN TELEPHONY.
