page 3	ALIENS AS PROFESSIONAL IMMIGRANTS.
page 4	THE CRIMEA AND MANCHORIA.
page 4	THE BALTIC FLEET.
page 4	WITH THE RUSSIAN ADMIRAL IN KAMRAHN BAY.
page 4	CHARGE THAT FAILED.
page 4	AND A WARNING.
page 4	DAMP HOUSES AND THE REMEDY.
page 4	THE EARHQUAKE IN INDIA.
page 4	APPALLING DEATH ROLL TALES OF SURVIVORS AT DHARMASAL.
page 4	ANOTHER ACCOUNT FROM KANGRA.
page 4	FIRE AT ST JOSEPH'S COLLEGE.
page 4	KOWLOON SEAMEN'S INSTITUTE.
page 4	THE "ALBION'S" SUCCESS.
page 4	GREAT BRITAIN'S POSITION AT WEI-HAI-WEL
page 4	BARON KANEKO ON THE WAR.
page 5	The British Naval Manmuvres.
page 5	The Stud.
page 5	Hints for Indo-China.
page 5	The Success of Japan Domestio Loan.
page 5	Japan Honours Her Dead.
page 5	THE MACKAY TREATY.
page 5	RUSSIAN WARSHIPS AT CHEFOO.
page 5	CHINESE NEUTRALITY.
