page 2	THE AFTHRMATH OF FAMINE.
page 4	AN APPKAL CASE.
page 4	THE ALTERED ASSIGNMENT.
page 4	ARREST OF MR. CHUNG WENG KWONG OF CANTON.
page 4	HIS INNOCENCE PROTESTED.
page 4	"HONGKONG TELEGRAPH" SERVICE.
page 4	VICEROY SHUM.
page 4	LEAVE FURTHER EXTENDED.
page 4	PROCERDING SOUTH UPON EXPIRY.
page 4	EXIT CHOW FU.
page 4	VICEROY'S LOCUM TENENS.
page 4	PROVINCIAL TREASURER APPOINTED.
page 4	WU ASSUMES CHARGE.
page 4	CHOW FU'S DEPARTURE.
page 4	FOR HONGKONG.
page 5	The Salvation Army.
page 5	France.
page 5	Indian Mutiny Veterans.
page 5	The Hague Conference.
page 5	SOUTH CHINA RIOTS.
page 5	THE INDIAN MURDER TRIAL.
page 5	A WITHESS'S STORY OF THE MURDER.
page 5	CANTON DAY BY DAY.
page 5	THE SOUTHERN RIOTERS.
page 5	AGAINST PIRACY.
page 5	KWANGST RICE.
page 5	ANTI-OPIUM CRUSADE.
page 5	RIVER BRIDGE COMPANY.
page 5	THE PROHIBITION OF OPIUM.
page 5	AN IMPERIAL EDICT.
page 5	THE MUTINY ON THE "ASHTABULA."
page 5	THE FORMOSAN ABORIGINES.
page 5	A DIFFICULT TASK.
page 6	THE HOUSE FLY AND ITS DANGERS.
page 6	WEATHER-FOROASTS AND STORM-WARNINGS ISSOED FROM THE HONGIONG OBSENVATORY.
page 6	METEOROLOGICAL SIGNALS.
page 6	URGENT SIGNAL.
page 6	OF THE SECONDS.
page 6	NIGHT SIGNALS.
page 6	SUPPLEMENTARY WARNINGS.
page 7	THE "FIELD" ON THE OPIUM CURE.
page 7	THE WEATHER.
