page 3	JAPAN, GERMANY, AND AMERICA.
page 4	THE British despatch boat Alacrity has left for Mirs Bay.
page 4	THE Kobe Chronicle will in future be known as the Japan Chronicle.
page 4	WE have to thank Messrs. Gregor & Co. for a most artistic calendar for 1905. It is a credit to the firm.
page 4	THE subject of the letter signed by "One of the Spectators" was dealt with by "Tin God" last evening.
page 4	IT is stated in the P. & T. Times that Prince Chun, the Emperon's brother, is to represent China at the coming Belgain Exhibition.
page 5	"HONGKONG TELEGRAPH" SERVICE.
page 5	SERIOUS RIOT AT CANTON.
page 5	POLICE STATION DEMOLISHED.
page 5	BUSINESS SUSPENDED.
page 5	Opium for China.
page 5	Mr. Chamberlain and Australia.
page 5	Kaiser Decorates Stoessel and Nogi.
page 5	The Supplementary Baltic Squadron.
page 5	Great Britain and Germany.
page 5	Shipment of Gold to Japan.
