page 1	HONGKONG AND SHANGHAIBANKING OORPORATION.
page 3	ASSASSINATION AT THE IMPERIAL INSTITUIE.
page 3	EYE WITNESS'S STORY LADY WYLLIE'S RECOCNIRION OF HR HUSBAND.
page 3	WIFE'S OREDEAL.
page 3	Dhinagri
page 3	SIR W. H. CUFZON WYLLIE.
page 3	THE SECOND VICTIM.
page 3	DR CAWAS LALCACA SHANGHAI.
page 3	WHAT TT WILL DO.
page 3	WAMPOLE'S PREPARATION.
page 4	THE NEW ORDERIN KORHA.
page 4	STEAM-LAUNCH SUNK.
page 4	SKRIOUS COLLISION OFF WEST POINT.
page 4	ALLEGED FALSE IMPRISON MENT.
page 4	A SHOEM KER'S CLAIM AGAINST A TRADER.
page 4	CANTON DAY BY DAY.
page 4	PREPARATIONS FOR H.E. CHANG'S DEPARTURK.
page 4	FAREWELL DINNER BY ACTING VICEROY.
page 4	GOVERNMENT PAPER FACTORY.
page 4	OFFICIAL AMENITIES.
page 4	OFFICIAL APPOINTMENTS.
page 4	COMMERCIAL DEPUTY'S RETURN.
page 4	JAPANESE ADMIRAI IN CANTON.
page 4	THE NEW VICEROY.
page 4	ENCOUNTER WITH OUTLNWS.
page 4	STABBING AFFRAY AT YAU-MA-TI.
page 4	DISTURBED SLEEPER STABBED TWICE IN THE BACK.
page 4	TYPHOON WARNING.
page 4	A BHER RUNNER'S CLAIM.
page 4	CLAIM AGAINST ORIENTAL BREWERY CO.
page 4	TECHNICAL INSTITOTE.
page 4	SUCCESSFUL STUDENTS.
page 5	MACAO'S DELIMITATION.
page 5	VICEROY CHANG'S MEMORIAL.
page 5	CHANG CHIH-TUNG.
page 5	STILL INDISPOSED.
page 5	GRAND COUNCILLOR LUK.
page 5	IN A CRITICAL CONDITION.
page 5	TUNGKUANSHAN CONCESSION.
page 5	INDEMNITY CLAIMED.
page 5	PRINCE CHEN.
page 5	ASSISTING THE REGENT.
page 5	BATHING FATALITY.
page 5	COOLIE DROWRED IN THE ASMCHUN RIVER.
page 5	HONGKONG WATER POLO SHIELD COMPETITION.
page 5	FOURTH ROUND.
page 5	LUSITANO-RECREATION CLUB SETH CO.R.C.A.
page 5	BAMBOO ROPES.
page 5	LOCAL ASSISTANCE REQUESTED.
page 5	HONGKONG GARDENS.
page 5	SUPERINTENDENT'S REPORT.
page 5	BOTANIC GARDENS.
page 5	MOUNTAIN LODGE GROUNDS.
page 5	BLAKE GARDEN.
page 5	ROCKERIES.
page 5	TAI PO GARDEN.
page 5	THE TYPHOON.
page 5	DUILDINGS.
page 5	BOTANIC GARDENS.
page 5	BLAKE GARDEN.
page 5	GOVERNMENT HOUSE GROUNDS.
page 5	COLONIAL CEMETERY.
page 5	STREET TREES.
page 5	PINE PLANTATIONS.
page 5	HERBARIUM.
page 5	S. S. "CHINA".
page 5	BIG BULLION SHIPMENTS.
page 5	KIDNAPPED-BY BRIGANDS.
page 5	INDIGNATION AT GOVERNMENT'S APATHY.
page 5	HANOI'S VIGOROUS PRCTEST.
