page 1	箋
page 2	選錄京報
page 2	奴才桂祥那遜綽克圖跪 奏為特藉詞推諉致誤要差之署盟長請 飭理藩院嚴議處分以昭炯戒恭摺仰祈 聖鑒事竊查前准
page 2	李鴻章片 再臣於光緒七年　保天津機器局歷年出力人員請獎案內有候選縣丞李應時請不論
page 2	雙單月儘先選用經吏部行
page 2	羊城新聞
page 2	正月二十日 督撫憲轅報 理事廳貴知放八旗兵米化州邱署長樂縣葉俱見辭赴任補用縣續芳辭回廠鹽經廳章候補
page 2	二十一日 督撫憲轅報 督憲張 撫憲倪 出府往藩憲襲官太太靈前行禮順德縣丞劉鍾駿辭回署雙恩王嵩齡謝委補用
page 2	正月二十日二十一日 督憲武弁轅報 補用副將鄭潤材卸清遠營遊擊江志俱稟知帶安勇往三元里開濠中協王廣協鄧俱
page 2	匪被獲 城西各典肆自源坊公昌押于客臘被賊匪搶掠而後咸有戒心雖經獲有匪徒供認夥黨而有等愍不畏死仍蹈故
page 2	義學延師 衛邊街之廣州府義學乃前任府尊馮子立觀察之所設也每年延請宿學之士二人在其館內訓誨童蒙歷任府尊皆
page 2	中外新聞
page 2	門要電 本月二十三晚十一點鐘本館接到門採訪友人發來電音言西歷二月十四日華歷除夕之日有法兵三千名由
page 2	倫敦電音 二十一日英都倫敦發來電音言昨閱英國爹厘日報得悉英廷現接有俄廷文書乃言其調兵往阿富汗別無他意惟
page 2	炮艦離港 二十三日英國依士波炮船由港啟行前往北海
page 2	英兵東來 西報言英國現撥軍兵四百名員弁十一名及記名員弁等以為水雷炮兵聞將分派往新嘉坡及毛厘士香港等埠俾
page 2	捉捕逃亡 舊金山報刊有西歷正月三十一日紐約電音言中國駐劄紐約領事官歐陽君錦堂於三十日下午命駕往華人街與
page 2	東京近耗 東京遞到西字信息言法提督保利亞於初七日由諒山行抵河內隨於初十日復往諒山昨閱東京法字報載有諒山
page 2	天津電音 接得天津發來電音云該處天氣現已微覺和暖大沽口之冰漸次開融至厚處不過九寸儻得春風習習依舊吹噓則
page 2	封口示定 本港爹利嘉罅輔西報接到二十三日北海來電言該處並無封口告示亦未見有法戰船在此停泊則法人之前言封
page 2	法船往越 法國尼機文書船於月之十四日由馬喜地方行抵星架坡購辦煤斤之後駛往西貢
page 2	密防敵船 西報謂現虎門砲臺各官甚為留意以察看外國船艘蓋恐法船於夜間潛行闖入也日前門輪船於夜間行至虎門
page 2	加抽茶稅 港中西人接有福州來電言該處現擬加抽茶稅每加抽銀一兩二錢五分查前時每抽銀二兩二錢五分現則每
page 2	三王敗北 金邊國之三王因不悅法人侵奪金政奮起義師各節迭次詳錄於報閱西貢之西貢樂意日報云西貢總督近接到
page 2	戍婦懷人 元任翰林院侍講學士張君幼樵續娶夫人係現任陝西巡撫邊潤民中丞之淑媛貌可羞花才工詠絮于歸張君不及
page 2	戶部條奏開源節流事宜 邊陲不靖 宵訏告勞醇邸面奉 皇太后懿旨會同總理衙門戶部等會議創開海防事例捐輸本報業經
page 2	一領票行鹽酌合捐輸 查同治年間前兩江督臣曾車藩於兩淮踵行票鹽修築清水潭案內令各票商接一票捐銀四百兩光緒
page 2	一整頓鹺務 查各省鹽務例定按年請領部引行鹽納課道光中葉兩淮始改
page 3	行票張自粵匪竄擾各省創辦抽厘濟餉兩淮踵行
page 3	一就出茶處所徵收茶課 據總理衙門單開光緒八九等年出口茶數多至一萬九千餘萬斤查道光年閻英國所收茶稅約計每
page 3	一推廣洋藥捐輸 查廣東省光緒初年籌備海防藩司招商黃近源包抽通省洋藥捐銀每年認交洋銀四十二萬元五年為滿每
page 3	一推廣沙田牙帖捐輸 查光緒六年廣東省籌辦海防奏稱每沙田一畝捐銀二錢是年該省撥過海防經費沙田捐輸銀二十餘
page 3	一酒行店入貲給帖 查同治三年十二月十三日兩江總督曾國藩奏稱江北糧台進有統捐及花布行棧捐名目竊以從前
