page 1	我軍反攻已迫近蕪湖。
page 2	淮河北岸
page 2	我軍已佈成堅强陣線
page 2	我軍由臨淮關出擊將敵截成兩段
page 2	敵軍企圖由懷遠進犯蒙城難得逞
page 2	蚌埠懷遠敵被我機轟炸損失甚重。
page 2	敵機
page 2	武漢
page 2	機場
page 2	漢陽兵工廠
page 2	合肥
page 2	宜昌
page 2	鄞縣
page 2	中央
page 2	救濟委員會
page 2	外僑
page 2	警備司令部
page 2	軍人收容所
page 2	華中
page 2	漢奸
page 2	李思浩
page 2	香港 
page 2	將士
page 2	行政院
page 2	我軍
page 2	蕪湖
page 2	宣蕪路
page 2	點竹絲港車站
page 2	飛機場
page 2	油庫
page 3	希特勒
page 3	政變真相
page 3	美人
page 3	南美洲
page 3	法報
page 3	保皇黨
page 3	巴黎時報
page 3	德國
page 3	弗里區
page 3	大使
page 3	星洲礦工
page 3	日本
page 3	倫敦
page 3	香港
page 3	日輪
page 3	貨物
page 3	美中立法
page 3	參議員
page 3	金氏
page 3	東京
page 3	王正廷
page 3	羅斯福
page 3	謝壽康
page 3	比國教長
page 3	英意
page 3	英國
page 3	巡邏
page 3	地中海
page 3	法方
page 3	意大利
page 3	英駐華軍隊
page 4	英國
page 4	調解中日說
page 4	外部
page 4	星洲軍港
page 4	美法荷
page 4	艦隊
page 4	星洲市當局
page 4	德國海軍
page 4	主力艦
page 4	專科學校校員生
page 4	蓉護士
page 4	蘇聯
page 4	飛船
page 4	北冰洋
page 4	船員
page 4	民族 
page 4	華北兵災
page 6	唐家灣
page 6	敵艦
page 6	淇澳島
page 6	敵兵
page 6	香洲
page 6	潮汕海外敵艦
page 6	媽嶼港
page 6	海南港
page 6	廣澳
page 6	汕
page 6	商店
page 6	敵機
page 6	統率會
page 6	督察組
page 6	自衛團
page 6	人員
page 6	軍事政治
page 6	虎門
page 6	省港陸路交通
page 6	日本
page 6	外僑
page 6	漁民
page 7	敵機
page 7	虎門
page 7	廣州
page 7	市效
page 7	軍管區
page 7	省港海運
page 7	財廳
page 7	國稅
page 7	市商會
page 7	商人
page 7	職員
page 7	嶺南師管區電話
page 7	全黨
page 7	黨軍
page 7	師管區司令
page 7	農村
page 7	桂省府
page 7	水利區
page 7	桂梧邕龍柳平色保
page 7	水田
page 7	軍會
page 7	軍委員
page 7	船舶總部
page 7	敵機
page 7	惠
page 7	高要
page 7	海豐漁船
page 7	傳單
page 7	南海
page 7	新會民船
page 7	番禺
page 7	南海鹽步鄉
page 7	刦匪
page 7	老婦
page 7	吳專員
page 7	南康白龍
page 9	港督關杯社會事業
page 9	巡視東華東院及保良局
page 9	兩機關總理引導參觀
page 9	港督對所措施頗好評。
page 9	潮州八邑商會
page 9	當局
page 9	洋米
page 9	入口稅
page 9	政府人民
page 9	敵人
page 9	歐洲名記者
page 9	巴特列特
page 9	香港
page 9	新聞經錄報消息
page 9	港中學校
page 9	德士古公司火油艇
page 9	日機
page 9	北海
page 9	公債
page 9	股本
page 9	番禺會所
page 9	太古職工
page 9	組織
page 9	縣希臘旗
page 9	元懋輪
page 9	香港
page 9	台灣
page 9	戰利品
page 9	船主
page 9	船員
page 10	沿門
page 10	特別隊
page 10	隊伍
page 10	油漆工人
page 10	愛侶
page 10	馬交旅店
page 10	國貨展會
page 10	中國貨品公司
page 10	組織
page 10	輔政司
page 10	史美
page 10	星洲軍港
page 10	日本
page 10	僑胞
page 10	香港
page 10	史史斯窩夫輪
page 10	日籍船員
page 10	海軍
page 10	船塢
page 10	司令
page 10	九龍關
page 10	英艦角成號
page 10	救傷隊
page 11	鶴山商會
page 11	番禺
page 11	住戶
page 11	鋪客
page 11	租金
page 11	業主
page 11	大安台
page 11	女僕
page 11	華警
page 11	偽幣
page 11	日駐西公使
page 11	矢野
page 11	香港
page 11	日本
page 11	李昭
page 11	詳臬
page 11	學校消息
page 12	送別足球賽
page 12	南華
page 12	華塞斯
