page 1	韓復榘表示誓死守土。
page 2	一人
page 2	韓復榘
page 2	津浦綫
page 2	援軍
page 2	香港
page 2	空軍
page 2	敵機械
page 2	化部隊
page 2	晉北
page 2	平原
page 2	敵軍
page 2	蔣委員長
page 2	廣播
page 2	演講
page 2	我國對日抗戰
page 2	民族
page 2	國人
page 2	國際
page 2	本人
page 2	領導
page 2	全國
page 2	將士
page 2	生存
page 2	滬戰事
page 2	今日
page 2	敵偷渡
page 2	蘊藻
page 2	犯濱
page 2	閘北
page 2	江灣
page 2	登陸
page 2	雙十
page 2	國慶
page 2	紀念日
page 2	中宣部
page 2	國人文
page 2	寒衣
page 2	四萬
page 2	英明
page 2	華胃
page 2	李品仙
page 2	晋京
page 2	宣傳
page 2	視察隊
page 2	電訊
page 2	松井
page 2	日報
page 2	外省
page 2	滇省
page 3	各國
page 3	會商
page 3	九國
page 3	公約
page 3	會議
page 3	列強
page 3	日本
page 3	經濟
page 3	封鎖
page 3	英首相
page 3	張伯倫
page 3	美總統
page 3	羅斯福
page 3	英國
page 3	合作
page 3	世界
page 3	和平
page 3	赫爾
page 3	遠東
page 3	時局
page 3	中國
page 3	政府
page 3	輔幣
page 3	溫莎公
page 3	爵將
page 3	抵德
page 3	德政府
page 3	敵機
page 3	南京
page 3	日本
page 3	專使
page 3	赴德
page 3	行政院
page 3	人民
page 3	金銀
page 3	飾物
page 3	保管
page 3	意國
page 3	三角
page 3	會議
page 3	公債
page 3	芝加哥
page 3	大橋
page 3	典禮
page 3	演詞
page 3	全文
page 3	民衆
page 3	日貨
page 3	美商
page 3	定單
page 3	萬元
page 3	加瑞
page 3	印工業家
page 3	英艦
page 3	員兵
page 3	過粵
page 3	來港
page 3	日機
page 3	當局
page 6	敵海空軍
page 6	虎門
page 6	外輪艦
page 6	六時
page 6	九時
page 6	十九艘
page 6	敵機
page 6	司令部
page 6	李漢魂
page 6	當局
page 6	一萬元
page 6	粵路
page 6	潛艇
page 6	河道
page 6	汕頭
page 6	海口
page 6	工事
page 6	民衆
page 6	各國
page 6	日本
page 6	羅斯福
page 6	侵略者
page 6	美領
page 6	凌士芬
page 6	代表
page 6	價日庚款
page 6	本月
page 6	工作
page 7	敵機
page 7	兩次
page 7	粵北
page 7	曲江
page 7	英德
page 7	敵機隊
page 7	偵察
page 7	廿八架
page 7	我空軍迎戰敵敗逃時濫炸沿鐵路民衆
page 7	各界
page 7	今晨
page 7	紀念
page 7	國慶
page 7	九時
page 7	民教館
page 7	明日
page 7	總理
page 7	廣州
page 7	外僑
page 7	日敵
page 7	正義會
page 7	救濟會
page 7	物質
page 7	援助
page 7	一月
page 7	潮汕
page 7	各方
page 7	商店
page 7	開業
page 7	貼放會
page 7	主席
page 7	內河
page 7	交通
page 7	覃連芳
page 7	廣西
page 7	八九拾萬人
page 7	工廠
page 7	潮安
page 7	貨運
page 7	農戶
page 7	蕃薯
page 7	警局
page 7	難所
page 7	韓江
page 7	嶺東
page 7	各屬
page 7	農品
page 7	揭陽縣
page 7	澤國
page 7	颶風
page 7	農植
page 7	水災
page 7	公路
page 7	行車
page 7	潮安
page 7	湘橋
page 7	中山
page 7	九區
page 7	橫檔鄉
page 7	海灘
page 7	第二號
page 7	驅逐機
page 7	機師
page 7	三人
page 7	機槍
page 7	飛禪
page 7	黑物
page 7	我敵機隊
page 7	崖門
page 7	塘夏
page 7	鄉民
page 7	惠陽
page 7	平海
page 7	洋艦
page 7	敵艦
page 7	電白
page 7	漁船
page 7	敵輪
page 7	一艘
page 9	中華民國
page 9	我們
page 9	恭祝
page 9	國慶
page 9	聯合
page 9	痛快事
page 9	全港
page 9	婦女
page 9	何應欽
page 9	吳鐵城
page 9	夫人
page 9	留港
page 9	盛會
page 9	雙十
page 9	餐舞會
page 9	八時
page 9	思豪
page 9	酒店
page 9	救國
page 9	公債券
page 9	第一批
page 9	抵港
page 9	票額
page 9	一千元
page 9	二千元
page 9	勸券
page 9	分會
page 9	主任
page 9	本報
page 9	籌賑處
page 9	捐欵
page 9	工人
page 9	血汗資
page 9	士獵威
page 9	公司
page 9	職員
page 9	五百元
page 9	國家
page 9	美人
page 9	馬列
page 9	碩士
page 9	中國
page 9	世界
page 9	文化
page 9	亞洲
page 9	中華民族
page 9	代督委
page 9	麥基利哥
page 9	漁船
page 9	事件
page 9	人類
page 9	報告書
page 10	省港
page 10	救護團
page 10	今日
page 10	戰區
page 10	外籍
page 10	醫師
page 10	保羅
page 10	王德光
page 10	領隊
page 10	李樹芬
page 10	醫生
page 10	昨晚
page 10	各團體
page 10	華賑災會
page 10	總統
page 10	船員
page 10	女靑年會
page 10	海員
page 10	洋務
page 10	藥物
page 10	英海軍
page 10	官員
page 10	由省
page 10	抵港
page 10	粵漢
page 10	路上
page 10	日機
page 10	日本
page 10	衛生局
page 10	開會
page 10	巴林美
page 10	議員
page 10	牌照
page 10	趙大
page 10	光氏
page 10	救國
page 10	輔幣
page 10	二元
page 10	港政府
page 10	昨日
page 10	通告
page 10	陳妙蘭
page 10	小童
page 10	港中
page 10	炮台
page 10	操砲
page 10	潛艇
page 10	大演習
page 10	明日
page 10	五天
page 10	兩會
page 10	賣花
page 10	六千餘元
page 10	陳鳳岐
page 10	婦人
page 10	陳二
page 10	鯉魚門
page 10	炮兵
page 10	葡國
page 10	國慶
page 10	港督
page 11	第八次
page 11	賽馬
page 11	第一日
page 11	各塲
page 11	獨彩
page 11	三彩
page 11	搖彩
page 11	開票廠
page 11	四人
page 11	積匪
page 11	港府
page 11	一束
page 12	尋常杯
page 12	足球賽
page 12	南華
page 12	南大捷
page 12	米杜錫
page 12	九華會
page 12	九龍會
page 12	黃錫炳
page 12	今日
page 12	海軍
page 12	友誼
page 12	足球賽
page 12	排球隊
page 12	慈善比賽
page 13	雙十特刋
