page 1	出雲艦被我水雷轟中。
page 2	全滬
page 2	敵──雲艦
page 2	我水雷
page 2	敵艦尾部
page 2	鋼綱
page 2	敵全線
page 2	我軍
page 2	炮虞
page 2	損失
page 2	我敢死隊
page 2	水兵
page 2	機槍
page 2	滬各線敵
page 2	劉行東南
page 2	顧家宅
page 2	敵工事
page 2	西王宅
page 2	敵艦
page 2	砲兵
page 2	陣地
page 2	米師團
page 2	羅店
page 2	血戰
page 2	敵大尉
page 2	敵軍
page 2	前途
page 2	敵機分隊
page 2	我閘北
page 2	敵援軍
page 2	七千餘
page 2	目標
page 2	東方圖書館
page 2	劉尚
page 2	馬鴻賓
page 2	蔣鼎文
page 2	進展
page 2	第八路軍
page 2	大同
page 2	陽高
page 2	中央
page 2	某大員
page 2	我各城市
page 2	四架
page 2	標誌
page 2	蕪湖
page 2	閩省組織
page 2	戰時服務團
page 2	林主席
page 2	救國公債
page 2	粮食調節法
page 3	敵膽
page 3	日貨運動
page 3	全英
page 3	公民聯會刋
page 3	標語
page 3	倫敦
page 3	新紀錄
page 3	反日民衆大會
page 3	礦工聯會
page 3	全英勞工
page 3	西戰會議
page 3	僵局
page 3	西政府
page 3	英法
page 3	反對
page 3	英法意會議
page 3	希特拉
page 3	百萬
page 3	德人
page 3	墨索里尼
page 3	砲彈式
page 3	演說
page 3	美準備
page 3	國聯
page 3	經濟
page 3	制裁
page 3	美人
page 3	中立
page 3	十六萬元
page 3	中國
page 3	難民
page 3	法報
page 3	意相
page 3	意水兵
page 3	我商人
page 3	市府
page 3	眞相
page 4	項英
page 4	致書
page 4	所部
page 4	一切
page 4	各游擊隊
page 4	聽候
page 4	金質戒鐲
page 4	鐵質戒鐲
page 4	川各大學
page 4	戰區借讀生
page 4	軍委會派員
page 4	粵垣
page 4	情形
page 4	兩攝影師
page 4	工作
page 4	國府
page 4	命令
page 4	韓復──
page 4	敵機
page 4	市郊
page 4	魚珠
page 4	閩海
page 4	九龍服務團
page 4	在京
page 4	徐舉行
page 4	抗敵宣傳會
page 4	武漢
page 4	學生
page 6	敵海空兩軍
page 6	我虎門
page 6	敵重轟炸機
page 6	六架
page 6	黃埔
page 6	中大
page 6	黃埔軍校
page 6	俱樂部
page 6	正午
page 6	我機
page 6	市郊外
page 6	警報
page 6	中肇和艦
page 6	母艦
page 6	蔣委長
page 6	粵守士
page 6	將士
page 6	總部
page 6	大漢奸
page 6	詭計
page 6	小漢奸
page 6	絕跡
page 6	廣州市民
page 6	鋤奸團
page 6	我鐵路
page 6	交通
page 6	粵湘贛桂公路綱
page 6	徐景唐
page 6	全省
page 6	車輛
page 6	工作
page 6	粵漢廣九廣三路
page 6	防空力量
page 6	黨政軍
page 6	公務員
page 6	公債
page 6	敵艦三艘
page 6	南澳
page 6	情形
