page 2	THE OPENING OF THE INLAND WATERS AND THE LOTI-SHUI QUESTION.
page 3	THE CHINESE EMPEROR'S CONDITINN.
page 3	NA IVE OPPOSITIONI TO MINING ENTERPRISE.
page 3	FOREIGN POWERS AND THE TELEGRAPH CABLES.
page 3	THE OCCUPATION OF MANIDA AND THE SPREAD OF THE ENGLISH LANGUAGE.
page 4	FORMIDABLE REBELLION IN ANHUI.
page 4	IMPERIALISTS HEAVILY DEFEATED.
page 4	RELEASE OF FATHER FLEURY.
page 4	HONGKONG LEGISLATIVE COUNCIL.
page 4	ORDINANCE.
page 4	THE PUBLIC BUILDINGS AND PLACES ORDINANCE.
page 4	THE IMPORTATION OF DOGS.
page 4	THE REGULATION OF VEHICLES.
page 4	ADJOURNMENT.
page 6	PIRACY ON THE WEST RIVER.
page 9	FILIPINO LEADERS INTERVIEW CONSUL WILLI MAS.
page 9	THEY WILL BE BATIAFIED WITH NOTHING SHORT OF INDEPEMDENCE.
page 9	THE SITUATION AT ILOILO.
page 9	STEAM LAUNCHES FOR U.S.
page 9	SERVICE AT MANILA.
page 9	REVIEWS.
page 11	SPELLING REFORM.
page 11	COLONIAL VETERINARY SURGEON'S REPORT FOR 1898.
page 11	ANIMAL DEPOTS.
page 11	BLAUGHTER HOUSES.
page 12	MARKETS.
page 12	STAFF.
page 12	THE CITY HALL.
page 13	COMMITTEE.
page 13	THE LIBRARY.
page 13	MUSEUM.
page 13	ACCOUNTS.
page 13	THE HONGKONG LAND INVESTMENT AND AGENCY GO., LIMITED.
page 13	DIRECTORS.
page 19	THE "CITY OF PEKING" IN COLLISION.
page 19	THE REBELLION IN ANHUI.
page 19	THE COLLISION IN MOJI HARBOUR.
page 19	GERMAN REORESENTATION ON THE SHANGHAI MUNICIPAL.
page 20	PORPOSHD ANGLO-JAPANESE BANK.
page 20	HONGKONG.
