page 3	THE RECONSTITUTION OF THE SANITARY BOARD.
page 9	THE REGISTRATION OF BIRTRS AND DEATHS BILL.
page 9	SUPREME COURT.
page 9	IN ORIGINAL JURISDIOTION.
page 9	BEFORE HON. W. M. GOODMAN.
page 9	HONGKONG LAND INVESTMENT AND AGENCY CO., LIMITED, V. W. G. BRODIE AND OTHERS.
page 9	IN BANKRUPTCY.
page 9	BEFORE HON. W. M. GOODMAN.
page 9	RE EDWARD FRANK BIRCHAL.
page 9	WRECK OF THE "SPONDILUS."
page 9	THE "HUMBER" ASHORE.
page 9	CENTENARY OF THE LONDON MISSIONARY SOCIETY.
page 9	PUBLIG MEETING AT THE CITY HALL.
page 17	WHY HONGKONG DOES NOT BECOME A MANUFACTURING CENTRE.
page 17	TO THE EDITOR OF THE "DAILY PRESS."
page 17	TO THE EDITOR OF THE "DAILY PRESS."
page 17	THE SALE OF BUILDING MATERIAL FROM THE PLAGUE DISTRICT.
page 17	TO THE EDITOR OF THE "DAILY PRESS."
page 17	HOUSE OT HOUSE VISITATION.
page 17	TO THE EDITOR OF THE "DAILY PRESS."
page 17	THE SECRET TREATY BETWEEN CHINA AND RUSSIA.
