page 2	ILLEGAL EXACTIONS ON TRADE IN KWANGTUNG.
page 3	RAILWAY INTERESTS AND SPHERES OF INFLUENCE.
page 3	CAPTAIN WINGATE ON THE TRADE OF HUNAN.
page 3	THE GOVERNMENT AND THE KOWLOON FERRY SERVICE.
page 4	THE WATER-CARRIAGE SYSTEM AND THE WATER SUPPLY.
page 4	TRAGIC AFFAIR AT WEST POINT.
page 4	MURDER AND SUICIDE BY AN AMERICAN.
page 4	MARRIED ON THE 22ND MURDERED ON THE 27TH.
page 8	PIRACY ON THE WEST RIVER.
page 8	A BITISH STEAMER HELD UP.
page 8	HOW THE CHINESE TORPEDO BOATS ARE EMPLOYED.
page 8	A STEAM LAUNCH IN DIFFICULTIES.
page 8	THE TKOOPS AND THE RECENT OPERATIONS.
page 8	STRANGE DISAPPEARANCE OF CAPTAIN MONCUR.
page 8	COLLAPSE OF VERANDNHS IN QUEEN'S ROAD CENTRAL.
page 12	AFFAIRS IN THE PHILIPPINES.
page 12	INSURGENTS AGGRESSIVE.
page 12	REBELS ATTACK NORTH LINT.
page 12	ENGAGEMENT NEAR BALIUAG.
page 12	A SCOUTING TRIP.
page 12	SPANISH PRISONERS ESCAPE.
page 12	DISASTROUS RESULT OF OVERCROWDING RIVER FERRIES.
page 12	THE SPANISH GARRISON AT BALER HOLDING OUT AGAINST OVER WHELMING ODDS.
page 13	THE FOOCHOW TEA TRADE.
