page 7	TRADE ON THE WEST RIVER AND THE INLAND NAVIGATION RULES.
page 8	ANTI-FOREIGN MOVEM_NIS IN CHINA.
page 8	ENGLAND'S DUTY IN CHINA.
page 9	THE PROPOSED RETROCESSION OF SHAMCHUN.
page 9	THE POLICING OF THE TERRITORY.
page 10	THE MISSIONARY DISTURBANCE NEAR FOOCHOW.
page 10	DETAILS OF THE OUTBREAK.
page 10	BRIGAND OUTRAGE IN MANCHURIA.
page 10	RUSSIAN ENGINEERS AND COSSACKS KILLED.
page 10	OUTRAGE ON GERMAN ENGINEERS IN SHANGHAI.
page 10	GERMAN TROOPS TO THE RESCUE.
page 10	ANTI-FOREIGN DISTURBANCE AT MENGTZU.
page 10	THE FRENCH CONSULATE AND CUSTOMS BUILDINGS ATTACKED.
page 17	THE PROPOSED RETROCESSION OF SHAMCHUN.
