page 2	THE CHINA HORSE.
page 3	VICEROY SHUM AGAIN.
page 3	AGAINST PHONETICISM.
page 4	PUBLIC APATHY.
page 4	CHINESE REFORMS.
page 5	PRINCE FUSHIMI AND "THE MIKADO."
page 5	CHINESE REBELLIONS.
page 7	STERLING SALARIES AGAIN.
page 7	DESERTIONS FROM THE POLICE.
page 9	CAUTION TO THE CHARITABLE.
page 9	AN ENGINEER'S DEATH.
page 9	"IS HE A CHINAMAN, OR?"
page 9	TO CHECK "DUMPING."
page 10	COLLISION IN THE HARBOUR.
page 10	"CHOISING" SUNK.
page 10	TWO SUSPECTED SUICIDES.
page 10	NEW TYPHOON SIGNALS.
page 10	NIGHT SIGNALS.
page 10	EXTRAORDINARY STORY OF IMPOSTURE.
page 10	SIMPLE CHINAMEN.
page 12	THE P.C M.O.'S REJOINDER.
page 13	DISTURBANCES ALL OVER CHINA.
page 13	THE RIOTS NEAR PAKHOI.
page 13	ANGLO-JAPANESE STEEL WORKS.
page 13	JAPANESE SAICEE RESERVES.
page 14	THE SANITARY COMMISSION.
page 14	TO THE EDITOR OF THE "DAILY PRESS."
page 14	CONCERT AT GOVERNMENT HOUSE.
page 15	REGISTRAR GENERAL'S REPORT.
page 16	SHUM'S APPOINTMENT CONFIRMED.
page 16	MACAO.
page 16	BAD FINANCIAL POLICY.
page 16	THE PLAGUE EPIDEMIC.
page 16	A WORD TO THE P.W.D.
page 16	THE DISTURBANCE NEAR SWATOW.
page 16	REASSURING NEWS.
page 16	OTHER NEWS FROM SWATOW.
page 16	A KOREAN CENSUS.
page 17	JAPAN.
page 17	FINANCIAL NERVOUSNESS.
page 17	CAUSES OF THE SLUMP.
page 17	TOKYO ELECTRIC RAILWAY.
page 17	ELECTRIC LIGHT COMPETITION.
page 17	THE RELIGIOUS FORCES.
page 17	VICEROY SHUM'S ANTECEDENTS.
page 17	HAKKA AND HOKLO.
page 17	ARTFUL ROGUES CAPTURED.
