page 2	NAVIGATION OF THE INLAND WATERS AND IMPRACTICABLE REGULATIONS.
page 3	THE FOREIGN OFFICE AND THE SUPPRESSION OF PIRACY ON THE WEST RIVER.
page 3	PROPOSED NEW SOLDIERS AND SAILORS' HOME.
page 3	THE NEW POST OFFICE.
page 4	GENERAL BLACK ON THE REFORM OF THE CHINESE ARMY.
page 4	THE INDIAN FAMINE.
page 4	THE TRANSVAAL WAR.
page 4	COLONIAL ASSISTANCE IN TIMES OF WAR.
page 5	GERMAN OPITION ON THE TRANSVAAL QUESTION.
page 7	VOLUNEERS FOR THE TRANSVAAL.
page 7	WAR EXCITEMENT GROWS IN MANILA.
page 7	SUICIDE OF MR. A MACMILLAN TOKYO.
page 12	A RISING IN KWEICHOW.
page 12	GREAL FIRE AT VLADIVOSTOCK.
page 12	A LEKIN STATION IN THE SHANGHAI SETTLEMENT.
page 12	RIOT BY RAILWAY WORKERS AT NEW WCHWANG.
