page 2	ENGLAND AND RUSSIA IN THE FAR EAST.
page 3	ANTI-CHINESE AND JAPANESE MKOVEMENT IN CANADA.
page 4	THE UNDERMANNING OF THE COLONIAL MEDICAL SERVICE.
page 4	ANOTHER MAN OF WAR'S BOAT CAPISZED.
page 4	AN OFFICER DROWNED.
page 4	MR. DUDGEON'S MISSION A FAILURE.
page 4	THE COMMISSIONER LEAVES PEKING.
page 5	THE REBELLION IN THE PHILIPPINES.
page 7	THE SHANGHAI CHAMBER OF COMMERCE ON TARIFF REVISION.
page 10	THE KOWLOON FERRY SERVICE IN THE TYPHOON.
page 10	THE MANAGERS OF THE "STAR" FERRY LAUNCHES.
