page 2	THE BOXER OUTBREAK.
page 7	A PRIVATE CONDITION.
page 7	LI HUNG-CHANG AND BRITISH AID.
page 7	A SMART CAPTURE.
page 7	A WEST RIVER FLOOD.
page 7	THE CANTON RAILWAY.
page 7	THE PLAGUE AT CANTON.
page 7	EDUCATION AT SWATOW.
page 7	THE REFORM MOVEMENT.
page 7	A POPULAR OFPICIAL.
page 7	SWATOW REGATTA.
page 7	AGUINALDO'S BODYGUARD DEFEATED --- "ELPRESIDENTE" MAY BE DEAD.
page 8	GENERAL CAMPAIGN NOTES.
page 8	THE LOCAL OUTBREAK.
page 8	PRESIDENTIAL CANDIDATE DEWEY.
page 8	THE QUEEN'S BIRTHDAY.
page 8	THE KUDAT RAID.
page 8	A CURRENCY IMPROVEMENT.
