page 2	OUR JUBILEE.
page 9	JUBILEE OF THE "HONGKONG DAILY PRESS."
page 9	THE BARLIEST EUROPEAN NEWSPAPERS IN CHINA.
page 9	THE BIRTH OF THE "DAILY PRESS."
page 10	HONGKONG FIFTY YEARS AGO.
page 11	THE EVOLUTION OF HONGKONG.
page 12	MODERN EDUCATION IN CHINA.
page 12	BUILDINGS AND EQUIPMENT.
page 13	INDUSTRIAL AND TECHNICAL EDUCATION.
page 13	HONGKONG SANITARY BOARD.
page 13	QUESTIONS.
page 13	REPORTS FOR HIS EXCELLENCY.
page 13	OVERCROWDING AT TAI HANG.
page 13	QUAINT PETITION.
page 13	A BELATED OPINION.
page 13	MORTALITY STATISTICS.
page 13	LIMEWASHING.
page 14	ADSETTS.
page 14	AGAIN REMANDED.
page 17	WEDDING IN THE CATHEDRAL.
page 17	CAPTAIN TAYLOR A.D.C. AND MISS BRACKENBURY.
page 18	THE SANITARY COMMISSION.
page 19	THE CUBICLE QUESTION.
page 19	MR. P. W. SERGEANT'S NEW BOOK.
page 20	EMPRESS-DOWAGER'S TEARS.
page 20	CONCERN FOR CHINA.
page 20	HONGKONG TRADEMARK LAW.
page 20	NEW BOOK.
page 20	FIRM CHINESE FOREIGN POLICY FORESHADOWED.
page 23	SHARE REPORTS.
