page 2	THE FOREIGN CUSTOMS AND THE COLLECTION OF LEKIN.
page 3	CONSUL HOSIE ON THE INLAND NAVIGAT ON RULES.
page 3	THE CUSTOMS QUESTION AT KIAOCHAU AND HONGKONG.
page 4	ANTI-MISSIONARY DISTURB ANCE NEAR FOOCHOW.
page 4	ALARMING REPORTS.
page 4	THE FOREIGNERS SAFE - NATIVES MISSING.
page 4	SAFE ARRIVAL OF MR. AND MRS PHILLIPS AND MISS SEARS.
page 4	DETAILS OF THE OUTBREAK.
page 9	GODOWNS ON FIRE AT WEST POINT.
page 13	FAMINE STRIOKEN PARANAQUE AND LAS PINAS.
page 13	WAR IN CEBU.
page 13	AGUINALDO ANXIOS FOR PEACE.
page 13	REBELS ATTACK SAN FERNANDO.
page 13	INSURGENT GENERAL LUNA DEAD.
page 14	THE SULU ISLANDS.
page 14	THE HONGKONG WEEKLY PRESS AND THE C. D. O.
page 14	FATAL ACCIDKNT TO ARCHDEA CON WARREN.
page 15	SAD DROWNING ACCIDENT.
page 15	THE LAW G VERNING DEVOLU TION OF LAND AT SHANCHAL.
page 15	TIENTSIN.
