page 2	H.E.THE GOVERNOR ON HONGKONG'S POSITION.
page 3	THE CENSUS.
page 3	JAPAN'S PROGRESS.
page 4	FRESH MISSIONARY TROUBLES.
page 4	FRENCH ACTIVITY IN SOUTH CHINA.
page 5	POSSIBILITIES OF INDO-CHINA.
page 5	OCCUPATIONS IN HONGKONG.
page 8	TRIAD REBELS IN KWANGTUNG.
page 8	NARROW ESCAPES OF MISSIONARIES.
page 9	CENSUS RETURNS FOR THE COLONY.
page 10	THE EVACUATION OF PEKING.
page 11	PROFESSIONAL SUPERVISION OF BUILDING WORKS IN HONGKONG.
page 12	METHODS OF DEALING WITH PLAGUE.
page 12	A SAILING RACE.
page 12	S.S. "HAILOONG" AS FLAG-SHIP.
page 12	A NATIVE RISING.
page 12	MISCELLANEOUS.
page 13	A NEW LOCAL STEAMER.
page 13	THE CHINA-BORNEO CO.
page 13	DEPRESSION IN SANDAKAN.
page 13	KUDAT THREATENED.
page 13	TESTIMONIAL TO MR. CLIFFORD.
page 13	THE PRESIDENT'S DEAT.
page 13	NEWCHWANG.
page 18	FINANCES OF THE STRAITS SETTLEMENTS.
