page 2	NURSING FACILITIES IN HONGKONG.
page 3	PUBLICITY FOR THE DIAMOND JUBILEE COMMITTEE'S PROCEEDINGS.
page 4	THE PLAGUE AND DRAINAGE.
page 4	IMPROVED TRADE ROUTES TO BURMAH AND CHINA.
page 5	RIOTS AT SHANGHAI.
page 5	THE VOLUNTEERS AND FIREMEN CALLED OUT.
page 5	THE COUNCIL VACILLATING.
page 5	THE BEGINNING OF THE TROUBLE.
page 5	FURTHER SPANISH SUCCESSES.
page 10	THE SUPPLY OF NURSES IN HONGKONG.
page 11	DIAMOND JUBILEE SUGGESTIONS.
page 14	THE FOREIGN TRADE OF CHINA 1896.
page 14	GENERAL.
page 14	REVENUE.
page 14	FOREIGN TRADE.
page 14	IMPORTS. 
page 18	QUEEN SLAND AND THE REVISED TREATY WITH JAPAN.
page 18	THE UNITED STATES TARIFF AND JAPANESE GODDS.
