page 6	THE RECORD OF THE YEAR.
page 7	A HAPPY AND PROSPEROUS NEW YEAR.
page 7	THE DEMANDS OF THE POWERS.
page 8	CHINA AND THE NATIONS.
page 8	THE QUESTION OF THE EMPRESS DOWAGER.
page 9	THE CRISIS: TELEGRAMS.
page 9	HONGKONG SANITARY BOARD.
page 9	MALARIAL RESEARCH.
page 9	SUGGESTED VERBAL AMENDMENTS TO EXISTING BYE-LAWS.
page 9	THE PROPOSED USE OF WATERING CARTS.
page 9	THE SUGGESTED SCHEME OF SANITARY IMPROVEMENT.
page 9	MOTION BY MR. OSBORNE AS TO AN IMPROVEMENT SCHEME.
page 11	THE SCAVENGING OF KOWLOON.
page 11	THE REMOVAL OF DEAD PIGS FROM THE ANIMAL DEPOTS.
page 12	QUARANTINE AGAINST HONGKONG IN NETHER LANDS INDIA.
page 12	THE RECENT OUTBREAK AT POKFULAM MR LADDS ACCUSED OF FLIPPANCY.
page 12	CHOL RAIN SINGAPORE.
page 12	MILK ANALYSIS.
page 12	THE LIMEWASHING RETURN.
page 12	THE HEALTH OF THE COLONY.
page 12	PREPARING FOR THE PLAGUE.
page 12	THE TROUBLE ON BOARD H.M.S. "BARFLEUR".
page 12	THE THIRD SUBSCRIPTION CONCERT.
page 14	KOWLOON DOCK DANCE.
page 14	THEATRE ROYAL.
page 14	ZETLAND LODGE INSTALLATION AND BANQUET.
page 15	ST. PETER'S SEAMEN'S CHURCH AND MISSION.
page 15	CANTON.
page 15	SUPPRESSING THE KWANGTUNG REVOLT THE NATIVE CHRISTIANS.
page 15	NORTHERN NOTES.
page 16	MOSQUITOES AND MALARIA.
page 16	TO THE EDITOR OF THE "DAILY PRESS".
page 17	THE GOVERNMENT AND THE REBELS IN KWANGTUNG.
page 17	TO THE EDITOR OF THE "DAILY PRESS".
page 18	STAR FERRY COMPANY, LIMITED.
page 18	THE GREAT EASTERN AND CALEDONIAN GOLD MINING CO, LD.
page 19	HONGKONG AND WHAMPOA DOCK COMPANY LIMITED.EXTRAORDINARY GENERAL MEETING.
page 20	HONGKONG VOLUNTEER CORPS.
page 20	"C" MACHINE GUN COMPANY.
page 21	LOCAL AND DISTRICT EVENTS 1900.
page 24	H.E. WU ON THE FOREIGN PRESS IN CHINA.
page 25	MISCELLANEOUS EXPORTS.
page 26	VERNON & SMYTH'S SHARE REPORT.
