page 2	THE PROGRESS OF THE WAR.
page 3	THE PRESS, THE PUBIC , AND THE WAR.
page 4	JAPANESE VICTORY ON THE YALU OFFICIAL DESPATCHES.
page 5	RUSSIAN CAUTION A T NEWCHWANG.
page 5	FROM JAPAN.
page 7	COOLIES AT HONGKONG FOR SOUTH AFRICA.
page 7	A WARNING.
page 7	CHOLERA ON THE FRENCH MAIL.
page 7	FIRE IN BONHAM STRAND, HONGKONG.
page 8	EUROPEAN LADY ATTACKED.
page 8	THE WRECK OF THE" HAITIEN.".
page 8	BLASTING ACCIDENT.
page 8	A JAPANESE WOMAN KILLED.
page 8	A FOREIGN EDUCATION.
page 8	SERIOUS FIGHT WITH BRIGANDS.
