page 2	THE RUSSO-JAPANESE WAR.
page 3	THE UNITED STATES AND CHINA'S NEUTRALITY.
page 3	Perhaps the most important item of information which reached Hongkong yesterday was that portion of our London correspondent's telegram appearing in another column which referred to a circular Note addressed by the United States Government to the Powers.
page 4	BRITAIN FRANCE AND THE WAR.
page 4	MUNICIPAL TRADING AT SHANGHAI.
page 9	NEW TERRITORY NOTES.
page 9	CHINESE OFFICIALDOM.
page 9	THE STOCKS.
page 9	EUROPEAN OFFICIALS.
page 9	CUSTOMS.
page 9	CROPS.
page 9	SAMCHUN RIVER DANGERS.
page 9	OUR "SUNDAY SCHOOLS."
page 9	THE RACE AND THE RACES.
