page 2	THE COURT'S RETURN AND THE FUTURE.
page 3	THE SECRETARY OF STATE AND THE PETITION.
page 3	EXCLUSION OF FOREIGNERS IN PEKING.
page 3	JAPAN'S PROGRESS.
page 4	A PUBLIC WORKS COMMISSION.
page 5	A DISGRACEFUL ROAD IN HONGKONG.
page 5	NEW TERRITORY FINANCE.
page 8	SIR JOHN CARRINGTON'S RETIREMENT.
page 9	FAREWELLS IN THE SUPREME COURT.
page 10	A DISTINGUISHED JAPANESE IN HONGKONG.
page 10	H.E. THE GOVERNOR AND KING LIEN-SHAN.
page 10	AN INTERESTING INTERVIEW.
page 11	THE MEETING OF THE PLANETS.
page 11	MACAO.
page 11	GO-OPERATIVE ENTERPRISE IN MACAO.
page 11	WANTED A BUILDING ASSOCIATION.
page 11	AN ANNIVERSARY.
page 11	TROOPS FOR MACAO.
page 11	A SEDITIOUS PLACARD.
page 11	ACTION BY H. B. M. CONSUL.
page 11	THE CHINESE MAN OF WAR "FAH-PO".
page 11	FORMATION OF A RIFLE CLUB.
page 12	M. DOUMER GETS A COOL RECEPTION.
page 12	SIAMESE VIOLATE THE FRENCH FRONTIER.
page 16	A NEW LIFE-SAVING APPARATUS.
page 16	TRAMWAYS FOR SHANGHAI.
page 16	A NATIVE PAPER ON THE U.S. EXCLUSION BILLS.
