page 3	OBSTRUCTIVE TACTICS OF THE CHINESE GOVERNMENT.
page 4	THE POSE OFFICE STAFF.
page 4	SURFACE CROWDING.
page 4	THE WATER-CARRIAGE SYSTEM.
page 4	ROAD CONSTRUCTION AND THE COLONIAL FINANCES.
page 9	FATAL FALL FROM A VERANDAH.
page 9	THE SECOND ENGINEER OF THE "ZAFIRO" KILLED.
page 9	THE NEW COMMANDER-IN-CHIEF OF THE AMERICAN FLEET.
page 9	ARRIVAL OF REAR-ADMIRAL WATSON.
page 9	THE "POWERFUL" DRAMATIC COMPANY AT THE THEATRE ROYAL.
page 9	THE COLLAPSE OF VERANDAHS IN QUEEN'S ROAD CENTRAL.
page 9	DISTURBANCES IN KWANGTUNG.
page 9	A SHIP ON FIRE IN THE HARBOUR.
page 9	A CHINAMAN INJURED.
page 15	DISASTROUS FIRE AT SHANGHAI.
page 15	THE YUNNAN RAILWAY SURVEY COMMISSION.
page 15	THE BURM-CHINA RAILWAY.
