page 2	THE NORTHERN CRISIS.
page 3	THE DYNASTIC QUESTION IN CHINA.
page 3	CHINA AND FRANCE.
page 4	HONGKONG AND THE KWANGSI FAMINE.
page 7	TROUBLE ON THE CANTON RAILWAY.
page 7	STORES LOOTED.
page 7	A CHINESE RUMOUR.
page 7	THE JAPANESE DIET.
page 8	A PRESS VISIT TO MACAO.
page 8	THE WRECK OF THE "FINS-BURY."
page 8	MASONIC AFFAIRS.
page 8	PERSEVERANCE LODGE.
page 8	LODGE EASTERN SCOTIA.
page 9	VICTORIA LODGE.
page 10	THE REGATTA.
page 10	JUNKS FOR THE STRAITS.
page 10	FATAL EXPLOSION.
page 10	THE NEW PREFECT.
page 11	PORT ARTHUR IN 1903.
page 11	THE MANCHURIAN HIGHWAYMEN.
page 11	COREAN NOTES.
