page 3	SIR THOMAS JACKSON'S DEPARTURE.
page 4	THE COLONY'S WATER SUPPLY.
page 4	FRENCH ACTIVITY IN THE SOUTH.
page 5	BRITISH NAVAL STRENGTH IN FAR EAST.
page 5	MINING REGULATIONS: THE PEKING DRAFT.
page 5	TELEGRAMS.
page 5	TROUBLES IN THE NORTH.
page 7	INCREASE ON THE DUTIES LEVIED ON OPIUM AT CANTON.
page 7	THE RATS ORDINANCE,1902.
page 7	FRENCH CUSTOMS TARIFF BILL.
page 7	THE SINGAPORE CHAMBER AND THE CORONATION CELEBRATION.
page 7	THE APPROACHING DEPARTURE OF THE CHAIRMAN.
page 7	THE CHINA CONTINGENT FOR THE CORONATION.
page 8	THE CONTINGENT'S DEPARTURS.
page 8	TE WEIHAIWEI REGIMENT.
page 9	THE DEPARTURE OF SIR THOMAS JACKSON.
page 11	ADDRESS FROM CHINESE COMMUNITY.
page 12	DEPARTURE ON THE "EMPRESS."
page 12	THE HEALTH OF HONGKONG.
page 12	THE DIAMOND JUBILEE FUND.
page 13	PRICES IN THE CENTRAL MARKET.
page 13	THE "KAIFONG" STOWAWAY CASE.
page 14	OPENING OF A SIKH TEMPLE IN HONGKONG.
page 14	THE GENERAL POST OFFICE IN 1901.
page 15	GENERAL.
page 15	PRESENTATION TO MR. J. W. GRAHAM.
page 15	AMATEUR THEATRICALS AT CANTON.
page 15	CAPTAIN SCOTT AND HIS "DOTTER."
page 15	MANCHURIA AND MONGOLIA.
page 16	FRENCH DESIGNS IN SOUTH CHINA.
page 16	CANTON.
page 16	AN ENLIGHTENED OFFICIAL.
page 16	A TAX ON SAMSHU.
page 16	A DIFFICULT ESSAY.
page 16	A IADY TOURIST.
page 16	HOW TO AVOID LEKIN.
page 16	AN EMBANKMENT SCHEME.
page 20	GERMAN MERCHANTS AND THE TARIFF NEGOTIATIONS.
page 20	WEIHAIWEI: A CURIOUS STORY.
page 20	PLAGUE PREVENTION IN KOBE.
page 21	MESCELLANEOUS.
