page 2	GERMANY IN THE FAR EAST AND ELSEWHERE.
page 3	THE FUTURE OF DALANY.
page 3	MARQUIS ITO AND THE NEW ALLIANCE.
page 3	THE CHAIR AND JINRICKSHA COOLIES QUESTION.
page 4	HONGKONG AND THE PLAGUE.
page 6	EDUCATION IN HONGKONG.
page 6	MR. IRVING'S NOTES.	
page 6	REPLY OF THE SECRETARY OF STATE.
page 6	HIGHER EDUCATION FOR CHINESE.
page 7	BELILIOS PUBLIC SCHOOL FOR GIRLS.
page 7	ENGLISH DIVISION.
page 7	CHINESE DIVISION.
page 8	ALICE MEMORIAL AND NETHERSOLE HOSPITALS.
page 9	THE SPECIAL EMBASSY TO LONDON.
page 9	THE CHOLFRA.
page 9	THE PLAGUE AT WOOSUNG.
page 9	NEW LINERS FOR HONGKONG RUN.
page 9	THEATRE ROYAL.
page 9	ORGAN RECITAL.
page 10	REBELLIONS IN KWANGSI.
page 10	THE COLONY'S FUTURE.
page 10	THE IST CHINESE REGIMENT.
page 10	TEMS.
page 10	FOOCHOW.
page 21	HONGKONG VOLUNTEER CORPS.
