page 2	HONGKONG'S PETITION TO THE SECRETARY OF STATE.
page 3	THE RUSSIAN RENUNCIATION STORY.
page 3	SHIPPING AT HONGKONG.
page 3	THE QUARRY BAY PLAGUE HOSPITAL.
page 4	THE INCREASE OF MEDICAL STAFF.
page 4	PLAGUE ON THE "LAOS."
page 5	THE PLAGUE.
page 5	HONGKONG SANITARY BOARD.
page 5	FURTHER REPORT BY THE SANITARY IMPROVEMENTS COMMITTEE.
page 5	REPORT OF CHINESE CEMETERIES COMMITTEE.
page 5	REMOVAL OF PLAGUE BODIES.
page 5	DR. ATKINSON'S RECALL.
page 6	GOVERNMENT AND IMPROVED CHINESE HOUSES.
page 6	DISINFECTION OF INFECTED PREMISES.
page 7	THE "TELEGRAPH" AND NO. 5 HEALTH DISTRICT.
page 7	PUBLIC WATER SUPPLIES.
page 7	EXAMINATION UNDER FOOD AND DRUGS ORDINANCE.
page 7	APPLICATION FOR RRECTION OF URINALS.
page 8	HONGKONG VOLUNTEER CORPS.
page 9	THE HARBOUR DEPARTMENT IN 1900.
page 10	THE SANITATION OF HONGKONG.
page 10	THE AFFRAY AT TIENTSIN.
page 11	FILIPINOS AND  THE NEW GOVERNMENT.
page 11	THE COMMISSION AND ITS WORK.
page 11	THE DELEGATES.
page 11	THE NEW SUFFRAGE.
page 11	AN INDUSTRIOUS COMMISSION.
page 11	THE QUESTION OF THE FRIARS.
page 11	OTHER QUESTIONS.
page 12	BANKS, SCHOOLS, ETC.
page 12	THE COMMISSION TRUSTED.
page 12	THE PEOPLE AND THE SETTLEMENT.
page 12	THE PRELIMINARIES ACCOMPLISHED.
page 12	CANTON.
page 12	GAMBLING GAMES IN CANTON.
page 12	THE BRIGANDS AGAIN.
page 12	FOOCHOW.
page 13	PEKING.
page 13	HEDGING OFFICIALS.
page 13	WILL THE COURT RETURN?
page 13	THE TERMINUS MUST NOT GO.
page 13	THE LEGATION CITY.
page 13	BUILDING.
page 13	THE CUSTOMS WAITING.
page 13	EDUCATIONAL.
page 13	OFFICIAL NEWS.
page 14	HONGKONG ELECTRIC COMPANY, LIMITED.
page 14	INDO-CHINA STEAM NAVIGATION CO.
page 15	VOLUNTEER PROMENADE CONCERT.
page 16	SINGAPORE AND THE "MORNING POST."
page 16	"NEW BRITISH ALARMS."
page 16	THE CHINESE QUESTION FROM AN EUROPEAN POINT OF VIEW.
