page 1	THE LOCAL CURRENCY QUESTION.
page 8	The Straits Currency Commission has practically concluded its labours, and the report is now to be sent to the Straits Settlements for consideration.
page 8	In Washington administrative circles, financial and other remedial legislation for the Philippines is considered necessary and very urgent, otherwise an ther rebellion is feared.
page 9	THE CURRENCY QUESTION.
page 9	On the 21st January, discussing the currency question, we asked in these columns: "Is the matter of sufficient importance to Hongkong to warrant a request for an exnert commission of examination".
page 10	WEIHAIWEI.
page 10	CHINESE AND FOREIGNERS.
page 10	CHINA TEAS.
page 11	MILITARY AND NAVAL ROWDIES AND THE NATIVE POLICE.
page 11	FINANCE.
page 11	PAPEIS.
page 11	WATER SUPPLY TO THE IFAK.
page 11	FIRST READINGS.
page 11	PUBLL I HEALTH AND BUILDINGS BILL.
page 12	HONGKONG SANITARY BOARD.
page 12	BEPORTS.
page 12	MALABIA AT MOERISON HILL.
page 12	ERECTION OF A PUBLIC LATRINE.
page 12	BRIDJES IN BACKYABDS OF HOUSES.
page 12	MORTALITY STATISTICS.
page 12	PUBLIC WATER SUPILI'S.
page 12	LIMEWASHING BETURN.
page 12	RATS CAUGHT.
page 12	CHOLERA AT MANILA.
page 12	REV. DR. PENTECOST IN HONGKONG.
page 13	THE ANGLO-SAXON IN THE ORIENT.
page 13	THE CHINESE.
page 13	CHINESE CIVILISATION.
page 14	EUROPE IN ASIA.
page 14	THE ALAY AND THE ANGLO-SAXON.
page 14	THEATRE ROYAL.
page 14	FAREWELL PERFORMANCE OF POLLARD'S LILLIPUTIANS.
page 14	THE BROUGH COMPANY.
page 15	HONGKONG RIFLE ASSOCIATION.
page 15	AMALGAMATION WITH ARMY RIFE ASSOCIATION.
page 15	CANTON.
page 15	THE KWANGSI TROURLES.
page 15	WAICHOW IN REFOLT.
page 15	CUBRENT EVENTS.
page 15	THE "EAIRE."
page 15	PAKHOI.
page 15	ANOTHER STEAMER TO MINTOK.
page 15	CHANGE OF COMMISSIONER.
page 16	THE WEATHER.
page 16	MAN-OF-WAR MOVEMENT.
page 16	FIRACY.
page 16	CHINA NEW YEAR.
page 16	FORMOSAN NEWS.
page 16	THE FAYINE IN THE PESCADORES.
page 16	PRIMEVAL FOREST DISCOVERED.
page 16	COST OF LIVING IN FORMOFA.
page 16	GOLD MINING ENTERPRISE.
page 16	OOLONG TEA.
page 16	CORRESPONDENCE.
page 16	THE CLOUD ON THE GOUIZON.
page 16	TO THE EDITOR OF THE "DAILY PRESS."
page 16	A CORRECTION.
page 16	TO THE EDITOR OF THE "DAILY PRESS."
page 16	HONGKONG & WHAMPOA DOCK CO.
page 16	TO THE EDITOR OF THE "DAILY PRESS."
page 17	HONGKONG AND SHANGHAI BANKING CORPORATION.
page 19	SUPREME COURT.
page 19	IN ADMIRALTY JURISDICTION.
page 19	BEFORE HIS HONOUR SIR WILLIAM M GOODMAN AND COMR. EDWARD B. KIDDLE, H.M.S. "ALBION".
page 19	CHU LEUNG V. S.S. "HOIHO."
page 20	IN APPELLATE JUSISD'CTION.
page 20	BEFORE THEIR HONOURS SIR WILIIAM M.GOODMAN AND A. G. WISE.
page 20	LAND COURT APFEAL.
page 20	IN CRIMINAL JURISDICTION.
page 20	BEFORE HIS HONOUR SIR WILLIAM M. GOODMAN.
page 20	A SERIOUS OFFENCE.
page 20	RIBBERT,
page 20	ARMED ROBBERY AFFAIR.
page 21	IN SUMMARY JURISDICTION.
page 21	BEFORE HIS HONOUR A.G. WISE.
page 21	TYSING SHOP V. LAUTS, WEGENER AND CO.
page 21	IN CRIMINAL JURISDICTION.
page 21	BEFORE HIS HONOUR SIR WILLIAM M. GOODMAN.
page 21	IN CRIMINAL JURISDICTION.
page 21	BEFORE HIS HONOUR SIR WILLIAM M. GOODMAN.
page 21	THE QUARRY BAY RIOT.
