page 2	桂粵戰事的我見續
page 3	府議無結果靳閣又動搖曹張王因此失望然尤以曹為最聞直系擬推王占元組閣
page 3	張作霖對征蒙負全責　開蒙古王公會議取
page 3	陝督決定閻　
page 3	中德商約成立現擬以袁克定　
page 3	今日居仁堂續開聯席會議
page 3	顧維鈞不允應召返國已　施肇基回國　
page 3	府議仍無結果靳閣又動搖
page 3	敬廿四日徐世昌邀曹張王並召集閣員參謀部總次長等開聯席大會議聞提出之議題二推定征蒙總司令二劃定征蒙軍費三安　張勳姜桂題位置四撤換陝督五補任甘督六統一西　
page 3	京政府電岑春　邀譚延闓入京商議湘省附北事
page 3	徐世昌徑廿　日在居仁堂讌蒙古王公
page 3	朱啟鈴電告由羅馬徑十五日再赴比利時
page 3	裁兵問題如成立獨吳佩孚所部不動作為模範軍
page 3	英美煙公司捐稅條件甲統稅率百分之廿五乙子口稅厘豁免丙租界內按營業總額之百分二十徵稅丁稅款先付二年戊運輸營業給
page 3	渝電劉湘熊克武部下因爭防區已起衝突聞熊已赴夔州
page 3	李士偉到部無期潘復勸靳雲鵬自兼聞士偉語人云不怕報紙攻擊只怕軍人索餉
page 3	胡維德電告日政府對華方針共四大計劃請預籌應付尤以擴充山東勢力及謀佔中東鐵路兩事關係重大
page 3	王占元保薦袁克定為駐德公　
page 3	馮玉祥索餉電共五起筒　日　電詞尤激烈罵當局如驢　
page 3	張作霖領到征蒙費三百萬反無意出兵靳雲鵬意不懌謂蒙匪打到張家口我可避往
page 3	徑廿五日宥廿六日兩日府院專商征蒙　
page 3	靳雲鵬對新閣員均以去就力爭曹張王不再堅持
page 3	張勳任三特別區巡閱使及征蒙總司令說已完全打銷
page 3	吳佩孚電詰京政府何以張作霖已領得款三百萬征蒙仍未進行直軍欠餉又何故置　
page 3	財政部擬征收遺產及證婚等稅不日提交閣議並通令各省
page 3	曹張王決待財長軍費蒙事張勳位置各問題解決後方始
page 3	李鼎新擬增海軍兵艦
page 3	與便利已公司有優先權他商不得援例北京當局因需款孔亟　決定　過俟新財長李士偉到部即簽字公司方面由留白士突簽字
page 3	粵桂軍已發生戰事
page 3	軍用電話之佈置
page 3	商人不願充孫文之財政委員
page 3	市選舉委員致總商會函之含混
page 3	工程師舉定市參事
page 3	閩贛與桂似有聯絡
page 3	塌屋傷人又聞
page 3	煤炭工會要求加工
page 3	葡政府不准澳門築港之子虛
page 3	湘省運鹽減稅近聞
page 6	庫論代方
page 6	美桂題　任蘇皖贛巡閱　
page 6	法公使出殯詳　
page 6	胡廷翼臨刑寫遺囑
page 6	王正廷回滬之所聞
page 6	張勳見拒於熱察綏
page 6	龍運乾夫婦到梧
page 6	直省販賣災童之慘事
page 6	活佛賣礦之報　
page 6	吳佩孚督浙之西訊
page 6	占巴國之兩禁例
page 6	開濼礦務局報告
page 6	崩土阻路
page 6	美國之商務無線電
page 6	名畫再　
page 6	酒店物業易主之　　
page 6	偷竊判監
page 6	摩托車撞著手車
page 6	匪徒判監
page 6	摩托車被控
page 6	婦人懸梁自縊
page 6	澳門新聞
page 6	煙案彙誌
page 6	被控出痘不報
page 6	控非禮案押候
page 6	港澳精神閣擴張
page 6	慶祝英皇壽辰
page 6	參觀大洋丸
page 6	傳染症報告
page 6	船政署案
page 6	　失銀元
page 7	陳炯明利用客車
page 7	兵站船舶輸運部成立
page 7	廢艦無人投承之別　原因
page 7	令厘廠勿留難渡船
page 7	市選舉之布置
page 7	請勿以消防公所作校地
page 7	西江上游公安會之通告
page 7	貨物被關廠執獲者須知
page 7	粵路車務工人之結團自衛
page 7	調兵填駐韶關
page 7	囚人作業之擴充
page 7	北江劫案
page 7	總商會為魚欄請命
page 7	派曾昭聲辦理新會門案原令
page 7	軍隊到處令人厭惡
page 7	託名班中子弟藉醫行騙
page 7	瑣聞一束
page 7	遠東運動會中國選手之數
page 7	星架坡之肉食
page 7	華學生會反對英日盟約
page 7	英艦隊擬以火油燃料代煤
page 7	德國　新任外長
page 7	英國加增郵費
page 7	星政府取締壟斷
page 8	援桂應借神兵條　
page 8	小　種瘋　
page 8	紅　
page 8	陝士故
page 8	煙草　
page 8	又是一齣殺子報
page 8	一齣顛婦尋夫之趣劇
page 8	王孫散寶
page 9	中瑞密約披露
page 9	漸趨重要之地方行政會議
page 9	滇匪楊天福釋放之因果
page 9	謝黨又組織政府耶
page 9	美國之通過巴拿馬運河規定
page 9	華茶外消之今昔比較
page 9	王正廷辭新委後之繼派者
page 9	關於添設兩國公使之夏貽霆電
page 12	扣留掛洋旗之走私輪
page 12	無軌電車　
page 12	茶樓酒館宣言不受取　
page 12	　人悲婦請女界聯合會打　
page 12	取締中醫案不能　　
page 12	東料聯璧行發生暗潮
page 12	棍徒偽造人壽會簿　
page 12	石破誌　
page 12	西江潦漲與佛山商　
page 12	徐世昌書扁不適出
page 12	拜龍母漲斃多　
