page 1	日本請美斡旋和平之剖析
page 2	東戰場準備完成積極驅敵出京滬我軍四面包圍各路前進中游擊隊已在真茹車站襲敵
page 2	滬杭兩線成反攻情勢
page 2	皖中懷遠日間可克復
page 2	冀南敵軍後顧堪憂鄭州安和磐石敵軍二次進犯祇可佔華軍不防守之處鄭州市面逐漸恢復常態封邱已無敵蹤
page 2	豫北封邱已無敵蹤
page 2	我游擊隊收復汗渡
page 2	晉南我軍克復高平
page 2	行政院例會紀議決劉湛恩公葬等要案四十餘起
page 2	軍事當局懲處違背軍律官佐受懲處者鄭鴻猷等十六人
page 2	湘主席張治中電陳湖大被炸慘況湖大全部被毀死傷學生平民百餘人
page 2	敵機十一架飛入俄境被逐駐日俄大使向日抗議
page 2	魯南我軍全線總攻嶧縣旦夕可下桃園天柱山狼山已被我軍奪回我克復曲假阜寧陽濟　交通斷絕
page 3	法達拉第新內閣將向國會宣讀政綱財政法案可望在參眾兩院通過傳達拉第勢將放棄要求授權案龐萊任外長對意將謀改善邦交
page 3	陳誠暢論台兒莊殲敵情況引述坦能堡之役證明我之成功以軍事學家態度作綜合之分析
page 3	會攻徐州
page 3	計劃如下
page 3	運河對峙
page 3	肉搏巷戰
page 3	我軍作戰
page 3	全部圍殲
page 3	節節破壞
page 3	慘無人道
page 3	向敵猛攻
page 3	我政府代言人正斥日方造謠日方造謠係摧殘我文化機關一種掩飾
page 3	英美法三國會商軍艦增重對於炮位一項英美之意見不同法國暫緩援引海約之保障條例
page 3	敵方戰敗後軍人埋怨政府劇烈政潮在醞釀中
page 3	孫科郭泰祺聯電蔣委員長祝賀津浦前線勝利
page 3	阿比西尼亞問題國聯或開臨時大會討論日期六月間阿王或將出席
page 3	駐華英大使卡爾昨呈國書向林主席致頌詞主席當即答謝
page 3	英意協定定十六日簽定協定內載有保障條款
page 3	日侵華軍事觀察完全錯誤中國軍事迄今未失敗此後日方前途日艱不堪財政重累蘇聯空軍潛艇增加日方大感威脅現在日望和平中國大可長期抗戰英法報章對中日戰事之評論
page 4	香港大學運會今午決賽港督蒞場頒獎
page 4	滬體育救亡會代表黃冰心君抵港晤本港體育界商洽一切
page 4	香港華人足球界擬組最高　理機關
page 4	網球單打準決賽小徐對小林珍
page 4	友誼球類比賽
page 4	小型足球賽參加者共二十隊
page 4	乒乓聯會舉辦男女雙打賽
page 4	今夕普通界籃球賽青年會再戰華南
page 5	該廠組織
page 5	殮屍慘況
page 5	死傷統計
page 5	職員殉難
page 5	各界慰問
page 5	事後餘聞
page 5	外人公憤
page 5	敵機昨襲各地情形湘省長沙被炸之慘狀
page 5	東戰場昨日之捷音江南之敵處處慌亂
page 5	廣州西關大利車衣場慘被暴敵炸燬災況續詳死傷現悉已達三百以上現仍挖掘屍體確數待查港學生會及僑團之慰問外人公憤與婦抗會通電
page 6	桂省當局嚴禁避役及被誘壯丁出口省府總部會銜電飭遵照規定辦法三項分別懲處
page 6	國防最高會議增加沒收漢奸財產條例
