page 1	日本究將如何
page 2	犯臨沂敵二千餘中伏傷亡頗重我軍四出堵擊現仍與敵激戰
page 2	向城北竄之殘敵被我截擊重創李鳳山營長與敵肉搏致殉國
page 2	魯南劇戰仍未已我圍嶧縣棗莊嶧縣敵毀近掘壕負嵎頑抗
page 2	江南我遊擊軍大佔優勝一度直逼南京敵不支京滬滬杭路不絕增援克張渚戴埠後發現敵屍千具
page 2	蘇保安團炸敵汽車
page 2	松江敵軍嚴加戒備
page 2	敵為洩憤屠新豐城
page 2	浦東　賢我敵激戰
page 2	皖東我軍攻襲當塗
page 2	富陽一帶敵受重創
page 2	揚州城內敵苦米荒
page 2	皖中我軍克靠山集
page 2	我游擊隊克青浦角
page 2	敵機襲漢炸漢機場不成功
page 2	薛總司令對粵港報界視察團詳述江南戰況敵被游擊反攻為守各地民眾地來殺敵我軍勝利極有把握
page 2	上海偽警拘捕英人四華工亦被拘英領已提抗議
page 2	魯南戰事重心移臨沂敵進犯開始激戰將來參戰軍人我方多敵一倍敵縮短晉豫陣線圖孤注一擲我猛攻嶧縣敵掘蠔負　頑抗
page 3	遠東時局日居不利地位英決協定意德日集團力量削習中俄關係良好中國顯然佔優勝英國政界對遠東時局發表之談話
page 3	蔣委員長在漢廣播演講為什麼要信仰耶穌耶穌秉博愛精神以救人世為天職我們要如耶穌一樣奮鬥以復興民族
page 3	法軍在榆關越境事圓滿解決法司令允撤退法軍
page 3	法總揆廿八日赴倫敦談商阿國問題及歡迎英皇赴法
page 3	融貫耶穌革命精神
page 3	博愛和犧牲的精神
page 3	我們要被告新生活
page 3	倡了幾個社會運動
page 3	當此國難嚴重之時
page 3	羅國法西鐵衛團謀起事事洩被警破獲所有軍火宣傳小冊被抄得領袖及團員二百餘人被捕該團曾與德國有密切關係
page 3	諾貝爾中將今日離滬返港
page 3	中村返抵長崎據談漢口秩序良好祇難民增加
page 3	晉南平陸城　城間殘敵衰疲漸被殲滅風陵渡之敵仍不時隔河發砲
page 3	榮河城內殘敵三百被圍
page 3	法國各報輿論一致贊同英意協定其中僅共產報認為係助長侵略
page 3	天主教大會下月在匈開幕與會友徒二百萬人
page 3	晉西方面克復店坪大武
page 3	綏境我軍克克達拉王府
page 3	到東戰場去三
page 3	蘇聯扣留日機日當局請發還蘇聯置不理
page 3	日各界非難英意協定日日新聞謂此舉恐弄巧反拙
