page 1	平沼組閣之觀測
page 2	晉南西犯Ｘ軍被我炮擊傷亡甚眾一一八師團損失三分二以上Ｘ在豫北建築堡壘採取守勢
page 2	我軍化裝奇襲攻入綏遠舊城與Ｘ發生激烈巷戰斃Ｘ偽軍約三百名
page 2	江南義勇克揚中縣生擒漢奸廿餘人
page 2	康藏大金寺案圓滿解決康藏補足應賠款項日孜縣重修大金寺
page 2	平沼組閣成功陸相板垣提七項條件要求新閣切實遵守近衛宣言原則實行擴充軍備並增強日德意軸心
page 2	日軍費浩繁濫發紙幣實行通綱潮漲財政岌岌可危
page 2	川島芳子確遇狙重傷其妹同時遇刺當場飲彈身亡
page 2	Ｘ圖修改華北稅英總領向Ｘ提備忘錄英決不同意必要時取報復策略
page 2	王纘緒赴渝晉謁最高領袖請示今後治川方針
page 2	桂林奇寒
page 2	閩海Ｘ艦向岸開炮轟擊
page 2	Ｘ機在滬散發荒謬傳單為汪精衛張目
page 2	閩南沿海各縣疏散計劃擬定
page 2	北平叛逆又一妄動壓低法幣價格
page 2	三水之Ｘ二百餘人自河口強渡被我痛擊由太平場犯沙貝之Ｘ亦被我擊退湘北前線雨雪交加　軍冒寒出擊
page 3	美總統羅斯福致國會書全文
page 3	一週戰況概述山西方面Ｘ圖西犯計不得逞廣東之Ｘ縮短防線整理待援
page 3	廣東方面
page 3	粵漢北段及南潯方面
page 3	三鄂豫方面
page 3	四晉綏方面
page 3	河北方面
page 3	全面形勢
page 3	對日岐視英權益英國將採取強硬態度一切舉動當與美國態度併行
page 3	英國財政時報評論日閣改組認為日本將更成法西斯化將來英在華權益更受打擊
page 3	美艦隊出發參加操演
page 3	英海軍趕築軍艦
page 3	諸比提港法國駐軍增加
page 3	猶太人在美潛勢力極大
page 3	Ｘ機偵察閩南
page 3	保持九國公約美致日照會語氣極堅決炸美財產日覆牒推諉責任
page 3	羅斯福咨文法政界一致加以好評謂此乃對於各獨裁國切實之警告
page 3	滬租界英軍封鎖偽警察局
page 3	粵省府首次會議通過戰時救濟事業綱要委張虞韶為汕頭市長
page 3	俊六撤職回國後山田繼任華中總司令山田已於三日抵滬就職
page 3	西叛軍飛機襲達拉干那城難民死者多名
page 3	湘西匪患限期三月肅清
page 3	英銀行總裁諾曼夫婦抵德
page 3	英有價證券市價甚為疲弱
page 3	羅斯福向國會宣誌咨文猛烈抨擊各獨裁國家並主張修正現行中立法整軍經武防止各種侵略
page 4	肺癆症之可怖去週死百零七人
page 4	港九住客聯會月內行成立禮
page 4	中大服務團報告書將發表
page 4	車輛失事週報死四人傷卅五人
page 4	仿林增設女中學
page 4	宋美齡女士電矚港婦慰勞會募款購置藥物車輛運往前線應用
page 5	張瑞貴部再攻石龍
page 5	虎門太平Ｘ軍被襲
page 5	我游擊隊元旦襲Ｘ
page 5	增城各鄉損失調查
page 5	突入增城北門巷戰
page 5	潮海Ｘ艦騷擾來往船艇某外輪被槍擊
page 5	省府澈底調節戰時民食著淪陷縣游擊隊堵截Ｘ糧東西北公路完成獎勵商運
page 5	寶安善後近訊東寶邊境之鞏衛
page 5	某軍到汕增防潮汕內地宣布戒嚴
page 5	孤軍抗戰兩指揮官擢升為別動隊司令
page 5	Ｘ艦四艘又窺伺大亞灣似再有侵擾企圖沿海軍團已嚴防
page 5	汕市宣布上海為疫症埠
page 5	台灣鬧米荒潮汕亦受影響
page 5	西江我軍準備反攻近訊二水各地Ｘ軍之增援Ｘ連日西犯被我擊潰
page 5	我派重兵扼駐綏工
page 5	西江Ｘ軍連日蠢動
page 5	東北兩路反攻大捷圍攻蛇頭嶺再攻入增城陳旅突入北門與Ｘ巷戰張軍再攻石龍斬獲甚多Ｘ軍慶祝元旦被我襲擊
page 6	南海國術界發起組編救國復鄉義勇隊百齡老拳師韓文彪亦到會參加
page 6	Ｘ軍仍不斷蹂躪南澳潮汕捐款救災
page 6	潮汕加緊戰時準備
page 6	自衛團已改編竣事
page 6	實施戰時各種教育
page 6	強迫冬耕儲糧儲鹽
page 6	Ｘ機昨又轟炸廣海南灣燬舖十餘間無傷人
page 6	汕市發動一元還債運動
page 6	新會縣府分函海外僑商籌餉維持團隊經費
page 6	瓊海Ｘ艦又增並派機偵察我防務
