page 1	訓政與憲政
page 2	南寧西竄日軍被圍擊即可殲滅
page 2	南昌仍在圍攻我軍衝入龍昌橋
page 2	晉東南我某部克復黎城東陽關
page 2	包頭殘日肅清綏我軍進迫歸綏
page 2	桂發起元旦獻金運動
page 2	整個鄂南在我軍控制中連日向汀泗橋一帶猛攻先後擊斃日軍八百餘人
page 2	行政院會議
page 2	全國對外貿易入超甚鉅
page 2	美人　爾曼上書蔣委長深作最後勝利終必屬于我國
page 2	渝發生白喉症
page 2	滬市又發生兩暗殺案一為棧主李福林一西裝客顧國卿
page 2	豫南我迫信陽一部到達長台關
page 2	津浦路一帶游擊隊甚活動橋樑路軌破壞甚多行車時刻常有差誤
page 2	英空軍部發表告海軍將士書敬祝耶誕節愉快
page 2	澳洲遠征軍第一批抵英倫
page 2	爾蘭總理主張舉行和平會議希望挽救危局
page 2	粵北犯日軍竄擾　江我堅守北岸浴血搏殺新從公路牛背脊附近展開激戰
page 3	芬蘭天氣嚴寒北部戰情寂寞加里利亞地峽方面雙方前哨戰事頗烈
page 3	四邑抗戰匠後方總站恩平在時代邁進中堅壁清野拆毀古老的城牆表揚抗戰精神建立忠烈祠
page 3	德袖珍艦雪耳提督在南美洲發見哥林比亞政府派艦調查
page 3	銓敘部勵行考績李部長暢談新無表情績條例
page 3	美洲中立區域問題美洲共和國提出抗議英法將對此見解加以說明謂務當採取嚴格監視辦法
page 3	愛爾蘭時局益為不靖被囚禁共和軍突然叛變縱火
page 3	比國財政頗感棘手
page 3	法西鐵路交通元旦恢復
page 3	一週內沉輪船十八艘俱係被德擊沉
page 3	蘇斯樹立正式外交關係
page 3	烏拉圭發表德艦沉沒經過
page 3	波蘭新政府在安格爾成立
page 3	耶誕節中美國不幸事件死亡人數達四百餘
page 3	美對日態度未能認為滿意日政府雖願開放珠江長江日海軍宣佈封鎖中國沿海
page 5	平吉牛崗先後克復
page 5	切斷犯桂日軍聯絡
page 5	通令協組國民兵團
page 5	新會仍有金融潮縣府決以嚴刑懲奸商
page 5	黑市操縱
page 5	銅佃交易
page 5	嚴刑懲治
page 5	余漢謀報告粵省軍事
page 5	日軍陷沙頭後圖再犯大良軍車被炸毀沙頭我自動放棄原因容良公路炸燬日戰軍日炮燬舊寨糖廠民居
page 5	日機狂炸翁源
page 5	三水城日軍被我包圍木棉電線崗均受我控制
page 5	吳飛出巡中順各地召開整編團隊會議團隊良寙關係作戰力量至大定汰弱留強充實軍備辦法
page 5	日謀打通龍從聯絡三路猛犯龍門縣城左潭尖峰日軍被截日機狂炸新豐龍門日軍陷青龍窺良口
page 5	第四戰區下令破壞東江各路惠博東寶各路由香翰屏督促
page 5	西樵慘災續誌災痕遍地餓卒載途
page 5	日偽增兵江會後之戰情睦洲偽軍又再陷龍泉順德縣長之積極清奸容奇方面仍在激戰中
page 5	睦洲偽軍又犯龍泉
page 5	江會各線連日戰況
page 5	大良桂洲最近情況
page 5	中山方面最近情況
page 5	容奇方面仍有戰事
page 5	我游擊隊壟斷造燬日營
page 5	王先生一家上戰場上
page 5	犯桂日軍被包圍聚殲中欽東我軍挺進攻欽邕線日軍我克邕寧外圍據點已直薄邕城戰事極烈日軍屢圖突圍均不逞
page 7	瓊同鄉會
page 7	閩同鄉會
page 7	廣州大學
page 7	廣州日軍迫市民充兵役不論男女精壯者多難幸免市民大起恐慌已紛紛逃避
page 7	九針島海面三賊截劫貨艇財物搜掠一空船桅亦被斬斷放鎗示威一貨客中彈受重傷
page 7	海盜放槍轟傷貨客
page 7	艇上財物被掠一空
page 7	疋頭商會新職員昨選出
page 7	警探嚴防海盜擬定防盜計劃
page 7	威靈頓街劫案一疑犯今提堂
page 7	粉嶺馬票開彩首名三○二○六號
page 7	各團體徵募寒衣運動廣州大學定期開游藝會
page 8	建設計劃
page 8	明年工程
page 8	昨戰爆發後西藥行均獲利
page 8	本港榜人之生活
page 8	榜人類別及其生活
page 8	時勢變遷生活日苦
page 8	饑寒交迫
page 8	鄭和號帆船昨赴菲全船佈置充滿東方色彩十餘遊侶分屬四個國籍
page 8	山頂西人住宅又發生巨竊案失珍飾一批價值數千元
page 8	長洲海面水雷自動爆炸
page 8	蘇格蘭獲得國際杯決賽權昨以二比零淘汰英軍英格蘭敗在球運不濟
page 8	記者體育情報
page 8	伯南杯排籃球義賽男女勁旅踴躍參加本月卅日起一連舉行三天
page 8	公開女子籃球賽今夕三場角逐
page 8	歐戰緊張中港府建設計劃仍進行五項偉大工程明年內可完成廿九項新設施亦決來春開始
