page 2	中國果不能進於軌道乎三
page 3	政府撥賑潮汕風災五萬元閣議通過
page 3	蔡成勳督辦江西軍務並催謝遠涵就任
page 3	黎元洪派林紹斐赴滬勸岑春　返桂即下長桂令
page 3	盧信因議員不能兼閣員辭參議員
page 3	政學益友兩系聞對政局不肯讓步近聯絡滇唐繼堯黔
page 3	黎樹經保洛回京見黎元洪
page 3	外交團提出通告一希望統一二保護外僑三償還外債
page 3	盧信已向參院函辭議員
page 3	領袖公使團由北戴河回京擬提警告榆關奉直兩軍備戰
page 3	張紹曾裁陸軍部行走辦事等名目二百餘人並擬裁撤參陸處
page 3	昨全體閣員招待議員及記者外賓王寵惠仍在醫院由顧維鈞主席代王致歡迎意王
page 3	某系議員八十餘人
page 3	唐閣同意案咨文修正送國會後國會定三十日討論
page 3	招商局員罷工
page 3	京漢路罷工
page 3	聞鄭州軍隊增至四五萬似將調往他處
page 3	馮玉祥應吳佩孚召到鄭州軍事會議並籌商整頓京漢路務
page 3	漢口傳陳嘉祐與李烈鈞朱培德兩軍佔領湘南十三縣
page 3	滇唐繼堯代表陳鈞謁黎元洪面陳一事一唐絕對服從
page 3	袁祖銘川熊克武等全力擁黎元洪通過唐閣貫澈到底
page 3	謂吳佩孚對時局首重對張作霖次車統一對川不出援兵對閣主留王寵惠不成則由顧維鈞組閣但顧力卻
page 3	劉成禹電黎元洪孫文正與各方接洽力謀統一俟有切實辦法即來京
page 3	府院協商孫文北上招待手續先由京滬議員合併孫向國會辭職以退職總統儀注待遇
page 3	八月廿四號北京電
page 3	廿五號電
page 3	廿四號電
page 3	廿五號北京電
page 3	省長問題乃演出省會武劇不對題作文便開槍用武
page 3	又一宗暗殺案
page 3	北伐軍過港
page 6	國會議員之重要提案補行議決外債契約
page 6	十九日之憲法審議會省之權限取概括主義
page 6	賑災雜紀
page 6	西醫生失竊
page 6	葉恭紳最近之一封書
page 6	眾議員提議恢復縣會
page 6	旅潮州商會佈告災情表續
page 6	周醫生回港
page 6	遞解案
page 6	煙案
page 6	爭水打架案判結
page 6	英文良師
page 6	小武靚就懷槍被控
page 6	瑞億輪船劫案再押候
page 6	上海海員罷工風潮　結
page 6	騙案判結
page 6	被控向伶人勒索案
page 6	梁士詒赴南洋
page 6	委派贖地公正人
page 6	傳染症報告
page 6	何東任黎總統顧問
page 6	銀價
page 6	招人供給制服
page 6	演劇助賑
page 6	南華賽球籌款誌
page 7	追述廿五日省中議會開會情形
page 7	陳炯明宴請各界情形
page 7	調兵助攻黃明堂
page 7	補述北伐軍失敗之原因
page 7	雲浮令席上被擒
page 7	高廉軍事消息
page 7	報紙因載周天祿　被詰
page 7	報界撥款賑災
page 7	粵軍將領擁戴陳炯明之通電
page 7	煤炭工人罷工續誌
page 7	官產租項收銀毫
page 7	當押行提議加利
page 7	金舖閉門失竊
page 7	又請禁酒樓茶室用女招待
page 7	停止上海民國日報津貼
page 7	瑣聞一束
page 7	葉舉等為朱德銓請卹
