page 1	本港僑教之進步與將來
page 2	不忠不孝德王叛國氣死高年老母德王事後極悲痛擬拔槍自殺聲言此後消極不再過問政治
page 2	宋哲元宴各機關長官
page 2	粵僑務局籌設安集所救濟失業歸僑
page 2	漢奸趙龍田被捕在鄭正法
page 2	秦德純已抵津謁宋報告三中全會經過宣言主張包括華北問題在內大會此外並無單獨施行決議
page 2	冀偽組織派員赴日留學
page 2	日政友會代行委員決定
page 2	慘無人道廣州發生支解童屍慘劇為鄰居伙伕發覺報警搜查捕獲三人水缸內隱見有人頭人手在內
page 2	全國公路交通會議昨日舉行閉幕
page 2	京婦女界勞軍代表陳逸雲等返京據談前方士氣極旺防禦工事完善鞏固
page 2	日軍瓜代部隊昨開抵秦皇島歸國部隊準備回國
page 2	全國經濟委員會將設置主任委員人選內定宋子文不日可望發表
page 2	西寧舉行民族聯歡大會各王公活佛喇嘛蒞會者約千餘人
page 2	浪人劫奪私貨事財部極為重視已飭總稅務司詳查
page 2	我國籌備參加世教會議但如偽國參加則我決不參加
page 2	漁業銀團定期今日成立
page 2	中俄簽訂互換包裹協定我國昨日起實行
page 2	郵政紀念郵票展長掉換時期
page 2	隴海路全線劃分六段
page 2	平市舉行科學教育茶會
page 2	桑島主計任日駐荷公使
page 2	楊虎城等電唁朱氏家屬
page 2	赴奉謁張後張部將領赴京謁蔣請訓陝省政府改組後政治漸次納入正軌檀自新部奉令改編騎兵軍檀任軍長
page 3	王寵惠因病謙辭外長
page 3	惠通公司新巨型機五日飛航津連
page 3	美俄名音樂家在平公開表演
page 3	陵園發現古墓在總理陵附近
page 3	滬上海銀行爐子間突爆炸死一人傷一人
page 3	蘇農行召開業務會議
page 3	川江炸灘計劃須呈中央審核
page 3	其欲逐逐日擬向荷要求割讓新幾內亞民政黨議員櫻井建議林首相對此表示同情
page 3	日議員質問滿洲事件機密費過去五年中用去約近一千萬元究為何事實屬費人解索
page 3	李思浩訪十河商洽開發華北
page 3	綏遠國軍將舉行大演習
page 3	桂軍自中央明令改編為第五路軍後
page 3	劉蘆隱仍押於成都路捕房
page 3	蔣夫人在滬微感不適
page 3	粵旅滬同鄉等四團體
page 3	但澤國社黨報抨擊國聯措施
page 3	美參院今日開會辯論中立法案
page 3	西政府釋放政治犯前線戰況連日甚為沉寂雙方等待重新進攻機會
page 3	法西斯亟謀聯合日德邀意參加防共協定如意國果同意加入該項協定世界兩大營陣對立更形尖銳
page 3	德禁人民買賣外國證券
page 3	印度新憲法各省選舉結果國會黨佔絕多數正　黨則竟遭慘敗
page 3	阿總督轉患肺炎
page 3	留俄同學會成立
page 3	安特生博士抵京
page 3	吉田政治發表坦白意見敦勸日朝野改變對華認識中國人民已能統一團結不復如散沙國民政府已獲得控制金融經濟權力日本不應忽視局勢必須設法改交通部對華關係
page 4	細雨紛飛中南華南勝九華前鋒射門無能靠罰球取勝九華舉動不文卒負二比零
page 4	一比一雛鳳和聖若瑟
page 4	海軍以新將士上陣中華合力破之
page 4	本屆公開網球賽今日開賽共有單打八場
page 4	德明校運會結束梁漢明全場冠軍
page 4	英京銀價無變動
page 4	英對美匯兌略升
page 4	昨日南華兄弟出戰兄勝九華弟和約瑟南華南平添兩分逐鹿冠軍希望增高所難過者香港棄塞斯施福三個難關
page 5	中大校大洋支薪問題助教職員之要求須一律平等待遇呈文今明日呈遞
page 5	岑學呂談粵幣增值說不確
page 5	五路軍部將成立訊黃旭初改二日動程南返因候領五路總司令委令及印信李白就職行營派錢卓倫赴桂監誓軍部人員之委任
page 5	電話管理處撤換職員之微波
page 5	調節民食會負責人談調節民食進行情況短期內先設汕分會存米無任其發霉事
page 5	請示申報期限財廳之批示
page 5	勻攤總額辦法進行計劃中
page 5	各縣稅局改處辦法之變更
page 5	營業稅最近訊
page 5	孫宋南來之重要任務注重組強有力金融機關為復興粵省經濟之計劃對改革幣制兼促令實現非僅為救濟粵民食而來
page 6	廣州市府決築市區三平民村工務局長之談話
page 6	建平民村
page 6	其他建設
page 6	省營產物處案查辦中關於糖業之各商呈文明知卵非石敵難安緘默
page 6	昨日關金忽又突漲
page 6	金融消息近誌申匯報漲將復原狀
page 6	土菸專賣撤銷案汪宗洙召商人會議菸葉公會仍求撤銷專賣
page 6	汕商庫證展期收回
page 6	催外僑納汕地稅
page 6	王定華旅之政訓
page 6	刁作謙晉京述職
page 6	美紐約開世展會華僑請省府協助
page 6	建廳改善公路員工待遇
