page 1	美國之新和平策動
page 2	晉東南我軍繼續擴張戰果變內線為外線圍殲日軍翼沁公路日軍全線崩潰
page 2	紀念勞動節要實行鋤奸加強反侵略的力量向全國勞工們講話四
page 2	渝文化團體歡送邵大使
page 2	桂各界紀念週白崇禧報告日人陰謀在軍事上喊著所謂長期戰在政治上極力扶植汪偽組織
page 2	邕欽路日軍被擊
page 2	美專使西里明日離日
page 2	土通過軍事權力法案軍當局可隨意徵用公私產業
page 2	粵漢北段我軍衝入雲溪車站殘日向岳陽臨湘潰退我砲兵向臨湘城猛轟
page 2	立法院昨開會議
page 2	用地球理方法從事探礦翁文波等將出發
page 2	都柏林城匪徒搶劫郵件
page 2	豫南鄂北戰局穩定我完成堅強大包圍壯烈之包圍殲滅戰正在展開中
page 3	羅斯福與教皇勸意保持中立教皇認和平運動時機已到並可促進普遍之和平運動
page 3	我軍滑翔史第一頁韋超殉職之經過及所得之教訓
page 3	張伯倫出席眾院報告挪戰經過會場極擠擁座無虛席現內閣命運即可決定
page 3	五權憲法與國民大會三李文範在中樞紀念週報告
page 3	挪威克方面連三日有劇戰挪北尚有強大之挪軍可協助聯軍繼續作戰
page 3	所謂歸還產業日偽需索巨量報酬故業主尚未有呈報登記者
page 3	所謂子公司為獨佔華北經濟組織此種公司迄今已有十四個所繳股額達二萬六千萬元
page 3	長崎大北電報局為日政府購買
page 3	英政府要求意國確實表示其態度並希望意國能在十六日以前答覆德傳英法決在近東將取軍事行動
page 5	莞城日軍最近動態
page 5	中山傀儡戲揭幕軍民兩政悉操日閥之手龍本善吾任中山偽地方指導官歐某就職後即去縣印交與張某
page 5	開平各界舉行鋤奸運動組設鋤奸經常機關檢舉奸究
page 5	太平沙河面貨船與日偽激戰日偽傷亡三十餘貨客亦死傷十餘
page 5	粵省黨部組訓沿海區漁鹽民確定各項工作目標
page 5	前線我軍加緊佈防
page 5	向羅浮山簏
page 5	東線戰事復緊增城日軍圖蠢動我團隊夜襲仙村
page 5	南頭深圳嚴防間諜
page 5	控制日交通
page 5	順德大鬧米荒旅韶同鄉設法救濟
page 5	南侵日機損失甚重華南日空軍改組後近態抽調九六式機廿架南來舊機運日改造日空軍彈藥缺乏轟炸各地均屬小刑彈
page 5	東莞城日軍增加又有東犯南進之企圖我方向前線加緊佈防深圳昨捕獲日方間諜
page 6	我軍克青麻山
page 6	日艦再窺樟林
page 6	西江現勢談
page 6	西江最近戰訊蘆西線我軍挺攻西南日艦艇擾萬金沙貝水均不逞我襲上下白塔岡根斬殺甚眾
page 6	一區各縣推進防護工作各縣設空支會及防護團設空襲警報舉行防空演習
page 6	西南近郊展開激戰
page 6	河口日艇連日窺擾
page 6	各地日軍加緊出擊
page 6	嶺東我軍克青麻山挺攻浮洋日艦再窺樟林圖登陸東隴蓮陽輸善後中
page 7	蛛絲馬跡
page 7	傷匪漸愈
page 7	西商籲請改善無線電機入口新例華商亦準備作同樣請求
page 7	汛美機昨抵港
page 7	我國名醫黃子方昨逝世救傷救難操勞過度
page 7	本港教育司招考免費學生
page 7	國民大會婦女代表港候選人大部推出自我介紹者異常踴躍競選分會昨深夜審查
page 7	衛生局昨例會醫務力量衛生處改組
page 7	陳光甫未返國現尚留美辦理要公
page 7	中美文協會月底改選職員
page 7	郵政總局大郵箱中發現左輪手槍及槍彈疑與利威鐘鏢首飾行劫案有關槍上指紋明顯警探正在查究中
page 8	民航事業日益發達
page 8	擴展機場刻不容緩
page 8	汕尾海盜截劫貨艇掠食鹽千一百餘擔價值港幣二千餘元
page 8	謀殺園丁案被告省釋陪審員一致認為罪名不成立
page 8	九龍劃為禁區後　長工散工糾紛未解決散工昨向勞工司呼籲
page 8	工程浩大徵用囚犯
page 8	深水　劫案昨日開審嘉利幫辦述捕獲各被告經過
page 8	徵求傷兵之友運動婦女委會昨招待隊長報告小結束之成績發出證章八十餘萬
page 8	傾箱倒篋
page 8	行劫之日
page 8	陳述案由
page 8	何氏嘉樂園古瓷展覽會場為平山圖書館
page 8	歌伶義唱昨頒獎
page 8	航空事業發達港政府擴展啟德機場整個九龍灣將填為平地工程浩大或將徵用囚犯
page 10	公開男子籃球賽今晚開始角逐甲組南南對青年甲乙組兩戰當有劇鬥
page 10	本星期日足球　賽洋水兵二次約戰東方東方中止赴澳積極進行南征再度赴菲比賽須候菲方電音
page 10	昨日學排戰績今日六場戰事
page 10	商討赴星作和和杯賽協會足球部昨開會議暫擬定旗下各會球員卅七人
page 10	華人徵求成績謝雨川獲冠軍
