page 1	德欲調停蘇芬戰爭
page 2	阿部內閣傾塌經過
page 2	日報一致追斥阿部
page 2	中條山以北戰事我軍極佔優勢夏縣以北殘日陸續回竄連日我攻壺關斃日甚眾
page 2	魯省我軍克雙羊店
page 2	我軍克復隨縣外圍據點困守潛江日軍士氣沮喪鄂南日軍企圖反攻未逞
page 2	汪派內部發生意見
page 2	崑崙關之役日今村師團被殲過半旅團長中村正被擊斃
page 2	圖聚殲偽員王天木被害記二氏捨身投入魔窟刺何行健被發覺
page 2	綏境我軍時襲日軍每次均有斬獲
page 2	長江日運輸艦為我重創
page 2	粵北日軍慘敗殘餘竄集廣州潰竄　泰日軍已肅清從化附近一帶無日蹤
page 2	平漢北段日軍車觸雷炸燬斃日官兵甚多
page 2	粵北民眾助軍省府撥款撫卹
page 2	阿部內閣提出總辭職日皇任命米內組新閣湯淺等則保薦　俊六繼起組閣
page 3	蘇軍調到大批援軍三方大舉攻芬沙拉以西已發生戰事中線芬軍深入蘇聯境
page 3	菲當局通知日領商約滿期後不能受優待
page 3	德機不斷偵察比邊比政府大為戒懼加強東邊界防禦
page 3	美國會對關島設防將有劇烈辯論海軍委會準備提議撥款改良關島海港
page 3	西線寂寞德機一架被擊落
page 3	陳嘉庚電蔣委長請示組回國慰勞團事蔣電各領館各黨部力予協助
page 3	呈文
page 3	覆電
page 3	德准意械經德運芬
page 3	英陸相辭職事德藉此作宣傳其實全為偽做
page 3	日軍壓迫焦作煤礦英籍職員多方留難不許離豫今仍無法脫離險境
page 3	農藝院員生電粵長官祝捷
page 3	德軍現正準備施行較烈軍事行動又準備施行新國事動員計劃將現役軍隊增至三百個師團
page 3	荷當局下令不准士兵告假
page 3	日對非日金集團對外貿易入超不能以出口貨換取外幣
page 3	白晉公路日軍汽車被毀
page 3	英艦載糧藥運土救濟難民
page 3	青島日當局較前寬待外輪准多用一個寄碇所
page 3	保土關係益形密切
page 3	法西商約即將正式簽字
page 3	英財相籲請國民準備必要犧牲對德作戰到底防止通貨膨脹
page 3	長沙壯丁紛請入伍
page 3	贛各界組慰勞團赴粵
page 3	綏西各地民眾自動慰勞傷兵
page 3	黔綏陽五少年從軍
page 3	美前駐菲專員痛斥侵略暴行美對侵略暴行從未坐視向來尊重中國領土完整
page 5	佛子　等已無日軍
page 5	江門日商紛紛結束
page 5	睦州龍泉僅有偽軍
page 5	東北兩路我軍之攻勢各線日軍勢已動搖清遠我續克國泰猛攻軍田從化我砲擊神岡痛挫日軍增城北面一帶已入我掌握
page 5	日軍續向軍田敗竄
page 5	北竄炭步重演血戰
page 5	再沿廣從公路推進
page 5	永漢完全為我克復
page 5	劉團一部入共和墟
page 5	中山警探緝獲大批偷運出口穀米在港口坦洲等處截獲共十三船解縣府發落
page 5	廣州市況極度蕭條中偽組織之橫征暴斂預征營稅近復強征臨時地稅商人決拒絕強迫則停業抵制
page 5	並狂向我陣地轟炸
page 5	日軍退出深圳後善後工作近訊香翰屏派員辦理漸恢復舊日市況
page 5	我機飛襲西南投彈毀日倉庫
page 5	省電報局拍發國內電報加價
page 5	日派人到各處購穀米運廣州四戰區令嚴鎖日區
page 5	日軍到奇槎搜索受創
page 5	深圳劫後巡禮一
page 5	荒涼的深圳河畔
page 5	深圳墟一週
page 5	前山電報局設三廠收報處
page 5	小塘日軍盡撤佛山
page 5	江會日軍又大部他調佛子　篁莊日偽軍已撤退日封民船集中北街似有準備撤退模樣中山橫門無事外傳緊張不確
page 7	聖約翰救傷隊週年技術比賽青年會隊昨日成績最佳
page 7	新界擬闢墳場
page 7	港府公務員傳將恢復例假
page 7	留營孤軍與警發生衝突雙方受傷者數十人
page 7	港澳振濟會今日行成立禮
page 7	華僑服務團將回深圳服務
page 7	校舍新例實施後私立學校能遵辦者為數不多免費義學更不免有停辦之虞
page 7	遵例辦理為數不多
page 7	貧民義學影響尤大
page 7	婦慰會募捐訊
page 7	新稅研究會工作完竣報告書月底可逞遞政府
page 7	鶴山商會會議討論救濟故鄉米荒
page 7	為保護市民健康港政府應速肅清私娼搜私寨時應私娼嫖客一併拘捕使稍知自愛市民不敢輕於嘗試
page 8	主席　告
page 8	收支狀況
page 8	收入物品
page 8	救護總隊
page 8	總辦事處
page 8	分組審查
page 8	基督教慰勞團積極籌募慰勞金
page 8	書法展覽今閉幕
page 8	昨日甲組足球賽華軍兩路齊捷四比一東方破若瑟四比三雛鳳挫警察
page 8	東方輕取若瑟
page 8	雛鳳力挫警察
page 8	旭和杯初賽陸軍聯隊陣勢排定名中降畢禮地竟告落選
page 8	記者體特會今日旅行沙田
page 8	光華光中學舉行週年校運
page 8	大生杯排球隊今召開代表大會
page 8	我國紅十字總會理監事會議昨日開幕會長王正廷報告三年來之會務廿九年度預算案昨已開始審查
