page 1	可注意之四國代表會議
page 2	Ｘ機轟炸西安炸毀民房三百餘間死傷平民二百餘人
page 2	張治中趕辦交代湘人準備歡迎薛岳
page 2	漢日軍當局監視法租界外橋行動被捕華人尚有二人未釋
page 2	閩江口外帆船被劫Ｘ艦汽艇所為劫後將船焚燬
page 2	滬虹橋路日人被刺槍彈中腹部開槍者逃脫
page 2	桂傷兵之友社開籌備會五十餘人到會
page 2	天津之Ｘ防務空虛河北關槍聲激夜
page 2	蘇省當局力謀疏浚河道
page 2	蔣委長向國人呼籲充實抗戰時人力物力一協助政府推行役充實抗戰兵員積極開發地方經濟充實抗戰資源
page 2	響應羅斯福國防建議美議員提議擴充空軍望國會准予通過空這經費案
page 2	津英法租界仍被封鎖英大使將到津英僑準備請示
page 2	Ｘ機擾湘在株州投彈
page 2	綏遠安北縣民武裝抗Ｘ
page 2	章嘉由蓉抵渝
page 2	有犯　市模樣嘉興南潯Ｘ向鳥鎮蠢動
page 2	國府收到澳門各界捐款共一萬三千餘元
page 2	土肥原抵平對王逆有指示
page 2	法內閣通過龐萊演詞
page 2	倫敦警察當局嚴防恐面行動各政府機關均派警守衛
page 2	駐滬法艦一艘突奉密令離境其目的地未明
page 2	Ｘ擾銀盞　不逞我軍向赤坭炭步挺進三水Ｘ攻陷楊梅我轉向某地固守鄂中之Ｘ猛犯京山發生激烈巷戰
page 3	我國財部停付稅債解釋頗得倫敦金融界滿意昨日中國債券價已高一點
page 3	晉境偽組織經濟活動根本失敗抗戰以後我法幣反流通僻僻鄉村捐稅毫無收入Ｘ偽金融基礎脆弱二
page 3	比　西國民軍簽立協定發生外交關係
page 3	美國將實行武裝關島此舉頗引起日方之顧慮
page 3	我在國聯之提議經四國委會提出討論但尚無具體決定當繼續協議
page 3	捷外長定期聘德討論幣制等問題
page 3	英運輸部作準備戰時統一運輸要求全國運輸車駕駛人在平時與政府密切合作
page 3	美國會已開始審議國防需要反對羅斯福計劃勢力增加力主實行嚴格的孤立政策
page 3	西代表在國聯報告德意兩國接濟西叛軍但西班牙人民決誓死抗戰
page 3	法通牒已送達日政府反對片面廢除九國公約
page 3	日民政黨總裁町田獲選連任
page 3	國聯衛生組組長拉西曼即將誰國聯拉氏平日極力擁護集體安全制度日曾對之肆意攻擊謂為袒華份子
page 3	埃及總統赴英
page 3	英內閣會議對張伯倫報告頗滿意英對西內戰問題決不出面干涉時局嚴重英有積極擴軍之必要
page 3	奧汀生等發起組織助華委員會制止美商售　鐵煤油等於日本要求國會禁止人民以經濟助日
page 3	英對西戰態度仍禁軍火運西
page 3	德決擁護意國採取強硬態度
page 3	西國民軍進展近近巴薩龍納
page 3	非洲意軍忽向英屬推進
page 3	美駐遠東艦隊司令
page 3	顏露爾視察長江任務頗重大調查長江上游一帶情形此行與開放長江事有關
page 3	詹森將謁美總統報告遠東時局日吐露復美牒詞意後赫爾仍拒絕發表意見
page 4	劫匪迫簽支票提款時被捕入獄
page 4	救傷隊募捐訊
page 4	大批英兵北開
page 4	國醫救護隊服務深圳情形
page 4	日本皇后輪出塢
page 4	英兵清水灣宿營
page 4	騙貨物匪徒入獄
page 4	米商響應還債運動今日派隊向行友募捐
page 5	強拉鄉民共約五百
page 5	江佛公路沿線Ｘ情
page 5	中山縣府電話報告
page 5	增城朱村之Ｘ退石灘廈門Ｘ艦向南駛去
page 5	增城境內Ｘ續撤退
page 5	大批Ｘ艦由閩駛粵
page 5	全粵抗Ｘ武力調整中各游擊區將實施改組淪陷地區由行政專員兼游擊司令
page 5	省行恢復江門肇慶中山分行訊
page 5	桂省加強民眾作戰力量補給團警彈藥
page 5	公路破壞後西江及五邑之水道交通間有團隊苛抽客貨保護費
page 5	虎門　沙大角之Ｘ進犯凰角之血戰始末記梁震崗率部與Ｘ血戰一晝夜擊沉Ｘ艇三十Ｘ傷斃達三百Ｘ攻進凰角後　調查我士兵死傷者亦達四十餘人
page 5	黃範一談犯花從Ｘ被我擊潰西江行署奉命結束從化失陷消息不確
page 5	桂省戰時準備梧鐵閘鐵門均拆除
page 5	九江河清之Ｘ在沿岸築防江佛沿線之Ｘ確取守勢中山鳳角村Ｘ已全數撤去
page 6	潛伏九江之游擊隊襲擊學憲宮Ｘ營記潘大隊副壯烈犧牲
page 6	寶安收復後岩口公路已全線通車
page 6	四會縣城遭Ｘ慘炸但人心鎮定區戰加強
page 6	　各團體之討汪運動
page 6	台山合安　長毀路不力被拘
