page 1	一個有意義之改革
page 2	英國內閣商討答覆德國德國領袖集中柏林聽候英國如何答覆
page 2	德國所提建議傳有三項修改和約但澤歸德德願保證波蘭邊界
page 2	法國對希特勒最後忠告法願和平解決紛爭但反對用武力解決
page 2	波利益受損害必起抵抗堅決反對但澤歸德波政府代言人談話
page 2	德作充份準備應付事變希特勒俟得英回答即向全國發表宣言
page 2	張余李三長官發表敬告吾粵同胞書全文四勉國人澈底抗戰爭取勝利
page 2	德半官方面否認協定另有附件
page 2	旅德日僑赴丹
page 2	法國禁止意人入境
page 2	加拿大作戰時戒備
page 2	德請比國嚴守中立
page 2	法國領空禁機經過
page 2	膠東我軍克復平度
page 2	我軍迫近增城神岡方面連日戰事極烈
page 2	歐局一線和平意建議召開四強會議如得希特勒同意胡佛可出任調人英內閣開會討論答覆希特勒建議
page 3	中央國府合併舉行孔子誕辰紀念一由孔院長主席並作報告
page 3	繼往開來
page 3	有教無類
page 3	制度完美
page 3	晉南我軍克復高平
page 3	英美駐亞洲艦隊兩司令在威海衛會議英駐大西洋艦隊司令梅里克忽忽乘艦返國
page 3	匈拒絕與羅締互不侵條約羅馬尼亞報紙警告匈牙利
page 3	印總督下令限制外人入口駐於印境外人須呈出證明書
page 3	親營港口兩地為我克復
page 3	國立中學校長聯電向蔣總裁致敬另電聲斥汪逆精衛
page 3	德對日常用品實施購買限制
page 3	星洲公佈取消電報檢查
page 3	滬西空地上發現被殺青年姓名在調查中
page 3	蘇北今歲豐登運米接濟滬荒已得蘇省府批准
page 3	在滬Ｘ傷兵乘艦返日醫治
page 3	戰區或接近戰區各項事業限制辦法防止奸人混入以致破壞事業
page 3	日擬改變外交政策向美建議改善邦交漢口法租界與日方妥協英日談判將有繼續舉行
page 4	中區防空班二次試驗毒氣
page 4	朱惠芳畫展在九龍青年會舉行
page 4	女慰勞會演劇籌得二千餘元
page 4	孔教學院講學記
page 4	鐵行公司貨船蔑寶號昨在港外失火加開速率駛返本港灌救一艙貨物被焚損失頗巨
page 5	Ｘ在葵涌截留小輪
page 5	平淡公路我軍雲集
page 5	廣九中段之平安報
page 5	大鵬輪有復航之訊
page 5	南頭香港交通恢復
page 5	Ｘ艦集中湃亞士灣
page 5	新界當局佈告安民
page 5	北路我軍續攻神岡石角龜嘴重入我手
page 5	東路我軍迫近增城郊外蕉石屏風嶺激戰中
page 5	教廳切實調整粵省義教師資盡量錄用格人員舉辦小教員講習
page 5	黃延楨病逝翁源軍次
page 5	嚴令保護被迫傘降航員
page 5	納金緩服兵役案粵即公佈施行
page 5	粵游擊區加緊黨政工作
page 5	三江收復睦洲Ｘ大部撤退中Ｘ又進攻龍泉企圖威脅古井我軍星夜增援向鐘碌山反攻由澳返三埠輪渡有數折回
page 5	入水河道注意防守
page 5	進佔龍泉威脅古井
page 5	廿六晚已星夜增援
page 5	已有數艘中途折回
page 5	已無Ｘ蹤各地安謐
page 5	三線向江會反攻後
page 5	犯沙魚涌之Ｘ昨退守葵涌等地莞惠我軍雲集準備反攻
page 6	我軍衝入海口機場
page 6	兩路襲擊瓊山奏捷
page 6	Ｘ犯舖前爭奪激烈
page 6	增進戰時行政效率改組游擊區內各縣府粵省府昨已將辦法分令遵行
page 6	西江五邑水陸運輸統一檢查
page 6	婦女生產團動員助耕
page 6	鄧世增撫慰北海災民
page 6	廉北各界救濟米荒
page 6	中山籌設傷兵醫院
page 6	粵省府規定區鄉自治經費各縣自治捐征收辦法
page 6	中山縣兩糧食會合併
page 6	瓊島戰事迭起舖前市戰事在相持中
page 7	本港防空籌措就緒
page 7	英艦赴滬運兵來港
page 7	各區警察不許請假
page 7	街坊自衛團將成立
page 7	陸軍當局徵用民居
page 7	保育院決遷入內地
page 7	美僑準備隨時撤退
page 7	兩社難民暫時疏散
page 7	追悼死難軍民法會各界挽聯摘錄志決身殲死為雄鬼國仇家難哀為義民
page 7	佛山船票被竊
page 7	暹華僑救國會代表昨日抵港
page 7	東區防空隊昨舉行大演習
page 7	洋務工會獻金希望可達萬元
page 7	赤柱監獄昨晨發生命案兩囚犯打架一被擊斃疑兇陳錫林被押候訊
page 7	時局略轉和緩港政府暫停檢查電報有備無患當局仍勸市民注意防空街坊自衛團在組織中將可成立
page 8	陳舊樓宇極易惹火
page 8	一人頭髮亦被燒去
page 8	先聞爆炸後見火起
page 8	火勢猛烈殃及隔鄰
page 8	澳工廠出品運葡屬將免稅
page 8	九龍教師聯會昨紀念教師節
page 8	離港僑民已超過五萬來往港澳輪船增至十四艘
page 8	各團體撥款賑濟四邑難民
page 8	童軍露營結束
page 8	兩人倒斃路上
page 8	華南中學獲補助
page 8	東方實力太強義賽輕取港聯成績為五比一
page 8	夏令籃球戰績
page 8	中華二次水藝
page 8	昨日國際棒球賽國軍竟被淘汰三比一美利堅獲決賽權
page 8	南遊日記廿四
page 8	永樂西街南棧米行昨午被焚未　火前先發生爆炸聲財　損失約值八九千元
