page 1	地中海霸權與遠東問題
page 2	青島日領事竟干涉我運銀南下將由外部負責人據理駁覆
page 2	日人又盼蔣回京一切難題端賴蔣氏解決
page 2	並市當局發表日人強佔民房經過有該房主呈控該日人等訴狀益足使此事之真相豁然顯露
page 2	當局發表此事真相
page 2	房主呈控日人訴狀
page 2	滬日僑箱島氏在閘北被人剌傷傷非要害兇手逃去
page 2	基隆事件英外相有激昂提議倘日方不予賠償及道歉則停止派艦拜會日當局
page 2	國府明令撤消長沙綏靖公署國大選舉指導員何成濬辭職照准
page 2	滂江方面集有多數飛機綏東形勢異常緊張戰事有一觸即發之勢
page 2	最高法院西南分院未結案件移送最高法院接收該院已將辦理情形呈報鑒核
page 2	張學良昨飛陝
page 2	王林昨日抵滬
page 2	阿王赴滬轉杭
page 2	程希賢昨親訊擾亂犯
page 2	段祺瑞遺體昨日舉行大殮國府明令准予國葬蔣委長再唁段駿良
page 2	中日談判有於一週內暫告段落可能日將召川樾大使回國討論對華計劃方針
page 3	蔣院長電謝獻機代表
page 3	馬來亞華僑教育概況
page 3	職業網球家鐵爾登明日由滬來港
page 3	何鍵抵漢轉湘
page 3	湘日僑案在交涉中
page 3	日本人民反戰運動
page 3	國代大會明年舉行
page 3	察北偽軍佈戰鬥網
page 3	西　叛軍攻入馬德勒近郊全城已陷恐怖狀態恐難持久官軍仍繼續佈防作最後決戰
page 3	　際形勢日趨險惡法國加緊鞏固邊防東北防禦工事需費五萬萬佛郎全國設立軍用品製造廠六百家
page 3	唐萱辭職說所傳並非事實
page 3	廣龍航線改為黃邕航線
page 3	劉鎮華因病留京療養
page 3	日行政制度根本民改革案各大臣會議討論此提案關係東亞安危至為重大各大臣會議結果已有具體決定
page 3	美國大選羅斯福得票最多今後羅斯福之經濟政策自當增強外交方面亦將採行羅勇敢之政策
page 3	調整委會小組委會開會意德駁斥蘇聯照會謂蘇聯曾以大批軍火接濟政府軍政府軍飛機中亦發現有俄國軍官
