page 2	對於日諾瓦會議之觀察
page 3	梁士詒由東一號日起再續假十天昨返京讌客翌日復赴天津
page 3	日人對魯案欲速了結故顏惠慶亦主張速了寧吃小虧不使懸擱
page 3	財部次長辭職
page 3	張作霖通電文稿聞係葉恭綽手筆
page 3	日本山縣公爵一日下午一時四十分鍾逝世　儀經日廷內定遺體送至東京私邸決定　於音羽護國寺
page 3	美京訊魯路除車務長外尚須用日工程師數名又會計長中日各一
page 3	太會勸華裁兵停止內訌
page 3	聞研究已未兩系聯合運動組閣
page 3	梁士詒留津觀察形勢態度轉趨叛硬有打銷辭職意
page 3	顏惠慶宣言去揆留閣及閣員代揆均不確係余暫代非維持內閣但待大會事畢即去職或閣員總辭職
page 3	上海虹橋有船務經理人欲招上海土人派來香港瓜代罷工船員被華人三名阻止
page 3	遂將三人捕去二日在會審公堂審訊
page 3	軍隊仇視警察之驚人
page 3	蔣員罷工之省聞
page 3	直系師長王承斌赴天津與張景惠協商內閣事件後王赴保定張返奉天報告
page 3	張作霖再通電詰問吳佩孚指梁士詒賣國有何憑據
page 3	油麻地劫案
page 3	銀價
page 3	菲港無線電費
page 3	摩托車誤撞銅像
page 3	華工總會開幕紀盛
page 3	徐樹錚已由桂返粵
page 3	西南合兵破曹之大運動
page 3	英公使照會外交部謂京奉路外債未清嗣後不得運送軍隊及軍需品致礙收入為保護安寧起見三十里內不得駐兵惟外交部未答復
page 3	鹽餘大借款九千六百萬有成立說
page 3	曹錕二十一日電稱贖魯路集款鄂蘇魯三省各認二百萬豫贛陝三省各認　百萬由直省彙交
page 3	曹錕派王承斌赴奉天協商閣事並為吳佩孚解釋駐直奉軍一日會議結果舉張景惠赴奉天報告徐世昌順託與張作霖商解時局
page 3	吳佩孚對張作霖盧永祥將有長電表示又以副使名議咨請駐京直兩處奉軍出關
page 3	王承斌有督皖訊或云馮玉祥調皖王督陝
page 3	王克敏運動財部總長甚力
page 3	英公使恐奉直決裂照會外交部請劃出京奉路不得運兵路線三十里內不得駐兵
page 3	徐世昌函請王士珍組閣王以軍人干政力辭不允
page 3	法國霞飛將軍一日下午訪問日本貴眾兩院兩院迎以國賓之禮世界人士皆大注意
page 3	海軍校無再設希望
page 3	魏軍尚須留桂駐防
page 3	日領病
page 3	哥林堡日領由港赴日
page 3	傳染症報告
page 3	清理西環建造公司
