page 1	德國對遠東的外交攻勢
page 2	日退役海軍大將公然主對美宣戰
page 2	日欲侵中國資源彌補美禁運損失
page 2	野村出任美大使亦知任務極困難
page 2	駐美英使勞司安昨再謁羅斯福要求美助飛機軍械輪船未涉及財政與借款問題
page 2	多維爾海峽劇烈炮戰
page 2	哥里將軍返抵倫敦發表廣播演說檢討軍事局面
page 2	意軍屢戰皆北墨索里尼末日已近希軍乘勝又佔據兩個新據點在摩士谷普爾奪獲輜重無算
page 2	意軍準備大舉反攻
page 2	意被消滅四個師團
page 2	各路意軍繼續退卻
page 2	意軍機場大受威脅
page 2	阿土著軍一部逃去
page 2	保國拒絕加入軸心土國情勢復員穩保國人民無意對外作戰蘇聯態度影響保國甚大
page 2	保國首相中止赴德
page 2	羅代表團啟程赴蘇
page 2	德亦承認誘保失敗
page 2	德意俘虜分別拘禁囚同處一集中營意俘虜時被譏誚
page 2	德對波蘭宗教加緊壓逼天主教士四百已被解　德國
page 2	巴拉圭內閣發生政潮軍政部長等辭職
page 2	封鎖交戰國資金美正考慮擬廢止　翰臣法案
page 2	北愛爾蘭推定總理安德烈當選
page 2	達蘭都港之役照片發表有三艘戰鬥艦受傷
page 2	美上議院舉出外交委會主席華爾達佐治獲選
page 2	一星期內商輪損失統計共五萬九千餘噸其中英佔十九艘
page 2	軍機炸德軍事目標
page 2	天氣惡劣倫敦未受襲擊
page 2	軸心國展開遠東外交攻勢德特使東來又欲誘和日海軍大將主立即對美宣戰阿部昨由東京飛寧頗可注意
page 3	長谷川大將任台灣總督
page 3	美記者被扣日態度強硬
page 3	日方又宣傅荷印亦反日
page 3	晉東南日軍突圍被截我軍乘勝直迫晉城豫北蘇北均獲戰果
page 3	泰輪納華號船主失蹤該輪現泊檀香山
page 3	英軍事家批評希軍抗意大捷影響全歐戰局英海軍須加強監視亞得里亞海德軍縱假道羅保南赴援亦太遲
page 3	洛克特機廠出口優良曾供機數百架與英歷次空戰僅損四架
page 3	參政員胡元倓病逝
page 3	桂省計劃復興邕市即可恢復舊觀返者絡繹不絕
page 3	甘省振興水利
page 3	粵舉行僑務座談會李漢魂親自主持
page 3	日煤油公司英籍職員被拘判　監禁七月謂有間諜嫌疑
page 3	滬日逼改教科書美領提出抗議美人辦侵會　學校決不採　排華課本
page 3	蓉各界開會歡迎張群
page 3	繳納地稅以糧品代現款政院已通過此案一俟核准即日行
page 3	閩發行生產建設公債總額二千萬元
page 3	英國戰費破世界紀錄每日九日餘萬鎊
page 3	澳洲政府優待疏散英人無法維持生活者澳政府給予費用
page 3	耶誕休戰英國並未提議倘有中立國提議邱吉爾謂必拒絕
page 3	萬國寶通銀行漢口支行結束原因業務冷淡
page 3	河內法當局宣佈越南南部局面安靜日傳廿三晚泰越邊仍有衝突長谷川出督台灣將加速南進
page 5	會議內容
page 5	壯丁實數
page 5	八區海面
page 5	粵北游擊隊深入禺北殲日軍日軍封鎖粵路禁止鄉民通過
page 5	沿廣花路向南進擊
page 5	沿線交通暫行封鎖
page 5	粵儲蓄額第二期達二百廿萬元本年底可望超過一千萬利息增高節儲券亦暢銷
page 5	游擊隊襲大良日艇一艘被炸傷亡日軍十餘
page 5	日軍增強東北兩線防務兵力單簿改採守勢
page 5	粵師團管區從新劃分區域擬明年元旦實行
page 5	日軍圖侵蘆苞在狗眠嶺被擊傷亡甚眾在范湖被包抄我獲輜重極多大批受傷日兵運返佛山治療
page 5	圖侵進蘆苞
page 5	包抄之勢成
page 5	向日軍反攻
page 5	赴佛山醫院
page 5	要明民眾自衛眾肅清土匪維護行旅
