page 1	兒童幸福會之先決問題
page 2	陳誠部轉運贛州
page 2	粵軍決縮短防線
page 2	余漢謀請陳交代
page 2	馮玉祥發表談話
page 2	行政院電獎鄧鄺
page 2	孫科電迎蕭佛成
page 2	孔財長在二中全會對財政之重要報告本年因受巨量走私影響關稅短收約八千餘萬元
page 2	中央軍已抵樂昌
page 2	各方電賀余賀余漢謀
page 2	西南刪電到京孫于提議駁覆
page 2	川樾對萱生案要求交出兇手
page 2	豐台日軍演習要求我撤退哨兵
page 2	華北日駐屯軍司令部即將實行擴充組織參謀長永見調任他職遺缺將由渡久雄繼任
page 2	有田對中國記者暢談中日問題至其對兩粵意見謂乃中國內部問題
page 2	許大使訪晤有田商討滬萱生案有田態度和洽
page 2	日軍在平舉行實彈演習
page 2	閩贛湘三省軍事當局在大庚舉行軍事聯席議陳誠張發奎蔣鼎文胡宗南熊式輝等均參加中央軍到達湘贛者十七萬餘人
page 3	駐鮮華領事竟被日軍拘捕為有間諜之嫌
page 3	日記者考察團謁宋叩謁中日意見王謂希望中日信賴進行雙方有益之事
page 3	黃志剛等昨日赴杭遊覽
page 3	滬市各界通電擁護二中全會
page 3	成渝鐵路八月一日開工
page 3	平各界名流昨公祭顧亭林
page 3	裝設燈火完竣漢宜間可夜航
page 3	中央農業實驗所發現木本大豆富蛋白質可作食料
page 3	王克敏謁蔣報告北行經過
page 3	國大選舉總事務所昨舉行談話會決定各股股長人選
page 3	西藏執政攝政致電慶祝蔣壽
page 3	陳覺生今晚歡宴田代邀張自忠等作陪
page 3	囤積過多走私貨物減小
page 3	日駐京總領事須磨昨日返京
page 3	閩當局令全省駐軍清剿邊境殘匪
page 3	國經建運京分會決定工作原則
page 3	胡適之等過日
page 3	商震謁林主席報告豫省政情
page 3	南洋商業考察團昨日乘輪出發
page 3	任鴻雋抵京謁王報告校務
page 3	南運河疏濬竣工舉行放水典禮
page 3	中央氣象台施放氣球測驗上空情況
page 3	張銳對記者談鄂湘施政情況各地政治由消極的轉向積極實幹政治
