page 1	我國在國聯之立場
page 2	反對截留德貨美態度尚和緩
page 2	日輪東國丸平安無事
page 2	滬公共租界禁將白米居奇如有違此禁例查出驅逐出境
page 2	長子日軍被我誘擊
page 2	大於山我軍挺進綏垣我襲察素齊西擊斃日軍班長
page 2	日輪山陽丸滿載德貨定昨啟程返國測驗英法行動
page 2	野村邀元老談商外交問題
page 2	日本人口危機生產率低落因受對華作戰影響厚生省謀設法補救
page 2	美海軍部建造魚雷快艇價值五百萬金元供中立巡防之用
page 2	巴西共黨又圖活動被當局捕獲一百人搜出大批宣傳文字
page 2	英機一架在比迫降
page 2	滬英戰時捐金會已匯鉅款返英
page 2	英機一日間炸沉三德潛艇
page 2	英皇返回倫敦
page 2	愛沙尼亞德人移居波境
page 2	英拳術家伊勒般氏獲勝保存輕量冠軍銜
page 2	英海軍部發表航海戒嚴律特定區域內輪船俱歸海軍部管理
page 2	青滬路我軍襲七寶鎮偽軍被我全數繳械捕獲偽軍官十餘人
page 2	日聯隊長森戶重傷
page 2	北路慰勞團南返抵渝各代表雖跋涉萬里精神興奮毫無倦容
page 2	歐洲戰局將來有更擴大可能德雖不滿蘇聯侵略芬蘭正好拉蘇聯入戰爭漩渦
page 2	德經濟部長勸告人民貯蓄
page 2	桂富局加緊救濟傷兵難民
page 2	魯西戰地慰問團不日出發各縣
page 2	美大使詹森月底返滬
page 2	桂農林機關緊急處置辦法
page 2	委座諭令收容蓉郊難童
page 2	法詩人伏辛病逝
page 2	緬甸訪華團明日即可抵渝
page 2	滬各界為吳佩孚鑄像
page 2	犯中條山日軍全潰退粵北源潭近郊激戰中邕武路高峰坳傳已被我軍克復
page 3	羅馬學生又作反蘇運動
page 3	加里利亞一帶激戰蘇軍無法推進蘇軍於增援後進行攻擊仍未能突破曼納林防線
page 3	蘇軍戰績平庸未能深入芬境
page 3	畢沙莫區芬軍繼續英勇抗戰
page 3	瑞德意美等國極力援助芬蘭
page 3	胡適談話蘇聯仍助我國英法迫於環境或稍讓日但相信仍不會背棄中國
page 3	蘇聯記者作家隨軍出發服務
page 3	芬蘇兩軍尚未達到主力接觸
page 3	加里利亞前線芬蘭軍隊反攻
page 3	西線有數地點發生劇烈炮戰德前哨部隊活躍
page 3	珠江游擊潮
page 3	二白雲山麓的英雄
page 3	三南海風雲
page 3	四匪區的收穫
page 3	五狂潮在泛濫中
page 3	國聯代表大會定期今日舉行決將芬蘭申訴案提交大會討論英法代表密商應付蘇聯之態度
page 5	中山方面近甚安謐
page 5	一區在岐開始工作
page 5	睦洲方面日偽增加
page 5	江會戰事仍然沉寂
page 5	省府開統計會議將成立統計會
page 5	日圖用降落傘隊擾我省府令屬注意監視
page 5	地政局開始整理南始地政
page 5	大黃圃仍在我軍手中日軍在扁滘涌口肆擾兩次進犯均被我擊退焚掠後即向容奇潰退
page 5	粵教廳訂定師教設施方案提高教師程度便利義教推行
page 5	軍政機關征募司機應查明其來歷
page 5	深圳日軍昨竄擾沙灣偽綏靖軍之擴組
page 5	寶安稅捐處實行清稅運動
page 5	粵路日軍仍圖北進陸空聯合猛犯源潭王子山一帶劇戰日未得逞源潭琶江被慘炸損失甚重
page 5	張惠長辭縣長職尚未准一區司令部開始工作中山已實施軍政分治睦洲再增到日偽軍圖擾龍泉
page 7	檢閱團員
page 7	大會儀式
page 7	主席報告
page 7	陸氏訓詞
page 7	頒發獎章
page 7	各界贈旗
page 7	惠陽商會募捐棉衣成績棉衣五千餘件藥資四千餘元
page 7	大澳深灣發生劫殺案寡婦被劫愛兒亦遭賊慘殺大澳警探已拘獲疑犯二人
page 7	加拿大商務專員到港
page 7	全港女伶義唱籌款賑災
page 7	六邑賑聯會昨慰勞馬頭涌孤軍各方捐贈食品藥物棉衣甚多
page 7	倒地斃命
page 7	查捕兇犯
page 7	英金融專家楊格將來港視察金融輔政司否認楊氏在港任職
page 7	西區自衛團昨日舉行成立典禮各界名流到場觀禮者共數百人區長林子實報告該團籌備經過
page 8	防空處建築西區分部招商承投工程
page 8	學賑會昨開執委會議
page 8	中區自衛團繼續出發勸捐
page 8	九龍城雲峰洞昨開幕各界來賓甚眾
page 8	遮烈教授奉委繼任救傷隊總監遮氏未返港前由副總監代理
page 8	港九教聯會推動徵募寒衣運動捐款一元者贈金質紀念章
page 8	港當局計劃建臨時大會堂現正選擇會址
page 8	九龍城小販分會成立
page 8	湘北大會戰影片已運抵港沖印完竣即期公映
page 8	商用密碼未准復用原因
page 8	婦慰會慈善賣物近訊
page 8	聯青社定期聚餐
page 8	南華大學南鋒劇團昨成立
page 8	甲組足球獨幕劇雛鳳擊敗海軍三比一水兵先勝後負
page 8	華人會旅行團十七日往香港仔
page 8	思思女籃隊征澳
page 8	孫夫人昨廣播工業合作社之意義
page 8	稔灣海面一貨艇被劫賊將艇及貨騎劫而去損失千餘元
