page 1	法國政局的突變
page 2	賴伐爾氏確被扣留
page 2	元帥外長相繼廣播
page 2	法不放棄在美屬地
page 2	德多德曼運河被炸破壞甚重漢姆　侖等地屢被炸擊破壞許多工廠及煉油廠
page 2	德國汽油可自給嗎
page 2	德機向英倫各地隨意投彈地方民房傷害頗多
page 2	羅斯福返抵查爾士頓羅此次到加海巡視凡十二日對美中立巡防組織極為滿意
page 2	美機關報建母艦黃蜂巢號下水有三萬一千餘噸載飛機八十一架
page 2	蘇共產黨員實施軍訓以備戰時防衛本國
page 2	加軍　部長由美往英遇險所乘輪被魚雷攻擊同行尚有其他官吏
page 2	羅煤油田發生大火北歐與羅連貫鐵路亦受影響無車行駛
page 2	荷蘭公主定期抵華盛頓美政府正準備歡迎
page 2	南前首相逝世
page 2	羅大捕共產黨
page 2	英經濟代表團遍訪南美諸國昨由阿根廷往烏拉圭團長高談英戰爭目的
page 2	勞特喬治主張積極開發農田增加糧食生產
page 2	萬隆兩荷籍青年散發排 日傳單被警察捕獲監禁兩星期
page 2	美輿論愈趨積極下院軍委會主席決提議廢除中立法以便派軍艦護送軍械赴英輿論一致主擴大軍需生產
page 2	貝克在桂視察難民
page 2	昌東南我軍出擊告捷豫北戰況激烈日受重創新絳日軍北犯遭我截擊
page 2	法政局突變賴伐爾被貝當撤職扣留英美聞訊人心大快佛蘭亭繼任外長政策未宣布法再聲明決不放棄任何屬地
page 3	意軍退出巴地亞蘇林意軍將撤退
page 3	西沙漠英軍勝利回教民族大興奮
page 3	英空軍迭建奇勳意官報揚言反攻
page 3	英皇電獎華威爾美德報論意政局
page 3	軍委會發表一週戰況十二月八日至十四日
page 3	湘鄂方面
page 3	晉豫方面
page 3	浙贛方面
page 3	閩粵方面
page 3	蘇皖方面
page 3	其他方面
page 3	泰方願與越南和解
page 3	德否認希墨會晤西內閣連夕會議
page 3	希軍兩路仍銳進意警大捕阿志士
page 3	泰機日來減少活動桂南發現越復興軍南圻叛亂擴大日人暗中接濟越督發表談話準備武力報復
page 3	越督警告泰國決將武力報復
page 3	日機九架襲滇炸湄河橋該橋無何傷害
page 3	生活程度高漲滬工人頻發生罷工潮租界存米駐足兩日之用糧食不足前途極為可慮
page 3	果德縣民謝嘉能等慨捐鉅款
page 3	省振濟會今在西門外新建義民住宅四大幢
page 3	越南境內發生戰事
page 3	省振濟會以邕寧綏淥上思肆津憑祥
page 3	意戰敗影響全局美報傳德奧南部大軍雲集德軍將先佔意北法瑞意邊區已驅逐外人離境英軍追入里比亞意反攻失利
page 5	粵府懲獎一批公務員嘉獎搶救西潦得力人員乳源樂昌公務員多受懲
page 5	某戰區嚴禁鎢砂私運指派軍團分駐要隘查緝
page 5	日機又炸惠淡電油被炸發生大火
page 5	粵財政廳解釋舊雜鐵免稅內運辦法但仍應領土產證隨行無證時先放行後補稅
page 5	桂林歡宴越韓革命同志
page 5	中賑會擬改善東路賑濟辦法
page 5	合浦鹽價突漲
page 5	斗門安謐如常日軍進犯之說不確三灶石岐日亦撤退
page 5	白蕉附近之槍炮聲
page 5	日軍官自刎死
page 5	石岐日軍繼續撤退
page 5	中山日軍分擾各地
page 5	日對越灣野心未息利用第五縱隊分頭刺控廣州灣公使定期見商人
page 5	省參會請減輕農民負擔撤銷龍門縣穀經紀捐
page 5	日海軍派將實行南進旗艦潛艇先後出現瓊島海面瓊島戰事激烈我克澄邁紅石墟萬寧我軍反攻克籐寨迫波羅市
page 6	南路免征洋米稅後米商準備大批運入內地米價即將回跌各縣奉令禁止釀酒
page 6	潮汕日軍防我反攻汕頭督拆　寮
page 6	粵加強民眾動員工作民眾動員工作團已普遍全省各縣民眾自動起來參加抗戰
page 6	我軍進迫增城日在河岸建築工事派隊搜查近郊各鄉
page 6	軍委會嚴禁假借名義活動違者　戰論罪
page 6	交部在粵招考郵務人員明年一月在梅縣攷試
page 6	瓊崖日軍槍決附日份子
page 6	寶安盛傳我軍將大舉反攻我正規軍容旅增防廣九西線南頭深圳發現抗日傳單標語
page 7	油漆工人墜樓斃命
page 7	花紗格價大漲
page 7	代督岳桐電賀英皇壽辰
page 7	婦女慰勞會募款成績報告
page 7	小型柴店紛紛停止營業因不明填報營業手續
page 7	九龍浸信會堂昨舉行開幕禮
page 7	法幣平津基金會今日舉行會議
page 7	醫務當局為港難民呼籲請各界捐贈寒衣
page 7	逢禮拜日各銀號休業聯安公會議決
page 7	美國郵船昃臣總統抵港
page 7	生牛來源缺乏牛肉價格高漲
page 7	名流籌款在滇建立醫院
page 7	巡迴防空展覽下月初旬舉行
page 7	本港警探破獲貨艇劫案贓物在香港仔海面發現共拘獲嫌疑匪犯十二名
page 7	華商織造總會選出新任董事
page 7	日機轟炸淡水焚燬民房數間
page 7	學生繪畫比賽昨在港大舉行
page 7	九龍商界請求延長歲末營業時間由尾　起每晚營業至十二時稟章在起草中日內呈上港府
page 8	暹羅方面米價低跌
page 8	本港米市兩日無盤
page 8	代督定期檢閱防空人員灣仔隊舉行預操
page 8	農植訓練所昨舉行動土禮
page 8	開辦目的
page 8	崇正總會調查客屬同僑
page 8	糖商總會推常務董事
page 8	課程時間
page 8	粉嶺賽馬會耶誕舉行賽馬
page 8	少青服務團舉行音樂會今明晚繼續舉行
page 8	中華國醫學會定期舉行聯歡
page 8	移民例將實施澳門來客擠擁
page 8	華商總會代全員請領移民證已函移民局請發給申請書
page 8	崇正救難會建築葵涌醫院並捐衣款三千元
page 8	深圳私梟與日兵激戰日兵不敵逃遁一名中彈斃命
page 8	濟隆糖薑廠糖薑朱古力出世
page 8	培英中學校友會慶祝基督聖誕
page 8	木刻協會舉辦木刻研究班
page 8	港府規定批發米價後暹羅方面米價已抵跌本港米商昨日接暹方同業電告暹羅仰光均將有大批米石運港
page 10	星島勇克約瑟
page 10	女子公開排球賽直下三局南華破仿林
page 10	昨日甲組足球賽華軍兩路齊捷四比二東方勇挫警察三比二星島僅勝約瑟
page 11	達拉第評
page 11	第四章麥　之死　
page 11	不辭源
page 11	德國健兒征不服法國女郎
page 11	德國潛艇政策檢討
