page 1	廣九焚車難屬懇蔣夫人提攜援助電對外籍人民之疾苦尚能顧及對本國同胞之患難定表同情
page 2	韓復　劉峙等抵滬
page 2	孔特使等今日出國蔣委長王寵惠等均抵滬歡送
page 2	駐滬日海軍陸戰隊又舉行示威大演習分滬東滬西及北四川路三路舉行參加隊伍一律武裝並有坦克車等
page 2	蔣委長授委任狀
page 2	王寵惠致歡送詞
page 2	傅作義日內赴杭昨奉閻電召赴並商要公
page 2	交通銀行改選商股董事
page 2	平津學生根絕私貨運動
page 2	日貨在滬傾銷數量日益增加
page 2	中國施行管理貨幣局面大有進展
page 2	京滇公路週覽團決於五日出發龍雲電褚表示歡迎
page 2	印政府宣佈增加絲織品入口稅
page 2	日國會解散後將有御用政黨產生此新政黨在能與政府沆瀣一氣
page 2	日使館增設三參事官
page 2	中常會准蔣續　兩月委王寵愚代理行政院落長職務杭州會議完竣蔣昨離杭飛滬日報謂杭州會議意義重大必係作聯合一致抗日之準備
page 3	全印會議對新憲法反對
page 3	意宣傳部長否認意軍援助西國但意屬非洲土著兵又開入摩洛哥彼等穿意大利軍服受意軍官統率
page 3	西國叛軍肅清內變經過
page 3	西政府軍奪得險要區域
page 3	中常會議決徐蔚南任中宣部主任秘書彭革陳任中央新聞檢查處長
page 3	李宗仁白崇禧昨宣誓就新職
page 3	日人在廈組　華同盟會居心實為叵測
page 3	京晉長途電話昨日正式通話聲音清晰成績滿意
page 3	截留法輪法國提出警告
page 3	西國叛軍已陷危險地位
page 3	蔣院長關心監獄通令改善獄政
page 3	稻麥改進所宣佈全國小麥分類分硬軟紅白四大類
page 3	新建平海艦昨舉行歸隊禮部分隸屬第一艦隊
page 3	俄大使返任抵滬否認中俄密約
page 3	林主席五日離粵赴湘
page 3	吳鼎昌視察川省物展
page 3	滬絲罷工潮迄今未獲解決工人與警察發生衝突廠方全部工作已停頓
page 3	鐵部召開鐵路新運會議
page 3	立院例會議程
page 3	小協商政治會議性質頗為重要預料會議將明確規定小協商國今後共同政策
page 3	南愛自由邦未有誠意出席帝　會議
page 3	日駐屯軍司令田代赴豐台檢閱日軍
page 3	英屬印度十一省實行自治自治區域包括全印土地三分之二自治境內人民數逾二萬九千萬人
page 4	世運桌球場昨日開幕紀盛中西名手表演助慶
page 4	天津足球代表勝滬軍聯隊詳情結果五比一軍聯守衛軟弱姜璐獨中國球津隊已北返
page 4	小足球協會昨歡迎會長紀盛
page 4	聖保羅球隊征省今晚搭夜船出發
page 4	南華會國術　續辦第二期太極拳班四月　日報名十六日開課
page 4	港外匯市情平穩
page 4	八九金價昨略跌
page 4	省西紙下午略降
page 4	滬白銀出口稅率
page 4	桂幣價昨仍趨升順幫鉅量購進成交七十餘萬
page 4	省法幣市價略起
page 4	本屆台維斯杯賽我國隊伍實力增強添選本港猛將徐惠培為代表定期本月乘維多利亞輪首途昨日單打徐以二對零勝威定頓
page 5	粵省輕工業工廠實行招商承辦訊港商投資在接洽中港商廠出品入口減稅頗成問題
page 5	軍校昨日補行開學禮盛況
page 5	五路軍正副總司令昨一日就職續訊
page 5	民食會昨將蕪米再減低價格出售將蕪米先行沽清辦理免稅洋米事
page 5	珠江黃埔濬河公債先由建設角公司墊交曾養甫專辦闢埠事訊
page 5	保存革命遺跡擬重建元帥府
page 5	林主席展期入桂訊因候吳鐵城來粵指示施政方針昨日赴軍校訓話及巡視各工廠
page 5	展期赴桂
