page 1	日新閣之外交
page 2	荊門東馮殘日一部殲滅鄂北我軍衝入　山續攻廣水收獲甚大
page 2	汪知恥節約獻金
page 2	赫爾對日國策宣言仍不願有批評輿論界則有激昂之評論
page 2	攜械反正
page 2	三台發現日機拋光榮稱號鎗械
page 2	小磯奉派為赴荷印專使小磯昨對記者發表談話謂日須在東亞建經濟圈
page 2	日機襲川
page 2	國府明令褒揚周駿彥
page 2	邕寧路日軍擾犯四塘被擊我軍向襲州附近襲擊粵南我軍向新衡進襲
page 2	浙江洋面美輪被日扣留日謂該輪破壞日軍封鎖線該輪是否將獲釋現尚未知
page 2	小磯奉派訪問荷印
page 2	英日關係突趨嚴重倫敦拘捕日僑三名重光到英外部要求解釋理由英方意見謂係根據國防條例
page 3	貝當將根據法令控訴甘茂林等在英哥里將軍被判死刑哥里謂將待最後之清算
page 3	美與波爾多無線電報停頓
page 3	閩主席陳儀談片發展經濟建設事業奠定基礎施行新縣制
page 3	英代表團由印抵美購買大批機器度發展印資源
page 3	傳芬反蘇份子舉行恐怖行動蘇聯方面報告加以否認
page 3	英為應付嚴重時局強化戰時內閣比夫布洛克被邀入閣勞特喬治料亦將被邀
page 3	合作事業將採取半強制
page 3	美軍事家評論英有虞勝希望歐洲戰我已變為封鎖戰德國物質現開始漸枯竭
page 3	委摩雷唁馬者武家屬
page 3	羅斯福總統贊成採徵兵制上議院陸軍委會拒絕徵兵額限一百萬之議
page 3	工合協會擴增會內組織
page 3	張伯倫病有起色
page 3	駐土德大使乘機抵蘇非亞將返回安哥拉
page 3	德機炸傷愛輪愛向德提抗議要求德賠償損失
page 3	英倫防務鞏固各種隊伍現正積極訓練倘敵來犯必遭海空夾擊
page 3	貝當召集內閣會議討論國際時局議決解散法國秘密團體警告助英作戰之法國人
page 3	美國務部嚴密注視遠東時局之變化美國願望太平洋維持現狀日本態度確成為嚴重問題
page 5	小托又被陷
page 5	我反攻北卡
page 5	江會之砲戰
page 5	日軍由台調來後備兵赴各戰場補充一部開赴北線
page 5	三水自衛分隊長因庇煙賭處死鄉長庇賭拒捕被拘押候處決
page 5	桂省設立各地糧管分處統籌運銷嚴禁壟斷
page 5	桂省籌辦戰地國民中學
page 5	中途被匪截擄
page 5	東江沿海情勢仍緊日艦又砲轟媽宮陸豐甲子亦頻有日艦窺擾
page 5	經濟部加緊開發西南礦業擬定礦區改革辦法桂省通令保護採金
page 5	北路日軍擾街口被痛殲日軍潰竄神岡死傷甚多我軍攻入進和大獲戰果新街一帶日營陳被摧毀
page 5	日海陸軍在新塘聯設水陸運輸管理處勒令船舶繳費領旗始准航行
page 5	嶺東我軍兩路進攻潮安日機轟炸意溪
page 5	台山寨門一帶匪氛又復披猖縱橫海面騎劫貨船縣府飭屬切實搜剿
page 5	粵路南段炮戰激烈
page 5	日便衣隊竄擾街口
page 5	我攻進和焚燬日營
page 5	日軍再陷小托　魚沙交通已全被控制北卡陷後我農民聯合團隊反攻江會方面連日仍有砲戰
page 6	台山舉行行政會議榫過去工作改進今後施政新縣制將施行澈底整頓庶政
page 6	粵　縣訓練民教師資人數首期訓練一萬名
page 6	梅縣分處統一招生考試情形二百餘人不准投考另候處置濫收學生藉學牟利嚴加取締各生試卷多數未能盡滿人意教育質量亟待改進
page 6	東江潦水又漲惠陽疏散人口防日機乘危侵襲
page 6	香港保育兒童第一批已抵韶
page 6	粵北田禾虫害經已撲滅
page 6	觸目警心之韶關市場日貨充斥亦有負責根絕之機關卻視若無賭長官嚴令亦若無聞
page 6	三水日軍犯黃塘被我痛殲於紅岡
page 7	肇事地點
page 7	山石下墜
page 7	七死一傷
page 7	事主身世
page 7	獄囚擠擁問題難解決每日出獄入獄人數相等監獄總管威爾郝氏談話
page 7	經警察司退休已獲港府批准
page 7	文藝界紀念魯迅誕辰昨午在孔聖堂開會
page 7	旅日英僑多準備返國遊客抵港談日捕英僑經過
page 7	佛山輪未返港日方索帶水費數千元
page 7	茶各跳樓殞命
page 7	又塌一屋
page 7	景光街劫案疑犯六人被捕贓物一部份亦經起獲
page 7	昨有鮮魚到港僅五千餘擔
page 7	大埔山麓巨石下隧壓塌三屋造成七成一傷慘劇屋主林君鑄為本港著名老醫一家十一口僅四人幸免于難
page 8	非常時期照常賽馬秋季特別賽下月開始明年比賽日期亦訂定
page 8	連日本港雨量創百年來新紀錄
page 8	住客聯會會議決請當局增設消防水管
page 8	英賑華會撥鉅款散賑冀南水災災區包括十縣以上區內災黎六百餘萬
page 8	焚劫貨船慘案續審證人多名上堂作供
page 8	長洲小輪又遇脫索水雷船中搭客飽吃虛驚
page 8	港政府委任令
page 8	明日公眾假期郵政局更改辦公時間
page 8	店伴報被賊劫
page 8	搶匪倒斃路傍
page 8	港貨禁運地點商業統制專員公布
page 8	戰時雜感三
page 8	倫敦戰時景色
page 8	商會提前會議講議紀念八一三辦法
page 8	九廣路五號隧道昨日尚未修復上下行車仍須接駁
page 8	警探在深水　破獲大規模販賣人口機關男女疑犯十三名在鞫訊中小童十七名已送入保良局
page 10	前上海足球健將薛雍源昨過港聞將效力東方
page 10	今日棒球義賽美艦戰港選手上午十時會師加山聯賽南華對港啤隊
page 10	宵來乙組籃球劇戰培英保羅齊奏凱青乙勵行抗之下卒告不敵兩勝隊積分相等須再決雌雄
page 10	和和杯賽是否由星島隊負責目前該隊未有來電提及協會擬十五日開會討論
page 10	昨日戶外運動俱因雨改期
