page 1	美國外交政策之表現
page 2	策應晉東南戰事晉西我軍渡過汾河晉Ｘ九路圍攻計劃被我粉碎半月來激戰斃Ｘ達八千以上
page 2	鄂南我軍反攻湘北我軍亦同時出動贛北前線又發生激戰
page 2	紅星報謂日本財政將不可收拾內債竟達一百七十餘萬萬元戰事愈延長則Ｘ財政愈紊亂
page 2	暹羅僑胞踴躍獻金共七十餘萬元
page 2	李烈鈞抵滇養屙
page 2	難民紛紛逃滬我包圍杭州日內總攻Ｘ所募之壯丁三百餘午南匯反正
page 2	粵省部隊協助農民耕穫促進軍民合作
page 2	滬成都路發生槍戰死偽探二人傷二人
page 2	Ｘ國境內稻田荒旱因水電力不足
page 2	對中立法案美孤立派堅持到底如羅斯福果訴諸人民公意彼等決與羅斯福一較長短
page 2	法力主英對蘇讓步
page 2	波蘭海關職員被但澤海關職員槍殺波向但澤參議會提出抗議
page 2	英內閣考慮繼續貸款我國以支撐我國法幣
page 2	德國郵務局檢查英法信件
page 2	英眾議員辯論巴力斯坦問題
page 2	廣州Ｘ哨兵被人開鎗擊傷市內大起戒嚴
page 2	伊凡拉卓教授鉅著大戰中德國勝負之數該書在匈各地風行一時
page 2	犯汕Ｘ全部被擊退我空軍飛而三灶島炸沉一Ｘ艦Ｘ汽艇上駛韓江被我擊沉三艘
page 3	吳稚暉論汪精衛生平始終是一個不祥的人物
page 3	汪的一生
page 3	卅八年前
page 3	廿歲以前
page 3	譬如現在
page 3	自此以後
page 3	不擇手段
page 3	他又來了
page 3	跑了之後
page 3	他這一回
page 3	這些好戲
page 3	有田訪晤平沼報告談判經過
page 3	中國朝野盼英不向日本退讓
page 3	Ｘ組織新民會擴大反英宣傳
page 3	波蘭積極準備防禦德併但澤波軍總司令對英　代表表示德如侵但澤波蘭將不惜一戰
page 3	傳德軍事代表團將聘蘇聯德蘇均提出否認
page 3	英議員組團擁護張伯倫以阻邱吉爾入閣
page 3	英各界預測歐洲戰禍於秋間爆發英極力使英日談判繼續進行日本反英運動傳係德國支持
page 3	英當局公宴保祿親王商討英南關係
page 3	法國添造艦艇
page 3	傳羅馬教皇出任國際調人
page 3	英波談判已有進展不久可簽立借款協定英以八百萬鎊借波擴充軍備法亦願借六萬萬佛郎與波蘭
page 3	英準備向希特勒提出和平方案德如實行裁軍英願對德讓步但此計劃恐未能得希氏同意
page 3	東京昨晨舉行英日三次談判傳英日雙方已商定協方案下次會議定於今日繼續舉行
page 4	洋務工會節食售花成績
page 4	粵基督教徒在港召開大會討論戰時教育問題
page 4	新界荃灣將成工業區內地工廠紛紛遷來營業農業亦發達獨漁業不佳
page 5	江會戰事最近情況
page 5	中山情勢日現安定
page 5	順德各輪渡相繼停航各地團隊伺機截擊匪徒猖獗時出截劫容省容陳兩線輪渡十九日起停航
page 5	當局令全省官吏尊重民意尊重民命慎用民力善取民財
page 5	西線戰事之最近形勢我游擊隊隨處活躍夏威將軍對記者談
page 5	南　游擊隊　擊Ｘ
page 5	夜襲上塘　逃命
page 5	夏威離肇對記者談
page 5	我機夜襲廣州
page 5	Ｘ機昨窺深圳惠州龍江曾被投彈
page 5	粵省連年裁廢苛雜成績
page 5	桂農民銀行組設戰時交易公店
page 5	粵省營工廠清理積案
page 5	周雍能昨接任粵僑務處長
page 5	從新嚴禁運滬資Ｘ物品辦法北海關昨已公佈
page 5	我軍攻入瓊山縣城焚燬甘蔗園Ｘ營數座
page 5	Ｘ軍在汕尾登陸後續犯窯圍有進窺海豐勢我軍由紫金東下阻Ｘ深入
page 5	Ｘ犯汕尾血戰經過
page 5	Ｘ軍再進圖窺海豐
page 5	我軍源源東下迎戰
page 5	Ｘ增兵江會之企圖我軍運用新戰略粉碎Ｘ謀江會各線仍時有接觸中山當局陳列戰利品
page 6	台山金融市情回復市立券低折風潮平息市券可無限制兌換國幣嚴禁港澳商人運入圖利
page 6	趙士偉談
page 6	縣府佈告
page 6	韶各界加緊肅清Ｘ貨組織緝私隊宣傳隊
page 6	別矣汕頭四
page 6	鶴邑黨部書記長抗戰得力省黨部傳令嘉獎
page 6	蕉嶺被炸大批要犯乘機脫逃
page 6	Ｘ機濫炸蕉嶺補詳炸燬平民醫院幸未傷人
page 6	台山加緊完成大窿洞墾殖區
page 6	第四游擊政工隊昨抵深圳服務
page 6	抗戰以來之廣東財政一
page 7	惠陽商會等昨歡迎黃伯才葉淡波黃葉二氏報告救鄉之計劃闢墾殖區擴大四鄉服務團
page 7	華人機器會七七賣花成績
page 7	基督教籌賑會在恩平設醫院
page 7	強姦疑案提堂
page 7	警探搜捕海盜在筲箕灣獲疑犯九名
page 7	警司巡視新界
page 7	青年獻劍會籌委四次會議
page 7	Ｘ發現某國飛機三架結隊從深圳上水警署昨電報警司
page 7	防空教練考試及格名單發表
page 7	搜獲無照手鎗旅客一人被拘
page 7	宵小入屋行竊
page 7	僑港立案學校校長對赴韶受訓躊躇未決多以秋季開課在即未易抽身有數校呈請當局准派員瓜代
page 8	婦女兵災會徵募蚊帳藥品
page 8	兩人失足跌斃
page 8	要明同鄉會定期行成立禮
page 8	難民手工展賣八月一日舉行
page 8	萬人緣法會昨日續收捐款
page 8	世界名畫展覽
page 8	女新運會捐訊
page 8	兩人被控私藏無線電機
page 8	刊物入口須領許可証無許可證者輪船不代運載
page 8	市虎噬傷兩人
page 8	殉職救護員家屬政府照章撫卹
page 8	南遊日記十
page 8	今日棒球聯賽友啤隊再戰泯甸奴明日南華對友啤有看頭
page 8	青支二次水藝
page 8	美女壘球隊將再度征菲過港時將作表演賽
page 8	廣州市面淒寂如死我空軍頻到襲Ｘ人極感恐慌難民歸去後寢食不安多仍逃出
