page 1	國聯大會與亞代表出席問題
page 2	對北海事件日方仍持緊張態度海陸外三省檢討川樾交涉對策將再訓令川樾作進一步之交涉
page 2	偉大的沉默九一八又五週年東北大學全體食高粱菜誌哀滬日商店高懸燈彩太陽旗慶祝
page 2	孔副院長發表最近財政外交情況兩粵既經統一財政金融可趨正軌在平等互利原則下調整中日邦交
page 2	黃旭初將向蔣請示商改組桂省府問題財建兩廳長將由中央選員接充
page 2	李青選與宋哲元等商談華北經濟問題冀察稽查處原為協助緝私而設真相已明此問題無需再行研究
page 2	豐台中日軍發生衝突日軍將我軍包圍意圖繳械南苑廿九軍聞訊即派隊將豐台包圍雙方嚴密戒備槍砲聲突起旋即停止
page 3	蔣委員長赴沙面參加英領宴會宋美齡乘機飛潯轉牯
page 3	立法院第七二次會決議修正通過保甲條例草案贛省土地公債及造船獎勵條例亦同時通過
page 3	審議保甲條例
page 3	造船獎勵條例
page 3	贛省土地公債
page 3	英使許閣林首次拜會外張請示覲遞國書日期
page 3	長春公安當局破獲暗殺機關拘獲陳鐵漢李德興供欲乘機行刺溥逆
page 3	偽滿闢航空線由大連為起點每週航行三次
page 3	國府任免命令
page 3	華北日軍首腦今日再開會議
page 3	日軍用飛機昨飛太原偵察
page 3	國民政府命令嘉獎傳作義剿匪安民黃慕松任粵保安司令
page 3	稻麥所著手研究小麥改良計劃謀增加產量改良品質
page 3	日軍在塘沽舉行示威演習
page 3	公務員所得稅決於十月開征
page 3	王祖祥飛粵考察衛生事業
page 3	中央農業實驗所土地價格觀察謂此後將繼　高漲
page 3	國府委員會義報告事項三百餘件
page 3	晉組織公務團監督官吏政府
page 3	法總理勃魯姆廣播演講說明法國對外政策法國始終尊重他國之主權法國主權京應受他國尊重
page 3	西無政府黨人佔據聖丹達城社會黨人多被拘禁開始佈置防禦叛軍
page 3	國聯行政院今日舉行會議將不討論西國問題僅係注重丹澤問題
page 3	法里黎罷工潮已有解決希望所未能妥洽者祇餘枝節問題
page 3	英勞工黨執行部將在倫敦開會討論國際時局問題並將起草所持政策
page 3	英對阿拉伯人罷工將以武力解決現計劃派兵防守阿境以阻外國軍械之輸入
page 3	波蘭官方否認內閣改組
page 3	英向法比等駐英大使送出洛約照會
page 3	英政府與四國代表舉行三次會議考慮倫敦海約事件
page 3	魯韓召部屬會議決定充實國防力量遵照中央密令積極進行通過草案送軍委會研討
page 4	第九屆全省水運開幕國難當頭健兒們努力前進麗日風和萬千士女看競技
page 4	會場一瞥
page 4	開會情形
page 4	致開會詞
page 4	公開水運會小童一百碼秦錦章班梧士同列冠軍今晚中西名將盡出場作最後決賽
page 4	政府華員會舉辦水上運動會
page 4	本屆甲組足球賽警察隊失去台柱思派各請假十月今日返英亞力山打幫辦亦同輪離港
page 4	南華華對聖約瑟改期下星期一比賽
page 4	兩小足球隊征省
page 4	九龍華人會設分會禮頓山道本星期六戰香港會乙之陣線
page 4	蘭開夏再戰虧佬團
page 4	紅星籃球隊對城城
page 4	鐘聲今晚開音樂會
page 4	昨晚青年會健身室中西拳術比賽大觀鄭偉文獨力爭回華人體面李劍琴三分鍾內流血敗陣
page 5	李宗仁黃旭初昨赴黃埔謁蔣委長行營設席歡讌並商桂省善後
