page 1	巴爾幹會議與歐戰
page 2	日艦四艘肆擾中山古鎮我軍突襲馬口肅清日軍東江我向潮安一帶進擊
page 2	參政會視察團過蓉赴陝
page 2	傅偽政權下月成立現　開始準備
page 2	日機廿七架轟炸滇越鐵路有一列車被其炸燬車員搭客傷亡百餘
page 2	七屆體委會在渝開幕
page 2	中央撥款振濟河北水災
page 2	日兩院昨復會米內有田等均發表演說竭全力處理中國事件
page 2	國內外團體討汪電
page 2	教部規定抑制書價辦法
page 2	教部規定
page 2	戰區學生入校辦法通令各省教廳學校遵照辦理
page 2	新成立短波電台開始反汪宣傳遠東之廣播戰多一枝生力軍
page 2	甘省召開中學校長會議
page 2	美報交通顧問施漢氏返國
page 2	欽邕公路將有大會戰鄂中我沿鍾京路猛攻晉南我冒雪出擊豫北日極恐慌
page 3	曼那漢線中段蘇軍大舉進攻每次主力攻均被芬軍擊退旋退旋進爭奪戰繼續展開
page 3	英戰時內閣已組內閣委會專司軍事聯絡之責檢討戰略重要事項
page 3	溫丹保警告日本禁運方案有實施可能畢特門駁覆日方報告實施禁運美有自主權
page 3	美國對芬貸款問題若係非軍事性質則不破懷國際法
page 3	英皇微恙
page 3	傳淺間丸事件可獲解決辦法
page 3	德製大隊轟炸機準備進攻英倫德國決不肯就此屈服
page 3	日謂蘇蒙日滿決組兩委員會研究邊界問題
page 3	最近美海軍在大西洋會操
page 3	希臘挪威兩輪被德潛艇擊沉
page 3	滬公共租界巡捕與匪衝突捕獲九人搜出手槍
page 3	岷郵政檢查員搜獲鴉片八兩
page 3	德廢帝威廉發表時局意見主張各交戰國一律停戰共同援助芬蘭抵抗蘇聯
page 3	國幣對美金匯價日來低跌係因年關已近
page 3	津租界鐵絲網昨日電流停止津日領事訪英領事強辯封鎖租界原因
page 3	美國華僑團體表示擁蔣斥汪
page 3	雅典微有地震倒屋五棟重創者二十棟
page 3	滬工部局與偽市府商討一協定解決越界築路區之管治問題
page 3	越界築路區挪威婦人被劫該婦欲抵抗被槍傷　臂手臂
page 3	巴爾幹會議決定繼續維持協定德意加緊壓迫巴爾幹諸國意力促羅匈接近防蘇南侵
page 4	本港米價昨日微跌安暹米船各一艘日間到港
page 5	主要原因
page 5	穀米評價
page 5	鄰縣採購
page 5	條陳竟見
page 5	福從路在我控制中日軍搜索增從山地受創被困雙鳳山棄屍數十潰逃我軍夜襲鐘落潭燬日倉庫
page 5	增從山地激戰
page 5	我襲擊鐘落潭
page 5	廣州各行商歲晚提前休業
page 5	第五游擊區派員管理崖門封鎖收引水費指導航線
page 5	西江戰事復緊張日艦轟頭溪圍
page 5	廉江縣府投變呂春榮產
page 5	我團隊在容良路襲擊日偽軍之激戰沙頭日軍馳持我始退出
page 5	粵財廳印製營業稅三字經分發各稅局宣傳
page 5	西江我軍攻入馬口痛擊日軍日軍圖登小洲不逞我團隊炸毀日兵車
page 5	該鄉四週大肆搜掠
page 5	向黃松崗轟擊模樣
page 5	太平日偽軍侵擾寶安屬黃松岡墟石龍增到日軍昨侵茶山茶園我團隊在橫　戒備
page 5	杜絕各鄉收藏匪偽
page 5	侵入茶山茶園西鄉
page 5	茲據各方消息
page 5	四邑三埠米價復暴漲中米每包售廿五元較前一月漲兩倍台山縣長黃啟光條陳救濟米荒意見
page 7	日海軍又焚劫兩貨艇榜人脫險財物損失甚巨
page 7	文物展覽會定期截止收件
page 7	婦女節制會全體委員會議報告去年收支總結
page 7	洋面燕梳公會重訂保險價目
page 7	各伶新靚就組戲劇宣傳團今日舉行成立典禮
page 7	青年生活社被匪冒名賣物行騙當局發覺業已拘罰多人仍望各界提防勿受其愚
page 8	安暹來源絕無阻滯
page 8	存貨既多價應回跌
page 8	緊尼地道　林中謀殺小童疑案續審死者祖母述死者失蹤經過並謂被告事前已諸多恐嚇
page 8	被告阿牛
page 8	私攜大批紙幣來港泉州輪客一人被拘捕
page 8	死者之祖母
page 8	插贓架禍
page 8	不見阿炳
page 8	滬工部局總辦費利浦昨過港
page 8	又一貨艇被劫捕獲疑匪一名
page 8	西貢埠際足球隊大軍除夕抵港東方南華排陣備戰征滬之師昨晨啟行
page 8	甲組銀牌第二週南南迎戰海軍乙組南華甲遇八營砲兵兩幕戰事均假加山舉行
page 8	女籃球壓軸戰西南今逢勵志
page 8	港軍昨拔隊征滬
page 8	兩年來貢軍戰績
page 8	本港糧食不虞缺乏現存白米達一百萬包米價飛漲不已殊難索解希望糧食統制專員注意
