page 1	共同防共與共同防廠
page 2	吳淞口外發現日本艦群
page 2	鄭州軍警發現炸路陰謀
page 2	關外日軍儲糧準備西進
page 2	津市當局嚴防奸人擾亂
page 2	綏察形勢日來又趨嚴重
page 2	段祺瑞在滬逝世享壽七十三遺妻一妾二子一
page 2	蔣電謝林主席柏德森飛京織大壽字萄葡牙公使來電祝賀
page 2	字林西報評　基隆事件痛責天羽失態
page 2	周一志等抵桂林暢遊各地名勝邵元沖等今日可抵桂林
page 2	中央國府紀念週舉行黃克強逝世廿週年紀念林主席講服兵役為國民應盡義務
page 2	林主席赴滬延醫檢驗身體
page 2	緝私總稽查處在津開始辦法
page 2	宋哲元宴田代
page 2	司法部籌設邊省高院
page 2	交通部改進滇黔郵政
page 2	第四路軍考察團離首都分赴各地攷察
page 2	川張七次會談為中日歷年懸案總結算滬日文報充滿威嚇不祥名詞宋哲元表示誓不簽訂辱國條約
page 3	俄大使將返國
page 3	楊永泰靈櫬昨移厝抱冰堂
page 3	保宛赤匪竄往定邊滋擾
page 3	王用賓抵衡陽
page 3	粵漢路車在小水鋪出軌機車卡車損壞死傷十餘人
page 3	長沙日僑深夜身受刀傷
page 3	美國海員工潮紐約已受影響
page 3	意相墨索里尼力爭地中海霸權認地中海為意國生命線謂國聯無從新改組可能
page 3	墨索里尼發表重要演說意決重整海陸空軍各國對墨氏演詞觀測各有異同
page 3	意反對國聯及集體安全
page 3	法參加制裁意不能忘懷
page 3	德奧協定保障奧國獨立
page 3	決與匈南維持友好關係
page 3	法對意相演詞加以訾議
page 3	意決繼續完成整軍計劃
page 3	英意衝突引起全歐衝突
page 3	意人視地中海為生命線
page 3	重樹最初反共主義旗幟
page 3	意德連繫為和平之軸心
page 3	英國政界頗感不良印象
page 3	德電台播送意相之演詞
page 3	匈政界人士均表示滿意
page 3	為太平洋建築防工問題史璜生向日警告
page 3	西國戰情劇烈叛軍炮彈可及西京
page 3	日銀行封存白銀早已裝運出口
page 3	土耳其擬施行婦女義務兵役
page 3	美艦由滬駛菲
page 4	高級學界籃球賽聖保羅大勝華大九龍嶺東擊敗刺沙
page 4	公開排球賽糾紛事宜今晚開會商解決
page 4	普通界女子籃球賽已有六七隊參加報名展期五天截止
page 4	足球總會昨開會議決麗華杯糾紛召開特別會議解決
page 5	空軍機場遷移訊
page 5	購機祝壽商會昨繼續募捐會警同行以昭慎重
page 5	省庫　入短少廢捐運動完全結束先後裁廢十餘種尚有三百六十種移交第三科批辦
page 5	民黨卹金贍養費一律照案支發由西南核准者無效
