page 1	香港並非入危險時期
page 2	羅氏和平呼籲為德攻擊竟謂羅氏和平呼籲破壞希氏和平工作
page 2	英國各地連日備戰益亟加準備動員工商業以充份物質助英國
page 2	波蘭民眾情緒異常興奮決定在未來戰爭中發揮百折不撓精神
page 2	柏林戰爭空氣極度緊張德報繼續宣佈排波勸令德僑即日離英
page 2	法軍事總動員積極進行邊界各地大軍雲集人數將達到二百萬
page 2	英波互助協定在英簽字詳列兩國互助條件承認春間臨時協定
page 2	庇能兩日人懷有地圖被拘
page 2	日知友邦難靠求和益急德臣西報廿六日上海電
page 2	丹寧堡慶祝會突告取銷此會原定今日舉行希氏且有重要演說
page 2	德波邊境發生衝突
page 2	比已實行局部動員
page 2	美人多數反對參戰
page 2	印度人民為英支撐
page 2	遠東德輪赴岷尼拉
page 2	土必堅守條約義務
page 2	巴黎證券市價回漲
page 2	德機一架被波擊落
page 2	意後備兵奉令歸隊
page 2	波願接受和平勸告羅斯福再電勸希特勒希特勒與英大使曾作秘密會談漢德森攜有和平提案飛返倫敦
page 3	黃金價格高漲英金鎊價下跌英政府決取放任政策以備戰時保存其資源
page 3	張余李三長官發表敬告吾粵同胞書全文三勉國人澈底抗戰發取勝利
page 3	英庚款留英生考試揭曉取錄二十四名
page 3	貨運戰事保險增加保費
page 3	冀境我軍克復小樵
page 3	潮汕方面我收復海蓮山神岡方面我軍亦得手
page 3	英法軍事代表辭行返國
page 3	桂省委黃薊病逝
page 3	陽新西南要地為我收復
page 3	教師節與孔子誕分別舉行
page 3	時報經理王季魯遇刺重傷
page 3	蘇外委長擬赴德國訪問
page 3	我軍控制杭垣
page 3	華北水災之餘又受蝗災威脅
page 3	斯達林赴高加索休假
page 3	滬工部局設法疏通米源米價已趨回跌
page 3	蔣委員長邀見尼赫魯
page 3	擬將暹羅華僑移居西南各省僑委會之計劃得龍主席同情
page 3	英政府照會郭泰祺決將津案四華人引渡我政府要求將四華人移交華當局英表示願隨時與日政府恢復談判
page 3	國府明令嚴緝周佛海陳璧君
page 3	日放棄原定對歐政策對英態度已趨和緩歐洲如有戰事日必守中立現企圖早日結束中日戰事
page 4	港府財政報告去月盈　卅餘萬元
page 4	衛生局之議案
page 4	港大修訂校章
page 4	血案定期公審
page 4	今日為教師節教育界將開紀念會
page 4	難童學校擴充男女校現共八間
page 4	女新運會年報
page 4	聖約翰救傷隊年報防空　護班成績甚佳去年訓　格　　千餘人贈　治症統計十餘萬宗
page 5	梅沙私梟與Ｘ血戰
page 5	海陸空軍犯沙魚涌
page 5	匪徒洗劫黃松崗鄉
page 5	偽組織在南頭出現
page 5	港惠交通昨已斷絕
page 5	嶺東我軍反攻復入海蓮山進圍彩塘我空軍轟筆架山等Ｘ陣
page 5	河南郊突擊隊襲攻大塘鄉Ｘ隊部
page 5	粵改善役政已定整個計劃
page 5	中央通令速辦強民工廠
page 5	容奇Ｘ軍全撤不確沙頭糖廠Ｘ軍撤退調赴江門增援沙頭已無Ｘ蹤
page 5	我反攻江會軍事進展神速睦洲大部Ｘ艦亦撤赴增援中山沿岸最近Ｘ情一瞥
page 5	江會戰況我推進神速
page 5	睦洲之Ｘ已準備全撤
page 5	三江睦洲之戰情補詳
page 5	中山沿海之最近情況
page 5	粵南當局急亟備戰情形召集全體軍民準備應戰各縣壯丁奉命歸隊待命舉行檢閱及戰鬥大演習
page 5	加緊拆卸城池碉堡
page 5	妥籌戰時兵役補充
page 5	擴大推行精神動員
page 5	緊急召集壯丁歸隊
page 5	Ｘ開始進侵惠陽昨在大亞灣登陸攻陷沙魚湧港惠交通昨已斷絕偽組織在南頭出現
page 6	頻窺沿岸
page 6	加緊防範
page 6	陽江電白
page 6	星夜疏散
page 6	民間交出存金省府頒獎勵辦法
page 6	江佛路我團隊水陸並進襲江Ｘ營兩輛Ｘ軍車在水藤木橋相撞
page 6	中山公佈調整銅元攜銅元出口不得逾一百枚
page 6	韶公務員眷屬三期疏散
page 6	一區專署佈告禁柴什糧出口
page 6	雷州半島形勢緊張當局已不令戒備人心　奮潿洲島Ｘ機增加飛襲各地Ｘ母艦駛離潿洲轉泊臨高
page 7	各區組街坊自衛團
page 7	空軍加緊夜航訓練
page 7	義勇軍決擴大組織
page 7	官立學校延期開課
page 7	救傷總監打銷辭意
page 7	增調印兵二萬來港
page 7	徵募蚊帳運動又募得二千餘元
page 7	嘉屬賑濟委會昨已正式成立
page 7	藥商與果販獻金昨已匯出
page 7	防疫法令昨取銷赴澳輪客擠擁座滿折回者不下三四百人德意領事否認令僑民撤退
page 7	戰雲瀰漫中全港華人紳商明日開時局座談會領導僑胞應付目前環境港府仍積極作防衛準備
page 8	檢查郵件電報
page 8	嚴禁　壞交通
page 8	檢查官之報告
page 8	負責檢查人員
page 8	違例當受處分
page 8	摩星嶺操砲市民　砲聲不必驚恐
page 8	各大銀行延長工作時間
page 8	今日足球義賽東方迎戰港聯下午五時半假香港會舉行義賽前先來一幕乙組戰事
page 8	記者水運會昨日舉行成績甚佳報際接力及渡海泳競爭最烈
page 8	又破獲一賭局
page 8	霍亂症未消滅菲政府不允取銷防疫法令
page 8	孔聖誕與教師節
page 8	知用校在港招生
page 8	國際棒球第二戰大中華今逢美利堅昨賽出冷門葡軍竟告慘敗
page 8	港政府昨頒布法令嚴密檢查郵件電報藉防散播謠言及不利本港通訊電報禁用密碼發電人須署姓名
