page 2	我對於粵局變化的感想五
page 3	昨瀛臺會議無具體調停辦法公府繼議電戰線外各省對戰事守中立
page 3	皖豫魯聯防蘇皖將捲入漩渦
page 3	戰訊多離奇據外報消息中東兩路將有劇戰現方調集大兵
page 3	直攻黃村奉第二梯隊將不支後大援到直急退奉仍佔長辛直退良鄉西守琉璃河
page 3	奉方戰訊奉軍克復竇店吳佩孚王承斌均陣亡張作霖給賞五十萬
page 3	二日午至三日晨長辛店方面無砲聲則直退當確但吳佩孚王承斌死訊恐不確實
page 3	馮玉祥所部十一師二日起加入戰爭直再攻固安此處為奉直死爭地點奉得可搗　州後面陷保定孤立直得可北攻豐台南扼落岱將來大決勝負必在此
page 3	奉佔天津故近日消息多奉方戰訊直僻在內地宣傳極難
page 3	熱河奉軍廿八師由通縣南下加入攻中路
page 3	京接吳佩孚通告近京不作戰雖勝不入城
page 3	鍾世銘接張作霖急電限廿四時發餉一百廿萬鍾覆部空難發
page 3	奉方前訊吳佩孚第三師被俘不確祇馬廠俘直軍三十餘人送軍糧城收容此方戰極烈迭勝迭敗將及十次今仍未停止
page 3	直增任邱兵奉亦由軍糧城派大兵赴援馬廠
page 3	海軍部電各艦隊勿加人戰事
page 3	奉軍在山海關高壘架砲防艦隊襲毀京奉路
page 3	保定兵變已靖
page 3	王汝勤電吳佩孚告奮勇率八師援直
page 3	吳佩孚日需子彈四十萬由漢陽鞏縣兩兵工廠趕製輸送
page 3	漢廠助陳光遠贛防槍二千彈十萬
page 3	重慶但懋辛電劉湘陳樹藩部餓將變請酌量接濟免致禍川
page 3	二日三日間長辛店無戰致京傳雙方已允遵令停戰實不確
page 3	張作霖曾電覆徐世昌如曹錕吳佩孚遵令霖亦凜遵話雖如此實未停戰
page 3	助直豫軍數營不戰而降因此直長辛店失利張作霖謂毅軍全附奉即指此
page 3	張作霖大本營仍高唱吳佩孚死訊
page 3	駐滬某銀行亦接葉恭綽專電吳佩孚陣亡駐滬各領事電訊則均未徵實但二日之役直長辛敗訊已確二日下午四時雙方各少　二日夜三日再劇戰但結果未悉
page 3	京訊一二兩日奉雖勝傷亡甚多
page 3	曹錕電徐世昌謂由張作霖
page 3	備與直系締結和約但曹錕不答覆故伊以曹錕已袒助吳佩孚然苟吳曹預備停止戰事則伊亦願聽從命令等語
page 3	二十九日下午四時奉軍轉攻勢是晚佔領良鄉直軍退至蛇里山南方二十里同是津浦線方面直軍大獲勝利確已佔領青縣
page 3	由三十日下午到夜間有在長辛店方面視察者據其所談謂奉軍暫編第一師及第九混成旅在長辛店前方一千米突之高地排列大砲由下午二時又復開始野砲戰在長辛店北方之第十九師及在最北　之第十八師均已開始活動長辛店尚有砲兵三大隊未赴戰線奉軍後援隊陸續開到蘆溝橋綜觀該方面之奉軍軍械子彈糧食極形豐富兵力復占優勢蘆溝橋居民老弱婦女概已遷避　未避去者仍如常安居營業直軍則在距奉軍先鋒隊三千米突之處二十九日之役奉軍暫退至蘆溝橋之報告乃係誤傳云
page 3	一日下午三時開始砲戰至夜不輟十時降雨砲聲隆隆二日晨雨晴砲聲仍未停歇
page 3	奉軍總司令部公佈二十日長辛店方面之戰第拾三混成旅長董政國中流彈陣亡奉軍死傷二百直軍則損失三四百奉軍並俘獲直軍兩營
page 3	北伐聲中之使命往來
page 3	許黃定期赴韶
page 3	海軍分隊說不
page 3	三誌任命海軍人員之內幕
page 3	理貨員要求已解決
page 3	風報
page 3	銀價
page 3	定例局員之候補者
page 3	傳染症報告
page 3	濱角宣佈香港為傳染埠
page 3	庇澳頓輪船已試　
page 3	網球比賽
page 6	陳納
page 6	契稅繳納紙幣之說明
page 6	改發小紙幣之呈報
page 6	吳鐵城請派兵接防屬境
page 6	軍醫處長員始終未散
page 6	瑣聞一束
page 6	收回威海衛　員會
page 6	勞工要求日軍撤退西伯利亞續聞
page 6	承認俄國
page 6	美國之僑民條例
page 7	再誌各要人勸陳炯明返省之情形
page 7	孫氏就職紀念一律要賀
page 7	屬官研究所改隸陸
page 7	各校學生之巡遊忙
page 7	挽留陳炯明電彙錄續
page 7	葉楊兩軍之行蹤
page 7	派員運送葉軍伙食
page 7	韶城各界之請願書因軍隊強駐民房商店
page 7	破獲私鑄機關
page 7	銀號又將現金銀毫寄有沙面
page 7	禁用銀毫之地點
page 7	孫氏就職紀念之慶祝預聞
