page 2	十一條協約撤銷案果　提出太會耶
page 3	張作霖曹錕聯請取消張敬堯通緝案聞將照
page 3	張作霖允助留法儉學會學生費十萬元
page 3	吳佩孚對魯案將有重要表示現徵求各方意見
page 3	張作霖進京未邀靳雲鵬同車靳於十五日午刻自行回京即列席閣　
page 3	交通部長過渡辦法初擬徐世章代理徐不允擬由劉恩溥暫
page 3	財政部借到八萬元發給十月薪　
page 3	張作霖謁見徐世昌約談話至一名鐘但未及蒙事
page 3	中日代表十五日續議交還膠濟鐵路仍未決日代表須候日政府覆電十六日華代表提出二十一條協約撤廢案用英語在英美日三國代表前提出理由甚為充足各代表咸動容惟　代表仍支吾不答
page 3	高淩霨謁見張作霖張囑高勉為其難放膽做去余必幫忙惟張志潭謁見張作霖張僅問你好兩字並無他語料張志潭勢必下台張保葉恭綽或朱啟鈐繼任曹錕則保張弧徐世昌言張弧亦好但須戒賭否則鐵路款項不足供其孤注之一擲
page 3	外蒙政府三次召集四盟旂會議各盟旗無一應召
page 3	張作霖對汪士元極不滿意恐煙酒稅督辦將另簡人員接充
page 3	北京某報謠傳王寵惠自殺外交部謂連援美京電均有王名嚴飭某報更正
page 3	華代表宣言魯案如不決當提交太會公判
page 3	靳雲鵬在天津咯血現尚未痊愈
page 3	英日法美四國協約拒絕中國加入但允將來再訂九國協約時中國始可參加
page 3	張作霖於十五日查閱交行　
page 3	北京八校因乏款支應又擬罷課
page 3	曹銳擬盡提直省鹽稅外交團大憤宣言曹銳如實行將派洋兵監守鹽倉禁阻輸運
page 3	靳雲鵬已回京表示維持張志潭地位惟張志潭託秦華疏通張作霖無效
page 3	葉恭綽繼任中行總裁藉以實行中交兩行合併議
page 3	廢止二十一條協約案巳提出華會
page 3	趕造預決算案近聞
page 3	裁撤　海艦員
page 3	酒樓茶室禁用女招待已實行
page 3	小錢債案
page 3	船政署案
page 3	聖雲仙會售玩具
page 3	比賽和利波獲獎
page 3	旅港樵僑請將黃金黃廣正法
page 3	飛髮工人停夜市續聞
page 3	籌撥留學生經費
page 3	徵收建築費將實行
page 3	省議員催領公旅費之焦急
page 6	來函論青年會起租事
page 6	青年會會長解釋加租
page 6	影畫誌
page 6	德國無力賠款
page 6	愛爾蘭問題
page 6	南洋荷屬借債
page 6	星洲公債募過額
page 6	印度小靖
page 7	番禺公民抵抗非法選舉這宣言
page 7	開邑盜賊猖獗如虎
page 7	擊散慶遠等處之大王元帥
page 7	管獄員誘姦囚婦
page 7	三續市公安局調查戶口規程
page 7	催款清理軍政欠費
page 7	第　師之裁兵
page 7	福軍請暫緩裁遣
page 7	木料鏡紐組工會
page 7	茂名管獄員被控
page 7	電車傷人案依法辦理
page 7	翁軍已赴開平
page 7	指定南番為第　師防區
page 7	收編廣西邊防軍
page 7	棉價日漲
page 7	絲價飛漲
page 7	女子解放聲中之趣聞
page 7	順德霞石團紳請緝匪
page 7	江門又歡迎凱旋軍
page 7	請取銷梧州三島捐
page 7	各縣用人多瞻徇情面
page 7	大沙頭工程請繼續興工
page 7	開投旗產
page 7	有成航業公司來函略錄
page 7	瑣聞一束
page 9	中日交涉之秘密三續前駐華美使芮恩施秘記
page 9	控工會出遊阻街案注消
page 9	賣金錢炮亦違例
page 9	僱挑大者宜慎
page 9	引渡著匪
page 9	中國郵船航業近訊
page 9	軍火案
page 9	印人軍火及私煙案
page 9	被控偷煤
page 9	被控瞞騙水腳
page 9	南華比賽足球
page 9	青年會名人演講
page 9	青年會第十四屆週歲大運動
page 12	決商會請緩　舖底條
page 12	陳省長獎勵華僑教育界
page 12	京政府反對葡粵直接交涉
page 12	公佈學校年假期
page 12	醴　兵災勸募啟
page 12	請撤銷監督善款
page 12	廣西柳州之近狀
page 12	商會聯合選出長董
page 12	鄒魯覆梧州鹽商公會電
page 12	桂省米禁問題已解決
page 12	四邑聯防　說復活
page 12	車夫設會不立案
page 12	欽廉留省同人之會議
page 12	姘婦被刺
page 12	雜役組織工會
page 12	和尚要拆寺門
