page 1	德蘇瓜分波蘭後之歐戰
page 2	德施重炮轟擊華沙同時又有德機多架向城內投巨量炸彈
page 2	德軍陸續調往西線西線各地俱有砲戰法軍迫近薩爾省會
page 2	英政府發表白皮書列舉歐洲六個月來時局發生變化經過
page 2	法軍六百萬集中指定地點倍立廈在法檢閱英軍
page 2	晉南我軍克清華鎮晉北興縣以東日軍肅清
page 2	希特勒視察但澤口外炮台又往奧士浩愛夫與戈林將軍會面
page 2	廣州外圍之戰相持半月我軍卒獲勝利克復花縣平岡福和等地
page 2	每
page 2	該
page 2	有
page 2	英
page 2	華北排英運動現尚未見和緩豫偽政府強佔福公司煤礦
page 2	德改變宣傳政策開始攻擊法國製造許多不利法國宣傳
page 2	王寵惠否認中日談判和平無論國際環境如何變化中國亦不能與日本言和
page 2	劃分波蘭問題蘇德已成立臨時協定傳德允蘇要求成立一波蘭政府德軍開到波匈邊境對匈國威脅
page 3	兇徒十一人被處決
page 3	羅馬尼亞新閣成立
page 3	委座兼理川政川省萬民騰歡鄧錫侯賀國光發表談話表示竭誠擁護鞏固國基
page 3	英政府決澈底阻止私人圖利關於物價統制尚有數種困難仍有少數份子利用機會圖利
page 3	法總理痛斥希特勒分化英法陰謀法已決心應戰務求勝利英法友誼決不受人分化
page 3	波蘭各地有游擊隊活動德須滯留重兵於東線西線方面將有主力戰
page 3	蘇聯將來必照常助我國蒙滿邊界休戰協定對于 國無大影響
page 3	國府明令公佈各縣級組織綱要二
page 3	華僑四百名助法參戰
page 3	蘇聯大使將赴滬說不確
page 3	美國會開會羅斯福提議修改中立法勿以信用借款供給交戰國購買美國貨必須現購自運
page 3	波總統及外長被羅政府拘禁英曾設法使兩氏赴英法但羅 政府未允英方要求
page 3	日方所提改組鼓浪嶼公共租界行政機構折衷建議業經公共租界工部局通過兩方決於短期間舉行談判
page 3	新會我軍告捷克復學堂山石帽峰等據點我進擊江山三埠航運恢復
page 3	駐滬英美意日軍事代表再討論租界駐防問題但結果尚未有所決定
page 3	贛北我軍克復高安乘勝追擊鄂南通城展開劇烈爭奪戰湘北新牆河北岸再挫日軍
page 3	德反納粹秘密電台播反納粹消息
page 3	法西斯恐怖下羅首相突被兇徒刺斃侵波德軍煽動羅國人叛變羅皇召集緊急會議謀應付
page 5	犯歧日軍陸續退卻
page 5	大王頭日我僅對峙
page 5	大環小隱半成焦土
page 5	當局繼續策動民眾
page 5	昨日日機經過石岐
page 5	江會我軍推進神速
page 5	桂　附近團隊截　日運糧艇
page 5	日機昨出現於深圳保護傀儡會議
page 5	省黨部令各縣切實利用淪陷區人物力應嚴厲剷除漢奸竭力救濟難民建立經濟游擊隊嚴防物質外流
page 5	粵省嚴密緝私之佈置全省設三分處五區廿二分所惠淡交界截獲大批走私木油
page 5	粵鹽銷桂征坐配稅
page 5	中央修訂集會口號省黨部飭屬遵照
page 5	中正學校已在始興恢復
page 5	各縣市新運會重新調整
page 5	韶關設處　行民眾服務實驗
page 5	廣東省府改善自衛團增加薪額提高待遇
page 5	我機隊轟炸石龍日軍炮陣
page 5	江會方面戰情另誌新開線之拉鋸戰蓮塘得失凡數次我加緊撲攻會城
page 5	河源防軍清剿桂山土匪
page 5	聖嬰校節食濟難民
page 5	靈山防軍槍決漢奸
page 5	圖犯石岐日軍已陸續退卻石岐已取銷禁止人口入境令岐關路照常行車交通恢復
page 7	九時一刻發出警報
page 7	防空人員全體出動
page 7	防空官員淩空視察
page 7	燈火管制達四小時
page 7	印兵居民發生糾紛
page 7	機鎗猛射登陸敵軍
page 7	秋季特別賽馬今日開始舉行最熱鬧為第八場帆船灣讓賽參加名駒廿三匹名騎士亦多
page 7	本港華人銀號買賣外幣辦法領有找換脾照者可兌換外幣普通銀號售賣國幣須行先登記
page 7	中國文協會召開理事會議
page 7	昨晚防空演習之認真全港海陸空軍總動員消防救護人員參加者逾萬人燈火管制達四小時成績極佳防空專員淩空視察亦認滿意
page 8	中華書局請法庭令解僱工人遷出外寓工人代表陳述不去之理由官以約期已滿令月內遷出
page 8	鴨寮街刺殺案昨判決被告李蘇處徒刑十四年
page 8	越南華僑亦組織自衛國
page 8	近衛並未來港輔政司之談話
page 8	禮和洋行司理史密昨被 扣留
page 8	浙省府籲請捐助藥物
page 8	王正廷杜月笙昨日赴渝公幹
page 8	簡琴齋藝展會學術界踴躍往觀
page 8	梁定慧等南渡為國宣傳
page 8	上水南邊村三賊劫兩住戶掠財物共值三千餘元
page 8	兩泳場週年水運大會南華今夕最後決賽華人今日開始舉行
page 8	海河足球聯隊今日出戰華聯下午五時交鋒于香港會乙組友誼賽東方對國際
page 8	南華體育會召開同人大會
page 8	　情報部長抵港談美決不坐視英法失利縱犧牲人力物力亦必予以援助蘇聯軍開入波蘭純係自衛舉動
