page 1	日本對美的最後試探
page 2	　外　抵德柏林準　盛大歡迎
page 2	美蘇談判繼續希望合作援華制日
page 2	德空軍閃電攻斷難獲得對英決勝
page 2	韋爾基主張共和黨仍為主義掙扎使成為一有力在野政黨提出五項意見改革內政
page 2	美國南部發生風災五村落被吹毀
page 2	法當局否認戴古辭職
page 2	英報評莫此行難改蘇聯根本政策
page 2	堅尼地辦正談話地　報所載被談話多　止確　不負責
page 2	西園寺公健康可慮
page 2	羅總理赴意聘問
page 2	愛爾蘭將下令限制煤炭消費
page 2	英倫上空劇戰德意機被擊毀廿六架意飛行員五名被俘虜
page 2	美將在新芬蘭建築海空軍根據地建設工程不久可完成必要時現在亦可使用
page 2	伊利沙伯皇后號參加戰時工作
page 2	德曾在墨西哥煽動叛變已被當局破獲
page 2	維士政府內部不穩魏剛不肯回法自由法軍攻陷加蓬北非法屬反對降德
page 2	畢德門遺體定期下葬外　會主席一職傳將由　治繼任
page 2	意統卹改變戰略撤回伊比拉斯線主力准　另　新軍略以進攻雅典　遜將任哥加戰區總指揮
page 2	滬一台人被害
page 2	羅國地震震源已被發現
page 2	二特區法院開庭九名法官不到不能理審案件
page 2	莫洛托夫昨晨抵柏林意外想忽爽約不到納粹領袖親到機場熱烈歡迎莫即入謁希特勒雙方作長談
page 3	日美關係無法改善松崗　美志在試探
page 3	晉南我軍告捷汾陽靈石日軍發生恐慌豫北平漢沿線戰況仍烈
page 3	英政府報告中東軍事現狀英防軍力量已達理想目的決盡力保持埃及援助希臘
page 3	日機飛邕轟炸損失甚微上月雲大被炸損失約百餘萬
page 3	滬日軍一日兵擊傷日軍官
page 3	黔省推廣植棉
page 3	南寧秩序漸告恢復電燈水廠未遭破壞逃避居民陸續回城
page 3	埃及國會將討論對意宣戰問題加拉沙方面仍有戰事巴力斯坦等地變化
page 3	滬晨報評論南愛爾蘭中立愛　安全靠英海軍若不覺悟必貽後悔
page 3	沈鴻烈視察各地工廠
page 3	奸商囤積操縱滬米價又飛漲每扣達九十餘元
page 3	港越郵運已告停頓改由岷尼拉轉逆
page 3	低級人員提高待遇國防最高會議通過
page 3	教部通令各地提倡音樂活動
page 3	川紳續獻軍糧
page 3	閩參政已選出
page 3	滬外僑開會紀念歐戰和平
page 3	陸相艾登廣播激勵中東英軍
page 3	美注意日軍動向傳日軍圖佔西貢美海長主張擴編強大航空隊松崗訪美消息美官方極冷淡
page 5	日軍增援向我反撲
page 5	防城日軍掃數撤退
page 5	高雷疏散人口物資
page 5	粵西鹽務管理局嚴禁鹽店遷地營業粵北鹽價已略低跌
page 5	准予進口物品
page 5	日大搜河南內涌船艇指船艇屯儲大批軍實
page 5	嶺東各縣晚造豐收興梅米價回跌治安寧謐各縣婦運蓬勃情況甚佳
page 5	新鶴路炮戰日艦擾銀洲湖我炸燬岡州路橋樑
page 5	曲江稅收激增
page 5	僧人捐產興學
page 5	珠江河面日軍運仍忙虎門日艦四艘戒備甚嚴
page 5	國府令各省改進政務整飭紀綱禁絕貪污取締營利厲行工作計劃嚴禁奢侈等弊
page 5	我軍克復欽縣城日軍增援反撲重起血戰欽城至金雞塘鐵路經已破壞防城企沙白龍尾日軍亦撤退
page 6	第一七七次省務會議要案地稅照地價增加一倍課征小工業貸款辦法修正通過
page 6	小工業貸款
page 6	收支概算書
page 6	中順沙田稅
page 6	港韶道上寫真
page 6	粵設農田水利貸款會建財廳長及四行代表組織委會現在積極籌備中不日即可成立
page 6	臨時地稅案
page 6	北江運輸所
page 6	保安團隊協助農民冬耕
page 6	粵參議會審查提案大會定十四日結束
page 6	桂米湘米陸續運到台開米價日趨低跌台山定購湘米廿餘萬元一區禁碾精米及飼雞鴨
page 6	台山疏散獄囚避免日機空襲
page 6	深圳日軍戒嚴三天各堡壘軍用品遷往南頭無線電台電話盡行拆除他遷各線盛傳日軍準備退出寶安
page 7	移民法例各界如有建議可呈交華人代表市民咸認領證手續費徵收過昂
page 7	蓮香茶樓茶客跳樓慘死飲食一頓不作餓鬼
page 7	瑪利兵房側合昌木園火警軍警出動維持秩序僅焚去一部份木料
page 7	字花師爺又有兩個被解出境
page 7	是月份刑名案定十六日開審
page 7	越突禁米出口小廣東輪亦停止開越因航行條約發生問題
page 7	暹羅米石源源運港
page 7	小廣東輪突停赴越
page 7	難民工　社定期開展覽會
page 7	世途艱險接客艇竟窩匪作惡專在港內誘劫歸僑艇至中途即持械勒索靳而不與生命亦難保
page 8	到會人物
page 8	致開會詞
page 8	紀念意義
page 8	滬英僑赴星請纓不遂港海軍部收容兩名
page 8	冒認胡文虎子少年棍騙傭婦謂教徒代人做事必需按金藉口介紹職業騙金飾現款
page 8	討論事項
page 8	報告事項
page 8	崇正總會會議舉胡文虎為學務部主任
page 8	罌花節售花是年成績將創新紀錄
page 8	商店中搜獲一批軍械該店老板被警傳訊
page 8	各僑團學校慶祝孫中山先生誕辰高廷　演講慶祝意義極動聽力舉孫先生功業勗吾人努力
page 10	足球總會今日召開會議討論督憲杯初賽地點
page 10	岷甸奴籃球隊明晚出戰中青各路人選排定
page 10	催業主收租
page 10	昨日止截報名今日召開會議
page 11	遠東直布羅陀
page 11	美國陸大
page 11	日本人在內蒙
