page 2	恢復舊國會
page 3	某公使語　濼　非作戰地且違辛丑條約如奉軍久據直不速勦各國自有相當對待並言鐵路係奉軍所拆北海軍砲毀
page 3	張作霖電公使團自五月壹日起東省獨立
page 3	徐世昌十五日令張景惠免察哈爾都統由譚慶林暫護
page 3	津訊孫烈臣吳俊陞曾入關勸張作霖返奉以圖恢復張作霖謂寧死不歸並囑孫烈臣吳俊陞籌備後援
page 3	外訊曹錕吳佩孚擬聯合各督發表重要宣言政局或生變化
page 3	王士珍以曹錕吳佩孚及各督雖電擁組閣但徐世昌地位
page 3	與舊國會有關恐有政潮須徐表白方敢就職
page 3	吳佩孚電伍廷芳陳炯明劉湘唐繼堯趙恒惕劉顯世及北方各省徵求統一意見並囑魯田中玉間接請段祺瑞贊助聞有數省電覆贊成恢復舊國會主張惟浙盧永祥尚無表示
page 3	徐世昌對張作霖孫文主和平解決擬聯合界　謀統一聞已派人疏通黎元洪段祺瑞
page 3	聞唐由奉直兩軍已激戰奉　昌黎設大本營吳佩孚電王承斌奮擊並擬十七日赴軍糧城督戰又令海軍　直軍聯絡斷奉後路
page 3	灤州礦務公　英　提議　張作霖三十六小時出關聞張作霖因反攻無效似首肯
page 3	汪榮寶有　就駐日公使訊
page 3	豫省長張鳳台　辭職
page 3	聞曹錕　保蔭鎮冰入閣杜錫珪督閩
page 3	省報忽然停工　天之原因
page 3	又電有魚販四百家因反對魚欄號新　價格已聯同罷工至傢具工人罷工現牽運　壹千五百名
page 3	　蔑西報十　號上海等電美艦荷倫號　水兵水　名　期日由北方抵上海將於星期四　赴小呂　　　北方戰險已除是以南返
page 3	五月十五號北京電張作霖宣佈滿洲獨立北京　常注意尤以顧及張與保斯域之疏遠交誼為最注目緣滿洲獨立而即以日本在甘士察加沿海各省形勢幾　俄蘇維埃隔斷使與沿海及遠東不相通此外近　中政府似　和平方法圖收復外蒙今則和平方法勢難成功是非先將張作霖制服則雖期俄軍撤退
page 3	唐山人民紛紛避難來津
page 3	馮玉祥接豫督後趙倜提出條件一保護個人私財二退職軍官不究三豫軍全留不得歧待馮電曹錕呈佩孚請示　吳亦只允罪趙傑餘不究
page 3	贛陳　遠　李烈鈞圍攻贛南甚急電蕭耀南乞援蕭允派兵協防
page 3	鍾世銘辭代財長已准擬王克敏繼任
page 3	　定電訊曹錕吳佩孚派員迎王家襄吳景濂赴保商復舊國會　續
page 3	銀行界反對京政府擬發善後公債四　兆
page 3	鍾景棠軍隊忽然到省城
page 3	　　軍拉伕
page 3	派軍警保護鹽商
page 3	粵路貨腳紙銀各半
page 3	兵工廠工人獨蒙優待
page 3	馬君武　途被匪截擊之　說
page 3	縣署馬省長乘大連陞在中途遇
page 3	知事借款
page 3	陳炳生被解出境
page 3	海員在梧州組織　　公司
page 3	南寧輪撞沉貨艇之西訊
page 3	辦法故必佈舉　會議後工
page 6	陳炯明
page 6	查對葉梁住宅
page 6	小輪船加工事仍未解決
page 6	張欣生毒父案仍處死刑
page 6	　不明
page 6	鍾世銘已　看管
page 6	又有命案兩宗
page 6	銀價
page 6	傳染症報告
page 6	承投官地
page 6	　書誌謝
page 6	劫案
page 6	被控放白鴿
page 6	影畫誌
page 6	周豐年演新劇
page 6	車夫被罰
page 6	偷衫被拘
page 6	煙案
page 6	深水灣謀殺案
page 6	研究監犯斃命原因
page 7	粵路同人會　立案
page 7	高審廳長辭職說不確
page 7	海防司令辭職續聞
page 7	省報述馬君武遇險情形
page 7	第二師一部份出發赴雄
page 7	維持紙幣之報告
page 7	軍餉搭發給銅圓
page 7	拿獲強換紙幣之軍人
page 7	省署擬再派員監查省　收支
page 7	陳炯明回家省母
page 7	令粵路日夜備車運軍實
page 7	第　師人員之更動
page 7	中央兵站守備隊開拔
page 7	衛戍　令捉拿滋事　工
page 7	軍人搶掠行人
page 7	西潦將至之情形
page 7	河南附近之賊匪猖獗
page 7	日諾雅會議
page 7	西利斯亞問題解決
page 7	土耳其之殘殺
page 7	瑣聞一束
page 7	　箱行之呈批
page 7	請免　惠陽鐵鍋　交議
page 7	衛戍總司令部之組織
