page 1	日本頹勢已益顯露
page 2	美海軍力量雄厚
page 2	東戰場我軍展開猛烈反攻渡過錢江向北推進諸暨日軍完全肅清
page 2	我軍突襲潛江城郊天門東南發生激戰
page 2	泰越邊境開勢緊張法軍趕築砲壘軍隊秘密調動
page 2	日軍一批抵海防將轉瓊島
page 2	法租界電車工潮告一段落
page 2	豫北戰況激烈
page 2	顧翊　談戰時農業措施
page 2	上海一美籍人被控　設賭館
page 2	爪哇僑胞捐助大批奎寧
page 2	加拿大積極擴充海軍
page 2	瑞典在美定機被美政府徵用共一百一十架傳運往菲律濱
page 2	魏剛飛抵非斯檢閱當地防軍
page 2	滇緬路雖被炸照常維持交通
page 2	太平場日軍傷亡慘重
page 2	西沙漠英軍防守力量增強料意軍不久下令進攻意機連日攝英軍陣地
page 2	英人以勇敢態度抵抗德空軍之襲擊英人希望建設一新國家德機愈炸擊英國愈堅強
page 2	柔佛閩僑回國墾荒
page 2	日軍在滬西施行戒備
page 2	美調整太平洋艦隊準備應付緊急事變美菲討論共同防衛遠東問題
page 3	德圖煽法參戰已被貝當拒絕希特勒與賴伐爾會議無結果
page 3	土南保英公使會議完畢料巴爾幹局勢尚無重要變化
page 3	德意日同盟又有秘密條款英美在遠東堅決態度已使日失去主動地位
page 3	美國天空砲台似有運英模樣
page 3	立即宣告斷絕盧森堡國會被德解散
page 3	日已決放棄海狗魚權盟約英美蘇三國應另訂新約
page 3	比首相抵倫敦
page 3	墨國追隨美後禁止油鐵運日日與墨政府商購油田此項談判恐難成事實
page 3	哥立芝總統輪昨晨抵滬途中遭遇暴風搭客傷者數十
page 3	加總督訪美完竣昨返抵奧太華
page 3	卑詞厚禮者詐也
page 3	法國拒絕參戰
page 3	駐倫敦美大使乘機返美
page 3	華爾街視察羅斯福可獲選
page 3	巡視法屬赤道非洲所到之處備受當地人士歡迎土酋遠道而來歡迎表示忠誠
page 3	美僑回國旅費價目問題美當局　各公司商　未　大為減低
page 3	德意西三國長官將在西班牙會議德意兩外長將到西國促西與德意加緊合作
page 5	省府會議通過各縣增辦公費潮安等縣增加囚糧從化龍門鶴山易長
page 5	選派新制委員
page 5	囚糧審查意見
page 5	助參議員旅費
page 5	內部獎勵生育會全文生兒女四人以上者給獎
page 5	安籐突然調職之原因後宮淳已抵滬向西尾請示
page 5	大滄沙河面炸沉日艇日兵四名炸斃
page 5	粵府飭令修築沙淡道路並增築防空壕
page 5	粵農局長劉榮基談粵糧食明年可望解決本年擴大冬耕可增產九百萬擔已訂借千五百萬舉辦墾荒貸款
page 5	日軍在深圳佈置防空孫繩武又欲將南頭維持會改組南頭仍在封鎖中鄉民未敢返鄉
page 5	縣辦公費酌增
page 5	各縣追加概算
page 5	嶺東我軍大舉出擊連日襲潮安城郊戰事甚便衣隊混入汕市發生巷戰意溪再陷我援軍烈猛反攻
page 6	粵省驛運專辦米鹽營運辦法已在草擬中附運商品每扣卅五元
page 6	南海九江最近饑民慘狀
page 6	省振會籌設抽紗廠在港澳籌辦公司推銷貨品
page 6	第三批港僑抵韶
page 6	東江牛瘟蔓延牛隻死亡數千頭
page 6	三埠煙民竟注射嗎啡針當局加緊查禁
page 6	劉志陸之行蹤
page 6	桂禁銷奢侈品
page 6	防範以動宣傳辦法僑務會飭令僑胞遵照
page 6	調查反　宣傳情形
page 6	怎樣宣告僑眾認　反動宣傳
page 6	政府反動宣傳　法
page 6	我方工作人員態度
page 6	五工作報告六防範反軸宜
page 6	粵北我軍進襲新街進和攻入湯庄殲日甚眾並炸燬其工事日軍增兵反撲樂同亦被我軍擊退
page 7	程天圖勸僑胞回國投資興辦實業歐洲戰局日趨緊張各埠僑胞宜早為計
page 7	留營難民略增較前週增百一十一人
page 7	聯美機未抵港因風滯留檀香山
page 7	防癆會今會議
page 7	打比新馬繼續開投有兩匹售至八千元胡蝶之夫亦喜賽馬購得三十六號良駒
page 7	港澳商行名錄重編本將出版
page 7	難民被刺殞命兇手在逃未獲
page 7	商會今日會議討論組織保衛團事宜
page 7	港九各防空站今日試放警報
page 7	紅磡籌建義學
page 7	本年九個月內對外貿易統計出入口均較去年同期增加九月份亦較去年同日增進
page 7	模型飛機比賽改期正月舉行
page 7	司徒宗昨逝世遺骸即日安葬
page 7	本月廿九三十兩晚舉行大規模防空演習防空監理處昨公布演習辦法市民務須謹守法例免被重罰
page 8	三賊械劫深水　農戶借艇逃走兩賊被捕木店看更人被鎗傷
page 8	農人被劫
page 8	借艇逃走
page 8	兩賊被捕
page 8	空襲下的英國婦女能式一撰遠東情報局發
page 8	四個少女失蹤
page 8	誤殺礦工稽查員入獄法官痛斥被告擅用私刑
page 8	車輛失事統計上週死一人傷十五人
page 8	霍亂症未撲滅前日仍發生三宗
page 8	旅美僑胞捐資百萬作粵省難民墾殖基金對各省礦業尤關懷多擬回國投資開發
page 8	駱克道械劫案法庭昨日提審
page 8	警探搜捕歹徒捕獲疑犯　人
page 8	學界贈旗成績可望籌得萬元
page 8	偽幣案昨判決被告無罪釋放
page 8	越南局勢和緩港灣線英輪奉令復航德忌利士公司有一輪開行港商持穩健態度多未敢付貨
page 10	罌花節義賽港聯陣容選出首場由中西記者對全港球證傅利沙革球籍陳光裕停一月
page 10	僑委會常委王棠勉同胞實行體育救國表演賽東方勇克僑星
page 10	九龍校際小型球各校踴躍參加報名已有千餘單位
page 10	足球友誼賽傑志戰勝海軍成績四比二
page 10	籃球聯會委員會議學籃決分三組下月開始報名議決舉辦女籃通過提案多項
page 10	李吳來港之謎今日輪船抵　方可揭曉
