page 1	經濟戰之擴大
page 2	連日贛北我軍進攻南昌外圍安義殘日狼狽東竄萬家埠一帶激戰中
page 2	日反戰　潮成行動化
page 2	賀汪特使阿部抵寧褚逆等歡迎
page 2	回族械鬥潮情勢嚴重連日死傷達百餘人
page 2	天津問題談判行將結束英日將簽協定
page 2	開戰以來英艦損失不大德艦蒙重大損失難以恢復英海軍建艦程序加速進行
page 2	淮陽日軍蠢動
page 2	五原之役五日軍官陣亡
page 2	英勞工總會主張各民主國聯會以對抗納粹主義
page 2	挪威輪船出入日本港口英國不願干涉
page 2	多腦河口意希兩輪誤撞兩輪擱淺航運受阻
page 2	北歐開戰以來德機損失慘重
page 2	瑞典漁船被德空軍掃射
page 2	澳洲煤礦工潮尚無解決希望
page 2	墨政府承認重慶政府正式照會中國使館
page 2	德空軍夜襲英倫東南海岸
page 2	日方活動費停給汪偽黨部將完全解體偽中央常會因內鬨久已不開
page 2	駐瑞美使館副武官被炸斃炸將要求德賠償
page 2	日機廿餘架分批犯川
page 2	我軍衝入開封青天白日旗高揚城上刻正掃蕩城內之殘餘
page 2	四六二次政院會議決議要案多項
page 2	晉南日軍全線崩潰晉東南戰事又緊張張茅大道東側戰事我極得手
page 3	東京大渴水務官向神求雨兩大水塘乾到底
page 3	挪威英德兩軍大量開到前線準備在漢馬附近作主力戰被德炮轟南蘇士港成焦土
page 3	傳英向日提議締結商約
page 3	英機大炸德軍機場
page 3	德在丹麥組織傀儡
page 3	德報公開攻擊挪王
page 3	侵挪德軍到處肆虐
page 3	德倫的英機場被炸
page 3	英挪軍隊攻挪威克
page 3	日本經濟恐慌政變一觸即發日人對現閣深表不滿望有魄力者出而組閣
page 3	意國報紙鼓吹國人備戰意是否參戰即可決定並極力攻擊英國政策
page 3	登陸英軍大有進展
page 3	巴黎西郊外捕獲共黨多人
page 3	挪奸肅清內部團結
page 3	海外歸鴻回教南洋訪問團報告在柔佛馬六甲活動之情形
page 3	美海軍大將多昔意見美日將來戰爭難免美應盡力保持中國領土主權完整並加強岷尼拉及關島之防禦設備
page 5	迭次發現反戰傳單
page 5	我軍在各線之佈置
page 5	赤灣海面日艦追擊漁船
page 5	三廠前山局部開放
page 5	中山偽縣長之問題
page 5	中央銀行設立韶關分行
page 5	日軍再圖打通西江
page 5	欽西戰事再爆發魚洪江兩岸戰情緊張欽東我軍積極反攻牛崗省府行署嚴密戰時通訊日艦集中瓊島以北海面
page 5	嚴辦擾亂治安官兵
page 5	奸商收集法幣轉換日軍用票第四戰區飭屬嚴查
page 5	台屬海面私梟拒捕與兵警激戰擊傷私梟三名捕獲四名船貨併獲貨價約值萬元
page 5	黃元彬抵韶接任建設廳長
page 5	總裁電粵考核受訓人員受訓回任者如有違法應加重嚴懲並准先予處置再行呈報毋稍寬徇
page 5	總裁原電
page 5	寶安各區行政將訂頒新綱領
page 5	省務會議通過改訂禁賭辦法賭案一律移送法院辦理
page 5	江會及順德日軍之反戰潮各線戰事暫趨沉寂中山前山等地昨已局部開放只准行人通過車船不准通行中山偽縣長未有上場之原因
page 6	粵省黨部黨務會議開幕以推　農運為討論中心
page 6	省府槍決漢奸得力人員獎五百元
page 6	寶安各界奸之通電
page 6	第五游擊縱隊司令飭各縣嚴防漢奸活動注意女侍行動禁公務員冶遊
page 6	脫險鄉民談日偽蹂躪古井慘狀
page 6	日軍反戰厭戰又獲有力證明
page 6	揭陽縣長呈請收回記功成命免咎已幸何功可言樹下避功古風猶在
page 6	各屬米價飛漲中粵當局設法救濟續訊撥款分配與　穀米接濟
page 7	李思浩報告
page 7	蔣夢麟赴昆明
page 7	戰稅徵收法案立法局明日提出三讀
page 7	孟祿博士回美司徒雷登同輪北上
page 7	賑聯會會議紀
page 7	丹輪所載貨物昨已在港起卸
page 7	紅　字會新會所開幕李思浩報告兩年來救難成績王正廷演講紅　字會歷史
page 8	三月份對外貿易統計出入口均較去年同　增加
page 8	嶺南大學今明舉行陸運
page 8	義學籲請緩施教育新例稟章昨已呈遞政府
page 8	請閨秀劇團義演籌賑婦女會昨議決
page 8	國醫館港事務處職員昨已就任
page 8	大坑難民營誤殺案法官詰死者轉院原因葉越芳林子威登堂作供審訊結果被告無罪獲釋
page 8	兒童遊戲場管委會之年報各遊戲場多須修理
page 8	姚錦新女士鋼琴獨奏會今晚在半島酒店舉行
page 8	少女墮海獲救
page 8	衛生局昨例會通過食物店法例修正案
page 8	法庭觀審者誤充陪審員因同名閩出笑話散堂時始　發覺
page 8	捐棍四出行騙又假冒住聯會名義
page 8	妻控丈夫私賣幼子罪名成立判入獄六月
page 8	救濟粵省米荒洋米進口免稅港僑趕辦米返鄉平糶
page 8	愛國藝人張超超歸國昨抵港將為各善團義演籌款在澳洲已籌得廿萬元
page 8	店伴送貨中途被搶顧客原來系
page 8	日軍騷擾下廣九路英段收入銳減去年度收入僅及前年三分之一華段全年停頓為有史以來僅見
page 10	東方征菲最後一戰淨勝喇郁聯隊三球今日乘飛剪號返港
page 10	東方菲島歸鴻
page 10	今夕女籃第三戰港星迎擊菲隊八時會師健身室閩僑昨歡宴客軍
