page 1	美國貸款與我
page 2	日機開始向滇緬路轟炸妄圖遮斷我國際通路滇緬路開放美人稱快
page 2	越泰邊界形勢甚為嚴重日來頻頻發生小事變泰軍隊源源開到邊界
page 2	國民體育會議閉幕一通過要案七十三件
page 2	汪派對滬市長爭奪甚烈
page 2	日否認與荷印成立煤油協定日荷談判似陷於僵局荷印汽油全由英定購
page 2	戴季陶出國宣慰僑胞昨日晨離渝出國送者甚眾
page 2	滬日軍機關報著文痛馬美國謂美國來挑戰日將予以反擊
page 2	北平反美標語已完全被撕去
page 2	北平協和醫院即將改組
page 2	駐羅英公使離境之說不確
page 2	華盛頓郵船昨已開來遠東
page 2	駐滬愛領館文件已為蘇聯搜得
page 2	德空軍在倫敦投下彈數百噸英機亦炸德軍陣地
page 2	皖南我軍屢獲勝利南陵附近已無日蹤鄂中宜昌附近我痛擊日軍
page 3	軸心國家圖奪近東汽油英空軍須加倍努力應付近東中東情勢
page 3	貝當政府承認在越日軍有一萬八千並未超過河內協定所限之額其中六六千人擔任駐守三機場
page 3	蘇美改善邦交談判已獲良好成績但蘇對德日態度尚未明顯美蘇軍進接近尚似有困難
page 3	死傷統計斃命者七千名重傷者已逾萬
page 3	菲律濱美僑問題甚為微妙因為菲律濱人是否可算美人
page 3	美菲商議菲所存軍用原料問題最注意為岷尼剌所產之大麻美或要求菲禁貨物輸往日本
page 3	羅馬又放出四強會議空氣謂各代表將在柏林會議蘇聯謂此消息絕對不確
page 3	美大選舉預測羅斯福獲勝
page 3	反納粹秘密電台又復活動
page 3	一日人在星被捕被控破壞國防
page 3	岷尼刺之間諜案犯人證據將搜集完畢即可提出軍事法庭審訊
page 3	國南部大水為災
page 3	英巡洋艦阿禮士號受傷謂其沉沒則完全不確
page 3	德機飛入瑞典被擊一架墜落
page 3	英對德軍渡海仍取嚴密監視恐有侵埃及以前採取牽制性行動
page 3	罵亦何補
page 3	單相思耳
page 3	快塞漏　
page 3	艾登埃及之行業已有所收穫英埃合作因此益固埃及國會開會討論
page 3	遠東服務美艦隊工作艱巨
page 3	美投彈瞄準器賣於英國之說史汀生講未有所聞
page 3	德爾希宣佈禁運廢鐵往日
page 3	墨索里尼召集內閣會議
page 3	一九三三年以來美運日鐵極多共達二千餘萬噸
page 3	英本國領海艦隊司令易人古德威中將繼任
page 3	美政府不久將宣佈貸我五千萬金元美蘇會商對抗日本成威脅
page 5	率部衝入沙井鄉內
page 5	召集鄉民回鄉居住
page 5	沙灣布深日陣出擊
page 5	廣州灣當局規定禁運標準越南舉行重要會議法總公使飛越參加
page 5	嚴格規定運貨辦法
page 5	羅庇和斯飛越會議
page 5	南路縣長會議討論加強對租界反封鎖設法平抑各地米價高漲
page 5	日商規劃推銷日貨
page 5	惠城通衢設置告密箱舉凡政令得失地方利病均可詳置書中斟酌興革
page 5	市民捐款超過十萬
page 5	台赤海面　聚海盜百餘自衛會拘獲兩匪
page 5	桂抗日會要案
page 5	潮惠師管區征兵得力司令溫靖記功
page 5	惠陽槍決著匪
page 5	一區專員公署召開五邑糧食金融會議電請四邑糧運會以公資購桂米國幣兌換困難請省府設法補救
page 5	令查行政罰款弊混鄉人因竹戰被罰五百元
page 5	我團隊擊退沙井日兵寶安縣長派員辦善後昨我軍又向日陣出擊
page 6	我軍圍攻文昌縣城
page 6	桂南我軍攻鎮南關
page 6	白蕉日艦又增日軍進犯大沙特沙日機又擾斗門乾務
page 6	三澳交通又告斷絕
page 6	日艦進擾大沙特沙
page 6	附日軍多反對改編
page 6	中山日軍繼續他調
page 6	我挺進隊截擊日運糧船
page 6	柳州破獲不法組織奸徒冒充難民乞丐分組活動偵查軍隊確數指示空襲目標
page 6	惠募衣會決定獻捐辦法
page 6	歸僑千餘流落河源省府電東江各縣救濟並令注意今後治安平抑伕價
page 6	惠鹽運處搶運鹽斤得力保有鹽斤數十萬
page 6	日擴大榆林港海軍根據地繼續經營三亞鐵爐兩港派兵在保平港登陸圖抄擊我軍侵入越境日軍後方動搖紛退卻
page 7	王正廷歡宴美救護團該團已定明日飛渝
page 7	義勇軍下月分批集訓訓練秩序業已編定
page 7	衛生局之議案
page 7	義民望省賑會改善貸款辦法
page 7	港府修正客棧則例必要時須繳保證金
page 7	印刷業商會開技術座談會
page 7	長沙灣強盜圖劫漁船警探捕獲疑犯三人
page 7	租卑利街沙包堆中昨晚發現腐屍該處沙包數日前已傾卸疑死者睡其傍致被壓傷
page 7	白雲故鄉正月一日公映
page 7	兒童劇場即將開幕理事會昨日已成立
page 7	商會贈旗義款又收到八百餘元
page 7	港政府委任令
page 7	代督劃定戒嚴區域敵國僑民概不准在區內居留未領有特許證者皆作敵僑論
page 8	西南特種民族工合事業的發軔中國工合福香港分社發
page 8	日僑陸續撤退第三批今日乘輪離港
page 8	四川省銀行獲准售賣法幣
page 8	又一茶客跳樓
page 8	公立醫院新訂之留醫費
page 8	炮兵繼續演習
page 8	秋季馬票揭曉彩金之巨破歷年紀錄首名為二六五四二九號獲獎一十六萬八千餘元
page 10	昨日甲組足球兩場3比6南華破米軍李惠堂獨力進五球東方九龍瓜分四隻
page 10	六比三南華輕取米軍
page 10	東方九龍言和
page 10	四四金價徵跌
page 10	國幣毫券略升桂鈔亦起
page 10	滬外匯市平穩
page 10	英銀價無變動美英匯兌縮二五
page 10	各國幣價伸算
page 10	今日星島迎戰海軍光華逢蘇軍約瑟會警察
page 10	昨日成績一覽表
page 10	本港米價繼續趨跌昨日又到暹羅米船一艘
page 10	華人水上競技第二夕又有兩項成績破全國女子二百公尺蛙泳李寶聯第一男子千五公尺陳震南獨佔鰲頭
page 10	公開排球戰訊
page 10	港市美匯再漲申電微緊銀行沽出不多
